model	metric	score	adjusted_score	Intercept	space_size_log	gini_user	gini_item	average_degree_user_log	average_degree_item_log	average_clustering_coef_dot_user_log	average_clustering_coef_dot_item_log	degree_assort_user	degree_assort_item	p_Intercept	p_space_size_log	p_gini_user	p_gini_item	p_average_degree_user_log	p_average_degree_item_log	p_average_clustering_coef_dot_user_log	p_average_clustering_coef_dot_item_log	p_degree_assort_user	p_degree_assort_item
ALS	ndcg	0.6316600593109079	0.611689821562704	0.19874943181818183	0.33328970519292467	-0.13050422460654496	0.34408324519818234	0.29307786240923994	-0.1860241108297842	0.27143908822140267	-0.06359117946893755	-0.26065957852899335	-0.00017482105057085862	0.0	0.008675037937913424	0.11106068708304141	0.010735719736603564	2.490654907406277e-06	0.11644799368253497	1.990573786909935e-27	0.32480434602758046	3.163627402181069e-09	0.965905108335124
BPR	ndcg	0.6627512659542099	0.6444666960360645	0.17859034090909093	0.2767614072343618	-0.015891822485815776	0.13961711093213247	0.12344648180100959	-0.010228343952198848	0.24848775220283598	-0.028518634408847054	-0.2425218139979114	-0.0022163871180087575	0.0	0.012018314082361712	0.8270964414510074	0.23091101197601616	0.030615419288417448	0.9235416333112607	6.676333482451612e-33	0.6076457404153227	1.4075185882249023e-09	0.5690617271535243
AsymUserKNN	ndcg	0.6195142968495724	0.5988855539076817	0.19040454545454552	0.12506442865439915	-0.0219995976363834	0.24930283620301763	0.17221614013856418	-0.020396183083225106	0.22498083500372046	0.00042752727569278504	-0.2065606473780569	-0.0034179860063005933	0.0	0.2606118607445784	0.7907133253530032	0.022011552529290275	0.006852834542612637	0.83071290976664	1.4128625408553173e-21	0.9933678982020384	3.6471466116952873e-07	0.3265400519198923
AsymItemKNN	ndcg	0.18928176792007056	0.14532716497597797	0.13790170454545453	0.6426400532654906	-0.28348812413448365	-0.3971923131128765	-0.13702370332669522	-0.2124594002670004	0.12221574025660198	0.045420222159388436	-0.6190906373704931	-0.0019399345459617202	0.0	0.0590305061601871	0.27401288444765026	0.31146303899345174	0.4752255959030329	0.5602244308796578	0.06020544819327932	0.8203248357509699	3.7252746411077267e-07	0.8896139597392347
LightGCN	ndcg	0.7269723027618734	0.7121695962851076	0.17399318181818188	0.04865298480558211	-0.1060104130690169	0.1834436260595771	0.21612848927934675	0.09566628309461533	0.2439057638238417	0.05008779744823341	-0.19350188760833598	-0.004759329544474772	0.0	0.6126841604769052	0.1509368028585042	0.11876853790585194	0.00013960101753971628	0.3747278255566845	9.443191519602175e-29	0.37305956955516806	4.681149989660264e-08	0.17213397795076213
UltraGCN	ndcg	0.7251409185200239	0.7102389201265313	0.1723585227272727	0.135073584913604	-0.11099682045158776	0.09667169872064596	0.18462009652441852	0.0991289813955214	0.2707833354891717	0.0557616299255313	-0.24226954604243606	-0.003397290332195796	0.0	0.1925561437058675	0.13936541908970992	0.4102425872225095	0.0008243744041777039	0.35537801028429705	1.4308395305264137e-37	0.33184585290994595	1.0449604322687854e-11	0.3452077076445783
SGL	ndcg	0.7334431832833104	0.7189913076781886	0.19030909090909087	0.21194366048285218	-0.031901879278123074	0.18796866412225866	0.18232526391849824	0.038995945894416906	0.263050502978085	0.024299945024980063	-0.20212160942869806	-0.004476684901002026	0.0	0.043740206393422215	0.6438550240355312	0.08377383890225808	0.0007936963684802885	0.7052280578872085	8.63264925457162e-38	0.6518003862291031	1.7909613909079846e-08	0.20290640744349797
XSimGCL	ndcg	0.7464484549253574	0.7327016844092623	0.1947403409090909	0.08445765053178667	-0.11588689238679342	0.14355882552832044	0.21001729666296232	0.06030230614208398	0.27827765676992067	0.05460718862071273	-0.2187637846322883	-0.0034060697550833997	0.0	0.410970776317541	0.1497008579628596	0.2018532856672034	0.0002552664571776647	0.5491914595623356	7.698876212222287e-35	0.2989299424156755	3.641884110612667e-09	0.3216272646818228
ALS	itemcoverage	0.7482610123494986	0.7346125130190497	0.07589261363636363	0.018469835922215627	-0.14608180662196543	-0.04154820529139652	0.05262167393211209	0.10384354185913008	-0.04126625695333165	-0.024730427666625088	-0.0046006047768411	0.00037106611860517925	0.0	0.715595405307599	2.735195023710402e-06	0.39837861534600794	0.0356424971322699	0.024891939355702643	1.6999571348810244e-05	0.31180491330437865	0.7984561248968289	0.8142643664759486
BPR	itemcoverage	0.7783472433758428	0.7663299252456175	0.08050795454545456	0.08735200814793553	-0.07507795863385883	0.026076569733397836	-0.02813731197772279	0.08337717760442942	-0.06931642631307408	-0.05508050294310496	0.036435469409735965	-0.002090438251715201	0.0	0.18440937043197492	0.06149842629895414	0.7217654898819468	0.3511828053665863	0.2140831593785627	1.9711725776586772e-11	0.11075760040926012	0.08879107760550574	0.31131766134315964
AsymUserKNN	itemcoverage	0.7519871337149763	0.7385406530127763	0.10899886363636363	0.25870238429496517	-0.12532869936675672	-0.10018006690823111	-0.019497174268333584	0.09913472557263614	-0.12124485311910044	-0.06584969257560375	0.12156276738112348	0.0022485489143586907	0.0	0.0024624006609545164	0.017557715442178715	0.27267926026021305	0.6325533372286045	0.2504076872105454	4.399010550074704e-17	0.1305355629567207	1.1622954304072542e-05	0.4005089600083632
AsymItemKNN	itemcoverage	0.8893897838188422	0.8833928443873336	0.1308142045454545	0.18145508771195917	-0.26351707929082185	-0.19857150282113878	-0.125029536023704	0.10328740130707448	-0.07782735185645637	-0.07356059608651636	-0.010208708220692864	0.002790589221930569	0.0	0.023558095776078827	8.074121564336066e-07	0.040221462668818445	0.001251617441390389	0.2673489854269371	4.500075461784994e-09	0.11839933825174224	0.6763641514835903	0.31907551763707986
LightGCN	itemcoverage	0.8830508641666713	0.8767102483684788	0.11502727272727276	-0.01086771550000698	-0.17578287491014394	-0.04943011983584977	-0.03366427895623331	0.21996762207659437	-0.09138579670394022	-0.01608753459900339	0.04156722221220721	0.002083863969386793	0.0	0.8798568960196245	3.066541818403333e-05	0.5011327218712968	0.30447637674829764	0.001279713148030362	1.0386702360423348e-07	0.6332142719818512	0.12158405875803231	0.2821083808393944
UltraGCN	itemcoverage	0.5072031506378225	0.48048524916637914	0.08425454545454544	0.1630809181522288	-0.16244202532963967	0.12355530008614013	0.03517254974696414	-0.04699179112720231	-0.08699545100899914	-0.09986982552075585	-0.02038615572184621	6.812132832904709e-05	0.0	0.176992731497835	0.07938041825626158	0.38339297181398624	0.6091851368613205	0.7151667556060746	0.0005937941426064724	0.14061350835055134	0.6385140006964611	0.9882453081189398
SGL	itemcoverage	0.8430888202347984	0.834581587596926	0.14464374999999996	0.13579597450209668	-0.28757138332052934	0.044401087343909684	0.035843151935424755	0.1961275139161115	-0.09467668955361055	-0.06151408824849494	0.04094713896461977	0.001695717561674314	0.0	0.24736968300320106	0.00015168302809410794	0.6972408831128583	0.5007548538143751	0.06082764728413028	3.261595840117707e-05	0.24550018622754022	0.30983797907990607	0.6101245817967027
XSimGCL	itemcoverage	0.8134493725511114	0.8033351819062922	0.12013693181818183	0.12832118213758403	-0.2546618784126478	0.12396493082862114	0.09286931730955633	0.039331357918090615	-0.07481640209485284	-0.11348400737213177	0.04806059328085793	0.0032591419535130377	0.0	0.1833880328714581	2.03076718490883e-05	0.23519704253529605	0.04324321302548145	0.6950355894381246	0.0007934472097610385	0.023724347985425297	0.19009540616380338	0.250557689533785
ALS	averagepopularity	0.9124285411283766	0.9076806909485897	57.75894488636364	-117.15073432460156	-15.904848703625486	0.05359918222137594	-25.940814396209134	95.06173038920952	101.06458928449435	18.87517527248123	47.19800440069403	-1.3684757678468724	0.0	0.024029038174983582	0.5955640004468863	0.9989758306584979	0.22323859225141518	0.023251462422386567	5.031969251883621e-12	0.37290913144591464	0.0304109187239385	0.32565560639616487
BPR	averagepopularity	0.8497558579680735	0.8416100912314028	73.93889943181819	-363.6438642666619	-13.471223185048018	-14.74699277659846	-94.75502735629743	178.61736544096834	127.33446052941466	56.42929151291301	90.32136794156062	-0.8347178911246811	0.0	4.103716475259948e-05	0.7998397351716364	0.8734103768619148	0.01451734974700499	0.03361149279644706	1.5921136500492631e-12	0.1891851263688974	0.00893581187998458	0.7701746750984924
AsymUserKNN	averagepopularity	0.8658603144824616	0.8585876809303059	74.5111852272727	-378.5547271753803	47.94694390973132	34.25674796591568	-131.58497226220888	164.18792704147324	152.37109399227143	35.09711856199557	107.61737315013139	-0.6481689799330033	0.0	0.0001520544010324544	0.46914720811876864	0.7258400565769201	0.003491084256514295	0.06871851791261328	1.596186209849644e-09	0.4607822697909498	0.01292321869538202	0.8323262828463829
AsymItemKNN	averagepopularity	0.5495347187436885	0.525111902290033	46.56406363636363	-85.35778676274515	3.6526970003566746	-187.57431302680163	-169.42286163087488	146.5489358934776	71.81843477838373	78.96470925538924	-55.599752668002765	-1.8227679549429334	0.0	0.3999477846761953	0.9572249651739765	0.07303179510870685	0.001962151902033114	0.1442494369383539	0.0005298801000099328	0.15451648625516015	0.18539421325335437	0.6444348701676594
LightGCN	averagepopularity	0.8824334476229511	0.876059357433834	60.16347670454547	-205.2683921446262	59.1654352942255	5.229041527606682	-101.43328051570401	140.74361949221674	118.16914336948155	38.150036080099255	60.47382474658332	-0.4701795154424886	0.0	0.0013557464112062634	0.152296804302141	0.9369570570746095	0.0006334639135460463	0.011631754172584274	6.500399087160718e-22	0.1846571413553384	0.012960144846963909	0.8316604623444366
UltraGCN	averagepopularity	0.8487777383414814	0.8405789410226461	70.9928909090909	-321.26001062142404	30.319570365512917	-20.331455887052527	-114.34801789079276	192.28123892690314	125.65877843545562	59.86822841701626	92.2399720796158	0.07025756453008736	0.0	0.00027359607163290173	0.6239931216256587	0.8259708592601799	0.00831647401391202	0.01993823208801374	9.380266107876399e-12	0.17274583661221343	0.009340361090185984	0.9801199299953789
SGL	averagepopularity	0.8792415075302958	0.8726943603482035	44.76534375	-204.2474656822509	37.039921247276254	21.497021144886673	-75.66062674076232	90.36851137392387	86.00292922450426	21.367773754967857	45.43607448086988	-1.2132376926627515	0.0	0.00018215112725222568	0.2691744921084004	0.6419904498184577	0.0009110013996197112	0.024728320236525117	1.1181299535998547e-23	0.3041318867759548	0.009866805624809755	0.3791390089995046
