dataset	degree_assort_best_users	degree_assort_worst_users	average_clustering_coef_dot_best_users	average_clustering_coef_dot_worst_users
1	-0.04050357810632326	-0.058014860056475215	0.04867171797456699	0.025210161256583964
2	-0.05673758512114514	-0.009218213695310024	0.058811029394638004	0.02977275825582458
3	0.019655808701045677	0.15359017659775076	0.0568607203682157	0.03980899205846656
4	-0.09217034174181912	-0.0073056638634302895	0.049860741132604684	0.027617563509761963
5	-0.02330245860573959	-0.030955873061608033	0.05244721753984238	0.02153206006976885
6	-0.03507970149814661	0.019068472907507586	0.05904714625887137	0.03907026439410553
7	-0.10096842959650947	-0.23973017818097353	0.050532174241042914	0.030293796084203087
8	-0.08547734416316854	-0.1508081317540515	0.06369859944868038	0.028075373050962717
9	-0.06832624016830165	-0.055663208598305716	0.06183450850125216	0.031626371486061795
10	-0.026828365958556977	0.08577450447527778	0.058465950682787184	0.03711568714107154
11	-0.0810750720683305	-0.10444942862973207	0.050036238540463664	0.03025021947727346
12	-0.0873512820622866	-0.0341880284920343	0.056879756593666855	0.02618859534041019
13	-0.012590132874484664	0.020581443694427434	0.05579117628913954	0.03350657609023851
14	-0.028656522496480454	0.07154712847784432	0.060118577415777655	0.02445327202737316
15	-0.04720483700786853	-0.029668719540625874	0.06145997306175913	0.030199502502425885
16	-0.048753348362012616	0.0655782486230758	0.06682957320871499	0.0326289973760321
17	-0.0910478640232533	-0.06136554328330436	0.05549573291419279	0.035063643489561126
18	-0.030103291171242233	-0.09481363704056012	0.04989219305047664	0.03101379682689816
19	-0.04507467365681887	-0.0252255564466291	0.06334922232943405	0.028164515924443453
20	-0.07864749803508547	-0.18402196344598534	0.04999272241532306	0.03216570936607812
21	-0.05871657156544375	-0.08837465722260321	0.05635825944436105	0.030383194224941595
22	-0.1050555191814333	-0.15324537690473797	0.059234412503294566	0.03136857298368987
23	-0.015111841433034512	0.07448033764550818	0.06168415971069541	0.038164004844123155
24	-0.08155219824403653	-0.12971623032117874	0.06468862848633523	0.040228541663496584
25	-0.06033060359382281	-0.010179888211210117	0.06008560924471537	0.025674756931094504
