dataset	inter_num	sparsity	connected	user_num	item_num	user_mean	item_mean	user_median	item_median	user_max	item_max	user_min	item_min	sparsity_log	space_size	space_size_log	shape	shape_log	gini_user	gini_item	average_degree	average_degree_user	average_degree_item	average_degree_user_log	average_degree_item_log	degree_assort_user	degree_assort_item	average_clustering_coef_dot	average_clustering_coef_dot_user	average_clustering_coef_dot_item	average_clustering_coef_min	average_clustering_coef_min_user	average_clustering_coef_min_item	average_clustering_coef_max	average_clustering_coef_max_user	average_clustering_coef_max_item
1	81742	0.9959751087196294	True	1040	19528	78.67372473532242	4.186101295641932	42.0	2.0	2395	262	20	1	-0.0017515152718778054	9.22017787247079	0.964739299392828	0.01272295759829708	-1.8954119201880952	0.5183514204378673	0.5697937386773217	7.949236604103861	78.67372473532242	4.186101295641932	1.895829711929698	0.6218097332253301	-0.026501937658546828	0.1568727953335696	0.24071121967227752	0.029335823337167072	0.2519581616906203	0.6441058223323488	0.09556113160839197	0.6732929956647702	0.2677775213168938	0.04252411023072157	0.2797628899919864
2	78856	0.9966584316799797	True	1090	21650	72.41138659320478	3.642477712596425	37.0	2.0	10246	263	20	1	-0.0014536547805691152	9.271086236250852	0.9671306207435147	0.01382266409658111	-1.8594082456057823	0.5360615711935032	0.5634242985234373	6.936054182425895	72.41138659320478	3.642477712596425	1.859806863790631	0.5613969031116225	-0.004047617730260721	0.5723530796822499	0.32022162727975856	0.03538591927822168	0.33454959097386333	0.7145619441692128	0.10443318231812679	0.7452529793974373	0.3476109789356335	0.052144583207753524	0.36247369337730106
3	73333	0.9963209017711426	True	1254	15895	58.525937749401436	4.613879451365295	35.0	2.0	1514	470	20	1	-0.0016007585420847069	9.589555881269998	0.9817984942634641	0.017100077727626034	-1.7670019155375327	0.4444613469856627	0.6328672002560374	8.553449583017438	58.525937749401436	4.613879451365295	1.7673483810380803	0.6640662433513558	0.050755397200642725	0.11197967330550428	0.24852400880690947	0.03967358563692888	0.26498868605819836	0.6578863720557615	0.11449757571668932	0.7007243084979948	0.27259288629625616	0.05874888073102415	0.2894512315191853
4	82763	0.9963012784617166	True	1102	20305	75.17075386012716	4.076191883372735	40.0	2.0	3311	329	20	1	-0.0016093123914649235	9.550121779328261	0.9800089095683608	0.013315128741104116	-1.8756546301051893	0.5121439359861727	0.5721283086741165	7.7330530249941605	75.17075386012716	4.076191883372735	1.8760489056492038	0.6102546198703259	-0.01610512409242651	0.3801486705156774	0.2623933625787697	0.029894148797491648	0.27500081108020724	0.6578522582352689	0.09528678959532277	0.6883578030034221	0.2898529102289178	0.04389156601205606	0.30319035309646925
5	81687	0.9960448604538337	True	1045	19764	78.24425287356321	4.133329960026312	39.0	2.0	7556	244	20	1	-0.0017211011256852186	9.239205322970152	0.9656346185479393	0.012792733237846904	-1.8930366562017331	0.5387581309218483	0.5664946799789783	7.851876772240112	78.24425287356321	4.133329960026312	1.8934524479825625	0.6163000760048574	-0.0009738076382060446	0.4775234707598394	0.2530847132381549	0.031338430375246105	0.2647986797062456	0.6566189157657194	0.09860276172248633	0.6860966703991828	0.2801931423406185	0.04559818025571112	0.2925858529825576
6	74546	0.9964131671879041	True	1181	17598	63.17457627118644	4.236290276751719	37.0	2.0	3055	260	20	1	-0.0015605420756501641	9.38290072418972	0.9723371212959411	0.015842567005607277	-1.8001744473648527	0.47718010083183765	0.6144192081238327	7.9401395324066675	63.17457627118644	4.236290276751719	1.800542337672242	0.6269857109426001	0.004112226004834336	0.4352229066253162	0.2782531958281887	0.0373598690248452	0.2944067518677378	0.6857890077436735	0.11007392806089138	0.724394667459857	0.3013180300765322	0.05526211110853735	0.3178177734636001
7	82156	0.9962067047633753	True	926	23389	88.8172972972973	3.512741576877031	39.0	2.0	9708	193	20	1	-0.001650539664529275	8.722181837132267	0.940625136458018	0.011271240079848093	-1.9480282995521674	0.5917956478314821	0.5453444217836739	6.758195204211739	88.8172972972973	3.512741576877031	1.948497553495069	0.5456462010688554	-0.05029853628339084	0.6981623098616466	0.3300186071455433	0.030433070767738362	0.3418672740323857	0.7353071352926049	0.10215068488197472	0.7603485974368599	0.356409628188353	0.04442025603669961	0.36874886921966304
8	82548	0.9960233128634566	True	973	21334	84.92592592592592	3.869497960905639	39.0	2.0	5973	269	20	1	-0.001730496386073184	8.962098191829856	0.952409697882789	0.011787081455637931	-1.9285937152288741	0.5674246194906228	0.5637188892876859	7.401748486886349	84.92592592592592	3.869497960905639	1.9290402905709516	0.5876546221372961	-0.04699666220680777	0.3541062455076618	0.2919542034906164	0.03249616226639082	0.3037759452086095	0.6950759267522607	0.10500526744832031	0.7219614412529606	0.3173718528035665	0.04671596921258917	0.32970380418642076
9	79078	0.9962171310700604	True	1104	18935	71.6935630099728	4.176507869441217	38.0	2.0	3222	233	20	1	-0.001645994359079112	9.343559921143548	0.9705123751108087	0.013960899365183743	-1.8550866034352569	0.5180068145760671	0.5946198243085777	7.893197584468733	71.6935630099728	4.176507869441217	1.8554801643882466	0.6208133040470788	-0.02372166147588269	0.23385408751465805	0.26875130504694394	0.03526111678594198	0.2823532738676836	0.6725006314895391	0.1084430070691881	0.705359803335723	0.29397683669563546	0.051320716104559926	0.30811276682196675
10	75491	0.9965176652456432	True	1232	17596	61.32493907392364	4.290480250071043	35.0	2.0	2108	459	20	1	-0.0015149981670019173	9.64390543296646	0.9842529430842838	0.01631982620444821	-1.7872844705117543	0.47372101887947843	0.6254337084435867	8.019866142568787	61.32493907392364	4.290480250071043	1.7876371254088446	0.6325059071689505	0.014794871745167651	0.17712009426454756	0.27872065430394294	0.038210026443388695	0.2955475132352497	0.686726355760771	0.11076402047038768	0.7270224418501408	0.30088587998159505	0.05679512039186975	0.3179632158755963
11	84492	0.9959170734677428	True	970	21334	87.19504643962848	3.9606243847560116	39.0	2.0	3335	272	20	1	-0.0017768222537342595	9.053023804232483	0.9567936623160623	0.011480376840410927	-1.940043856099635	0.5732383625379229	0.5615656988622126	7.577078288942696	87.19504643962848	3.9606243847560116	1.9404918133151146	0.5977636570059498	-0.05063337440791917	0.2737590669344433	0.26786321695565096	0.030703889350217034	0.27863560660781733	0.6691481313222428	0.10463940148931368	0.6947895769327105	0.2958698514873061	0.04419062323038581	0.3073017725570551
12	80793	0.9962365469935534	True	1049	20465	77.0925572519084	3.9480551211884283	40.0	2.0	1989	232	20	1	-0.0016375301939874397	9.206077177603932	0.9640746114081639	0.01298379810132066	-1.886598246429212	0.5274802381129875	0.5598953444011645	7.511435477872815	77.0925572519084	3.9480551211884283	1.887012451975062	0.5963832074881912	-0.022014095733768727	0.13401123149685287	0.26611880162632845	0.03164192559430079	0.27812680426909453	0.6589074878130678	0.09959965211391435	0.6875506959743615	0.29492997562767875	0.04599628694526141	0.3076783388870207
13	76617	0.9966195932552289	True	1216	18639	63.05925925925926	4.110795149694173	36.0	2.0	2870	286	20	1	-0.0014705789761366487	9.652267712822722	0.9846293588842061	0.015871151311066735	-1.79939156789498	0.4748584362032494	0.6078748114043558	7.718430463909737	63.05925925925926	4.110795149694173	1.7997488648973652	0.6139258354341874	0.025043675818198413	0.4587994302644854	0.294111646079102	0.035030709061246536	0.31100097639762836	0.6904599341602691	0.10232238346480017	0.7288002670336994	0.31709924306002985	0.05234389199107845	0.334358485014573
14	78715	0.9963136508718521	True	1097	19465	71.82025547445255	4.044132757912043	38.0	2.0	3332	270	20	1	-0.001603919207492779	9.292489171368455	0.9681320636803095	0.013936352664676363	-1.8558508722111966	0.5064369125242084	0.5993381194426433	7.657101167315175	71.82025547445255	4.044132757912043	1.8562469456375574	0.6068254038631458	-0.013278333031349005	0.49632831151647727	0.294963478771605	0.03508138853762946	0.3095972010741347	0.6919905099746817	0.11049697530706623	0.7247338779358257	0.3194894890969107	0.050786610743701006	0.3346199018936184
15	82243	0.9962314938571329	True	1071	20377	76.86261682242991	4.036268158617982	42.0	2.0	2784	187	20	1	-0.0016397330391209105	9.385214595308941	0.9724442073242286	0.013022384883819899	-1.8853094729847462	0.5186074069764309	0.5789992940185333	7.669775249463769	76.86261682242991	4.036268158617982	1.8857151661313922	0.6059800118610431	-0.02881759791133062	0.33057533842355047	0.28253506869262723	0.03127621874676198	0.2957293644053322	0.6772444507023087	0.09932396309796196	0.7075926506304914	0.3078048955354983	0.044743538256660886	0.3216189734844754
16	77477	0.9964979240763211	True	1236	17899	62.73441295546559	4.328807688009833	38.0	2.0	1333	313	20	1	-0.001523601693185188	9.78578417910389	0.9905956333677335	0.015953121571563172	-1.797154325229873	0.4536638612718237	0.6264432637096083	8.098782208749281	62.73441295546559	4.328807688009833	1.7975058383869853	0.6363682922369636	0.03843628644309256	0.0980052988753748	0.28604604901854763	0.03722698920516474	0.3032150924239297	0.6810551626109694	0.10988246879081053	0.720467291165439	0.30756218005313074	0.05431207176045172	0.32503697521133046
17	76026	0.9963746389528846	True	1147	18283	66.34031413612566	4.158516573679028	36.0	2.0	2709	385	20	1	-0.001577335233272825	9.33819158081478	0.9702627796009132	0.015086943940230973	-1.821398723399291	0.4992453670093298	0.6011637328351038	7.826436071649166	66.34031413612566	4.158516573679028	1.8217775236691875	0.6189384366942414	0.0022143215796206674	0.3063514336386054	0.2770474245043892	0.03619460755583722	0.2921451888749745	0.6888025288845755	0.1087785042994518	0.7251611073866295	0.30065690899409625	0.05345452448104802	0.3161526935172312
18	81868	0.9964058791016541	True	1110	20521	73.8214607754734	3.9896686159844053	40.0	2.0	4892	332	20	1	-0.0015637186567330214	9.532758257713242	0.9792185798392787	0.013558411100796404	-1.8677912021052425	0.5014883974083421	0.5758760167439222	7.570206666974895	73.8214607754734	3.9896686159844053	1.86818263474274	0.6009368244521213	-0.009792366494220234	0.7618180612539164	0.2898761763782092	0.02845042136968918	0.30400488799148645	0.6760986190881926	0.09139363111762792	0.7076989032821183	0.31435612218816417	0.041678317898624695	0.32909294894045943
19	79456	0.9963611629989776	True	1071	20388	74.25794392523365	3.8973855888556432	40.0	2.0	3442	289	20	1	-0.00158320910015929	9.224823900758214	0.9649580843531629	0.013479158276278696	-1.8703372270426146	0.5278322734783444	0.5726788127284369	7.4060679498531945	74.25794392523365	3.8973855888556432	1.8707429201892607	0.5907733749556903	-0.026249453450068155	0.2533459577959891	0.29102676355390084	0.03442503285833115	0.30449435818990706	0.6835415715655585	0.1043565821104342	0.713939763487714	0.3181507752627306	0.050190157579017354	0.33221453456628547
20	74220	0.9965526170638953	True	1225	17575	60.63725490196079	4.223284397405258	36.0	2.0	1855	308	20	1	-0.0014997660079198692	9.535171734163994	0.9793285193566578	0.016504985179196983	-1.782384861312213	0.45729294906680895	0.618671671058612	7.8965847430577725	60.63725490196079	4.223284397405258	1.782739532203222	0.625650327947522	0.012389168140417153	0.15970550905624878	0.28635723550421727	0.0346680289682513	0.30388697197855563	0.6899974570922952	0.10191345105160839	0.7309565343310456	0.3084565831882676	0.05183241670559417	0.3263300314513148
21	84197	0.9961215674879594	True	947	22924	89.0031712473573	3.673035815556428	40.0	2.0	10341	200	20	1	-0.001687656689323678	8.92942097786861	0.9508232982760649	0.011247431618703754	-1.9489466385455831	0.5865807238892399	0.5233013979123505	7.054924797854959	89.0031712473573	3.673035815556428	1.9494054811470638	0.5650251631459166	-0.04283561127737062	0.46264443007250217	0.2740597451084953	0.029610251462727787	0.2841478322257529	0.6718751659901016	0.0957313675377805	0.6956518109901406	0.3063975616269867	0.04324360581760798	0.31725755561536834
22	82151	0.9964509961325617	True	1059	21858	77.64744801512288	3.75856704945784	39.0	2.0	4455	208	20	1	-0.0015440543468572096	9.327266963049787	0.9697544072249713	0.012890896032914998	-1.8897168942349725	0.536214698835164	0.5538955479220082	7.170063277329261	77.64744801512288	3.75856704945784	1.8901271866432907	0.5750223020744174	-0.017684090452229292	0.4121722689182758	0.29413609931860735	0.031525022458093827	0.3068479316523413	0.6836824237376983	0.09888102914003989	0.7119900540384861	0.32295231374264727	0.045685630252023914	0.3363735587045853
23	77623	0.9965733244901859	True	1116	20298	69.61704035874439	3.8243582795487017	36.0	2.0	2024	270	20	1	-0.0014907418707238794	9.307377074127814	0.9688273090450884	0.014377182020792805	-1.8423262288870568	0.5169603641932905	0.5844532602578898	7.2504203250513735	69.61704035874439	3.8243582795487017	1.842715556104437	0.5825585717688703	0.001742534718472926	0.17465865041909012	0.3059810625539602	0.037525313011373775	0.32072847156711404	0.7049465398047452	0.11251941475892065	0.7374910658148006	0.3316063054314968	0.05511204631523315	0.34679530375216655
