algorithm	alpha	beta	k	q	valid_precision@10	valid_hit@10	valid_mrr@10	valid_ndcg@10	valid_map@10	valid_itemcoverage@10	valid_averagepopularity@10	valid_tailpercentage@10	test_precision@10	test_hit@10	test_mrr@10	test_ndcg@10	test_map@10	test_itemcoverage@10	test_averagepopularity@10	test_tailpercentage@10	embedding_size	epochs	regularization	learning_rate	n_layers	reg_weight	gamma	ii_neighbor_num	initial_weight	lambda	negative_num	negative_weight	w1	w2	w3	w4	drop_ratio	ssl_tau	ssl_weight	eps	layer_cl	temperature
asymitemknn	0.5	0.8	60.0	3.0	0.0622	0.3566	0.1713	0.1023	0.0569	0.1547	35.5602	0.0492	0.1307	0.5277	0.2903	0.1703	0.1065	0.1583	34.9666	0.0506																						
asymitemknn	1.0	1.0	1000.0	2.0	0.0051	0.0393	0.0184	0.0074	0.0034	0.0697	1.0654	0.5276	0.0088	0.0515	0.0198	0.0094	0.0042	0.0712	1.0626	0.5254																						
asymitemknn	0.5	0.2	10000.0	2.0	0.0332	0.225	0.0712	0.0426	0.0177	0.1036	18.8883	0.0851	0.0659	0.3368	0.1062	0.0668	0.0308	0.1047	18.6615	0.0867																						
asymitemknn	0.0	1.0	10000.0	7.0	0.0548	0.3212	0.1416	0.0854	0.0439	0.0641	72.3666	0.0	0.1132	0.499	0.2726	0.1508	0.0884	0.0649	71.8051	0.0																						
asymitemknn	0.4	0.4	500.0	2.0	0.0619	0.3595	0.1694	0.0992	0.053	0.1148	48.5799	0.01	0.1281	0.5391	0.2926	0.1683	0.1036	0.1164	47.8226	0.0104																						
asymitemknn	0.0	0.5	100.0	5.0	0.0154	0.1179	0.0507	0.023	0.0109	0.0796	8.9467	0.0005	0.0306	0.188	0.0915	0.0399	0.0192	0.0811	8.8677	0.0005																						
asymitemknn	0.5	0.2	10000.0	4.0	0.0332	0.225	0.0712	0.0426	0.0177	0.1036	18.8883	0.0851	0.0659	0.3368	0.1062	0.0668	0.0308	0.1047	18.6615	0.0867																						
asymitemknn	0.5	1.0	200.0	5.0	0.0531	0.3006	0.142	0.0855	0.0466	0.1579	32.1215	0.1144	0.1085	0.4399	0.2397	0.1407	0.088	0.1611	31.6675	0.1146																						
asymitemknn	0.8	0.2	1000.0	6.0	0.004	0.0314	0.013	0.0053	0.0021	0.0469	1.1	0.1824	0.0055	0.0477	0.0129	0.0055	0.0018	0.0478	1.0954	0.1825																						
asymitemknn	0.5	1.0	200.0	7.0	0.0531	0.3006	0.142	0.0855	0.0466	0.1579	32.1215	0.1144	0.1085	0.4399	0.2397	0.1407	0.088	0.1611	31.6675	0.1146																						
asymitemknn	0.5	1.0	60.0	5.0	0.0593	0.3399	0.1642	0.0971	0.0542	0.1631	33.6928	0.0648	0.1221	0.4885	0.274	0.1593	0.1	0.1666	33.0714	0.0664																						
asymitemknn	0.5	0.0	60.0	2.0	0.0366	0.2603	0.0611	0.0462	0.0184	0.0733	16.8643	0.078	0.0671	0.3912	0.1013	0.0694	0.0301	0.0751	16.555	0.0801																						
asymitemknn	0.6	0.8	200.0	3.0	0.0481	0.2809	0.1142	0.0737	0.0385	0.157	23.5982	0.0904	0.0992	0.4103	0.2075	0.1258	0.0778	0.1601	23.4261	0.0903																						
asymitemknn	0.5	0.2	100.0	7.0	0.0464	0.3075	0.0787	0.0621	0.0273	0.0938	22.6087	0.0487	0.0888	0.438	0.1332	0.0947	0.0453	0.0959	22.1528	0.05																						
asymitemknn	1.0	0.5	10000.0	2.0	0.0048	0.0393	0.0145	0.0057	0.0021	0.0575	1.0367	0.1903	0.0063	0.0448	0.0136	0.0064	0.0024	0.059	1.032	0.1912																						
asymitemknn	1.0	0.0	1000.0	4.0	0.001	0.0098	0.0016	0.001	0.0003	0.0163	1.007	0.0665	0.0012	0.0105	0.0021	0.0012	0.0003	0.0164	1.0055	0.0664																						
asymitemknn	0.2	0.6	100.0	2.0	0.0489	0.3035	0.1411	0.0796	0.0416	0.1107	44.4046	0.0049	0.099	0.4628	0.2549	0.1333	0.0768	0.1133	42.9309	0.005																						
asymitemknn	0.0	0.8	200.0	4.0	0.027	0.1994	0.0972	0.0465	0.0237	0.1192	15.6341	0.0001	0.0545	0.3149	0.1657	0.0717	0.0364	0.1208	15.3859	0.0001																						
asymitemknn	0.5	0.6	200.0	2.0	0.0606	0.3585	0.1645	0.0988	0.0534	0.1509	36.4338	0.0399	0.1233	0.5067	0.2732	0.1597	0.0983	0.1534	35.9532	0.0414																						
asymitemknn	0.8	0.4	10000.0	3.0	0.006	0.0432	0.0218	0.0085	0.0039	0.0664	1.1573	0.1854	0.0081	0.0563	0.0193	0.0086	0.0033	0.068	1.1489	0.1867																						
asymitemknn	0.4	0.4	500.0	3.0	0.0619	0.3595	0.1694	0.0992	0.053	0.1148	48.5799	0.01	0.1281	0.5391	0.2926	0.1683	0.1036	0.1164	47.8226	0.0104																						
