Model	dataset	precision@10	hit@10	mrr@10	ndcg@10	map@10	itemcoverage@10	averagepopularity@10	tailpercentage@10	best_user_precision@[10]	best_user_hit@[10]	best_user_mrr@[10]	best_user_ndcg@[10]	best_user_map@[10]	worst_user_precision@[10]	worst_user_hit@[10]	worst_user_mrr@[10]	worst_user_ndcg@[10]	worst_user_map@[10]
AsymItemKNN	mids-100000-1	0.1251	0.529	0.1959	0.1372	0.0745	0.1319	39.2579	0.0728	[{'757': '1.0'}, {'379': '1.0'}, {'793': '0.9'}, {'112': '0.9'}, {'300': '0.8'}, {'735': '0.8'}, {'485': '0.8'}, {'312': '0.8'}, {'926': '0.8'}, {'329': '0.8'}]	[{'1': '1'}, {'447': '1'}, {'448': '1'}, {'449': '1'}, {'824': '1'}, {'451': '1'}, {'452': '1'}, {'823': '1'}, {'455': '1'}, {'456': '1'}]	[{'931': '1.0'}, {'480': '1.0'}, {'67': '1.0'}, {'905': '1.0'}, {'332': '1.0'}, {'147': '1.0'}, {'870': '1.0'}, {'1001': '1.0'}, {'831': '1.0'}, {'639': '1.0'}]	[{'757': '1.0'}, {'727': '1.0'}, {'758': '1.0'}, {'379': '1.0'}, {'713': '1.0'}, {'793': '0.9364'}, {'978': '0.8922'}, {'772': '0.8551'}, {'870': '0.7898'}, {'112': '0.7799'}]	[{'727': '1.0'}, {'757': '1.0'}, {'758': '1.0'}, {'379': '1.0'}, {'713': '1.0'}, {'793': '0.9'}, {'978': '0.8333'}, {'772': '0.7778'}, {'112': '0.7071'}, {'749': '0.6667'}]	[{'518': '0.0'}, {'578': '0.0'}, {'579': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'593': '0.0'}, {'594': '0.0'}, {'575': '0.0'}, {'599': '0.0'}]	[{'518': '0'}, {'578': '0'}, {'579': '0'}, {'583': '0'}, {'585': '0'}, {'586': '0'}, {'593': '0'}, {'594': '0'}, {'575': '0'}, {'599': '0'}]	[{'518': '0.0'}, {'578': '0.0'}, {'579': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'593': '0.0'}, {'594': '0.0'}, {'575': '0.0'}, {'599': '0.0'}]	[{'518': '0.0'}, {'578': '0.0'}, {'579': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'593': '0.0'}, {'594': '0.0'}, {'575': '0.0'}, {'599': '0.0'}]	[{'518': '0.0'}, {'578': '0.0'}, {'579': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'593': '0.0'}, {'594': '0.0'}, {'575': '0.0'}, {'599': '0.0'}]
AsymItemKNN	mids-100000-2	0.1213	0.53	0.195	0.14	0.0756	0.1126	53.5625	0.0494	[{'1038': '0.9'}, {'451': '0.9'}, {'331': '0.9'}, {'81': '0.9'}, {'1057': '0.9'}, {'844': '0.9'}, {'842': '0.9'}, {'826': '0.9'}, {'565': '0.9'}, {'637': '0.9'}]	[{'1': '1'}, {'600': '1'}, {'601': '1'}, {'604': '1'}, {'605': '1'}, {'606': '1'}, {'607': '1'}, {'610': '1'}, {'611': '1'}, {'613': '1'}]	[{'1': '1.0'}, {'429': '1.0'}, {'144': '1.0'}, {'137': '1.0'}, {'502': '1.0'}, {'566': '1.0'}, {'585': '1.0'}, {'151': '1.0'}, {'213': '1.0'}, {'651': '1.0'}]	[{'476': '0.8232'}, {'397': '0.7983'}, {'234': '0.7917'}, {'1038': '0.7799'}, {'451': '0.7799'}, {'826': '0.7799'}, {'637': '0.7799'}, {'842': '0.7799'}, {'331': '0.7799'}, {'81': '0.7799'}]	[{'476': '0.7714'}, {'397': '0.7345'}, {'1038': '0.7071'}, {'826': '0.7071'}, {'637': '0.7071'}, {'842': '0.7071'}, {'1057': '0.7071'}, {'81': '0.7071'}, {'844': '0.7071'}, {'565': '0.7071'}]	[{'543': '0.0'}, {'968': '0.0'}, {'381': '0.0'}, {'380': '0.0'}, {'379': '0.0'}, {'378': '0.0'}, {'377': '0.0'}, {'669': '0.0'}, {'375': '0.0'}, {'374': '0.0'}]	[{'543': '0'}, {'426': '0'}, {'871': '0'}, {'870': '0'}, {'430': '0'}, {'433': '0'}, {'434': '0'}, {'873': '0'}, {'867': '0'}, {'437': '0'}]	[{'543': '0.0'}, {'500': '0.0'}, {'501': '0.0'}, {'503': '0.0'}, {'506': '0.0'}, {'511': '0.0'}, {'512': '0.0'}, {'514': '0.0'}, {'975': '0.0'}, {'515': '0.0'}]	[{'543': '0.0'}, {'636': '0.0'}, {'358': '0.0'}, {'357': '0.0'}, {'356': '0.0'}, {'355': '0.0'}, {'354': '0.0'}, {'353': '0.0'}, {'352': '0.0'}, {'968': '0.0'}]	[{'543': '0.0'}, {'928': '0.0'}, {'469': '0.0'}, {'470': '0.0'}, {'473': '0.0'}, {'926': '0.0'}, {'482': '0.0'}, {'924': '0.0'}, {'484': '0.0'}, {'486': '0.0'}]
AsymItemKNN	mids-100000-3	0.0845	0.48	0.0926	0.078	0.0282	0.1527	42.8479	0.0987	[{'480': '0.6'}, {'993': '0.6'}, {'639': '0.6'}, {'588': '0.6'}, {'803': '0.6'}, {'740': '0.5'}, {'661': '0.5'}, {'591': '0.5'}, {'755': '0.5'}, {'798': '0.5'}]	[{'1250': '1'}, {'500': '1'}, {'501': '1'}, {'502': '1'}, {'504': '1'}, {'983': '1'}, {'507': '1'}, {'508': '1'}, {'509': '1'}, {'978': '1'}]	[{'1134': '1.0'}, {'335': '1.0'}, {'310': '1.0'}, {'1065': '1.0'}, {'83': '1.0'}, {'28': '1.0'}, {'408': '1.0'}, {'24': '1.0'}, {'1023': '1.0'}, {'18': '1.0'}]	[{'408': '0.6131'}, {'639': '0.5054'}, {'803': '0.5054'}, {'28': '0.5005'}, {'588': '0.4932'}, {'1154': '0.4857'}, {'798': '0.4827'}, {'1161': '0.4716'}, {'993': '0.4674'}, {'480': '0.4616'}]	[{'408': '0.5'}, {'803': '0.3414'}, {'639': '0.3414'}, {'588': '0.316'}, {'1154': '0.3083'}, {'993': '0.3013'}, {'798': '0.2953'}, {'480': '0.2877'}, {'251': '0.2867'}, {'1161': '0.2758'}]	[{'1': '0.0'}, {'696': '0.0'}, {'697': '0.0'}, {'698': '0.0'}, {'701': '0.0'}, {'704': '0.0'}, {'706': '0.0'}, {'707': '0.0'}, {'712': '0.0'}, {'713': '0.0'}]	[{'1': '0'}, {'696': '0'}, {'697': '0'}, {'698': '0'}, {'701': '0'}, {'704': '0'}, {'706': '0'}, {'707': '0'}, {'712': '0'}, {'713': '0'}]	[{'1': '0.0'}, {'696': '0.0'}, {'697': '0.0'}, {'698': '0.0'}, {'701': '0.0'}, {'704': '0.0'}, {'706': '0.0'}, {'707': '0.0'}, {'712': '0.0'}, {'713': '0.0'}]	[{'1': '0.0'}, {'696': '0.0'}, {'697': '0.0'}, {'698': '0.0'}, {'701': '0.0'}, {'704': '0.0'}, {'706': '0.0'}, {'707': '0.0'}, {'712': '0.0'}, {'713': '0.0'}]	[{'1': '0.0'}, {'696': '0.0'}, {'697': '0.0'}, {'698': '0.0'}, {'701': '0.0'}, {'704': '0.0'}, {'706': '0.0'}, {'707': '0.0'}, {'712': '0.0'}, {'713': '0.0'}]
AsymItemKNN	mids-100000-4	0.1203	0.5295	0.2118	0.1357	0.0719	0.1354	53.5423	0.0366	[{'635': '0.9'}, {'791': '0.9'}, {'183': '0.9'}, {'413': '0.9'}, {'583': '0.9'}, {'208': '0.9'}, {'820': '0.9'}, {'109': '0.9'}, {'872': '0.9'}, {'1083': '0.9'}]	[{'551': '1'}, {'457': '1'}, {'458': '1'}, {'459': '1'}, {'869': '1'}, {'464': '1'}, {'466': '1'}, {'865': '1'}, {'871': '1'}, {'469': '1'}]	[{'371': '1.0'}, {'447': '1.0'}, {'202': '1.0'}, {'455': '1.0'}, {'195': '1.0'}, {'187': '1.0'}, {'186': '1.0'}, {'475': '1.0'}, {'179': '1.0'}, {'177': '1.0'}]	[{'503': '0.8816'}, {'872': '0.7799'}, {'413': '0.7799'}, {'208': '0.7799'}, {'820': '0.7799'}, {'524': '0.7799'}, {'1083': '0.7799'}, {'109': '0.7799'}, {'791': '0.7799'}, {'183': '0.7799'}]	[{'503': '0.7844'}, {'1083': '0.7071'}, {'583': '0.7071'}, {'183': '0.7071'}, {'413': '0.7071'}, {'820': '0.7071'}, {'208': '0.7071'}, {'872': '0.7071'}, {'109': '0.7071'}, {'791': '0.7071'}]	[{'1': '0.0'}, {'568': '0.0'}, {'572': '0.0'}, {'574': '0.0'}, {'577': '0.0'}, {'578': '0.0'}, {'582': '0.0'}, {'584': '0.0'}, {'585': '0.0'}, {'588': '0.0'}]	[{'1': '0'}, {'568': '0'}, {'572': '0'}, {'574': '0'}, {'577': '0'}, {'578': '0'}, {'582': '0'}, {'584': '0'}, {'585': '0'}, {'588': '0'}]	[{'1': '0.0'}, {'568': '0.0'}, {'572': '0.0'}, {'574': '0.0'}, {'577': '0.0'}, {'578': '0.0'}, {'582': '0.0'}, {'584': '0.0'}, {'585': '0.0'}, {'588': '0.0'}]	[{'1': '0.0'}, {'568': '0.0'}, {'572': '0.0'}, {'574': '0.0'}, {'577': '0.0'}, {'578': '0.0'}, {'582': '0.0'}, {'584': '0.0'}, {'585': '0.0'}, {'588': '0.0'}]	[{'1': '0.0'}, {'568': '0.0'}, {'572': '0.0'}, {'574': '0.0'}, {'577': '0.0'}, {'578': '0.0'}, {'582': '0.0'}, {'584': '0.0'}, {'585': '0.0'}, {'588': '0.0'}]
AsymItemKNN	mids-100000-5	0.0906	0.4856	0.1055	0.0879	0.0364	0.1216	31.021	0.0608	[{'204': '0.8'}, {'357': '0.7'}, {'365': '0.6'}, {'547': '0.6'}, {'184': '0.6'}, {'515': '0.6'}, {'244': '0.6'}, {'666': '0.6'}, {'331': '0.6'}, {'218': '0.6'}]	[{'1044': '1'}, {'830': '1'}, {'417': '1'}, {'418': '1'}, {'419': '1'}, {'828': '1'}, {'422': '1'}, {'414': '1'}, {'827': '1'}, {'425': '1'}]	[{'693': '1.0'}, {'32': '1.0'}, {'529': '1.0'}, {'513': '1.0'}, {'702': '1.0'}, {'784': '1.0'}, {'1020': '1.0'}, {'444': '1.0'}, {'428': '1.0'}, {'166': '1.0'}]	[{'1020': '0.9709'}, {'204': '0.8263'}, {'444': '0.7904'}, {'859': '0.6497'}, {'515': '0.5997'}, {'847': '0.5742'}, {'455': '0.5621'}, {'357': '0.5559'}, {'365': '0.5448'}, {'68': '0.5434'}]	[{'1020': '0.9167'}, {'204': '0.7004'}, {'444': '0.6'}, {'859': '0.4598'}, {'515': '0.4362'}, {'847': '0.4035'}, {'357': '0.3896'}, {'365': '0.3739'}, {'455': '0.3696'}, {'68': '0.3655'}]	[{'1': '0.0'}, {'576': '0.0'}, {'578': '0.0'}, {'579': '0.0'}, {'580': '0.0'}, {'581': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'588': '0.0'}, {'574': '0.0'}]	[{'1': '0'}, {'576': '0'}, {'578': '0'}, {'579': '0'}, {'580': '0'}, {'581': '0'}, {'585': '0'}, {'586': '0'}, {'588': '0'}, {'574': '0'}]	[{'1': '0.0'}, {'576': '0.0'}, {'578': '0.0'}, {'579': '0.0'}, {'580': '0.0'}, {'581': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'588': '0.0'}, {'574': '0.0'}]	[{'1': '0.0'}, {'576': '0.0'}, {'578': '0.0'}, {'579': '0.0'}, {'580': '0.0'}, {'581': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'588': '0.0'}, {'574': '0.0'}]	[{'1': '0.0'}, {'576': '0.0'}, {'578': '0.0'}, {'579': '0.0'}, {'580': '0.0'}, {'581': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'588': '0.0'}, {'574': '0.0'}]
AsymItemKNN	mids-100000-6	0.0982	0.5285	0.1076	0.0932	0.0358	0.1375	47.3509	0.1553	[{'1031': '0.7'}, {'1017': '0.7'}, {'88': '0.6'}, {'546': '0.6'}, {'449': '0.6'}, {'354': '0.6'}, {'428': '0.6'}, {'880': '0.6'}, {'1177': '0.5'}, {'620': '0.5'}]	[{'1': '1'}, {'657': '1'}, {'660': '1'}, {'661': '1'}, {'663': '1'}, {'664': '1'}, {'665': '1'}, {'666': '1'}, {'667': '1'}, {'669': '1'}]	[{'385': '1.0'}, {'962': '1.0'}, {'486': '1.0'}, {'913': '1.0'}, {'684': '1.0'}, {'909': '1.0'}, {'10': '1.0'}, {'666': '1.0'}, {'874': '1.0'}, {'904': '1.0'}]	[{'609': '0.6266'}, {'1031': '0.6215'}, {'88': '0.5551'}, {'666': '0.5531'}, {'1017': '0.5463'}, {'90': '0.541'}, {'595': '0.541'}, {'546': '0.5305'}, {'840': '0.5087'}, {'124': '0.4903'}]	[{'1031': '0.4675'}, {'609': '0.4467'}, {'666': '0.4'}, {'88': '0.3808'}, {'1017': '0.3796'}, {'90': '0.3544'}, {'595': '0.3544'}, {'546': '0.3394'}, {'840': '0.327'}, {'124': '0.3175'}]	[{'929': '0.0'}, {'882': '0.0'}, {'429': '0.0'}, {'432': '0.0'}, {'433': '0.0'}, {'876': '0.0'}, {'875': '0.0'}, {'437': '0.0'}, {'438': '0.0'}, {'439': '0.0'}]	[{'384': '0'}, {'831': '0'}, {'659': '0'}, {'658': '0'}, {'394': '0'}, {'967': '0'}, {'966': '0'}, {'390': '0'}, {'832': '0'}, {'399': '0'}]	[{'892': '0.0'}, {'453': '0.0'}, {'454': '0.0'}, {'853': '0.0'}, {'456': '0.0'}, {'457': '0.0'}, {'458': '0.0'}, {'851': '0.0'}, {'460': '0.0'}, {'461': '0.0'}]	[{'763': '0.0'}, {'394': '0.0'}, {'976': '0.0'}, {'630': '0.0'}, {'980': '0.0'}, {'390': '0.0'}, {'389': '0.0'}, {'388': '0.0'}, {'631': '0.0'}, {'632': '0.0'}]	[{'402': '0.0'}, {'447': '0.0'}, {'448': '0.0'}, {'967': '0.0'}, {'966': '0.0'}, {'453': '0.0'}, {'454': '0.0'}, {'456': '0.0'}, {'457': '0.0'}, {'458': '0.0'}]
AsymItemKNN	mids-100000-7	0.1084	0.5038	0.1436	0.1089	0.0493	0.0962	35.7849	0.1248	[{'477': '0.8'}, {'539': '0.7'}, {'666': '0.7'}, {'759': '0.7'}, {'309': '0.6'}, {'579': '0.6'}, {'387': '0.6'}, {'571': '0.6'}, {'887': '0.6'}, {'549': '0.6'}]	[{'1': '1'}, {'404': '1'}, {'403': '1'}, {'709': '1'}, {'401': '1'}, {'710': '1'}, {'397': '1'}, {'713': '1'}, {'395': '1'}, {'394': '1'}]	[{'689': '1.0'}, {'371': '1.0'}, {'521': '1.0'}, {'723': '1.0'}, {'719': '1.0'}, {'508': '1.0'}, {'902': '1.0'}, {'191': '1.0'}, {'471': '1.0'}, {'230': '1.0'}]	[{'521': '0.9218'}, {'100': '0.7028'}, {'477': '0.6851'}, {'266': '0.6154'}, {'759': '0.6103'}, {'825': '0.5969'}, {'539': '0.5626'}, {'438': '0.5541'}, {'653': '0.5332'}, {'666': '0.531'}]	[{'521': '0.8095'}, {'100': '0.594'}, {'477': '0.5475'}, {'759': '0.4641'}, {'266': '0.4512'}, {'539': '0.3996'}, {'408': '0.3833'}, {'825': '0.381'}, {'438': '0.38'}, {'666': '0.3713'}]	[{'461': '0.0'}, {'502': '0.0'}, {'504': '0.0'}, {'506': '0.0'}, {'510': '0.0'}, {'512': '0.0'}, {'514': '0.0'}, {'500': '0.0'}, {'515': '0.0'}, {'523': '0.0'}]	[{'461': '0'}, {'502': '0'}, {'504': '0'}, {'506': '0'}, {'510': '0'}, {'512': '0'}, {'514': '0'}, {'500': '0'}, {'515': '0'}, {'523': '0'}]	[{'461': '0.0'}, {'502': '0.0'}, {'504': '0.0'}, {'506': '0.0'}, {'510': '0.0'}, {'512': '0.0'}, {'514': '0.0'}, {'500': '0.0'}, {'515': '0.0'}, {'523': '0.0'}]	[{'461': '0.0'}, {'502': '0.0'}, {'504': '0.0'}, {'506': '0.0'}, {'510': '0.0'}, {'512': '0.0'}, {'514': '0.0'}, {'500': '0.0'}, {'515': '0.0'}, {'523': '0.0'}]	[{'461': '0.0'}, {'502': '0.0'}, {'504': '0.0'}, {'506': '0.0'}, {'510': '0.0'}, {'512': '0.0'}, {'514': '0.0'}, {'500': '0.0'}, {'515': '0.0'}, {'523': '0.0'}]
AsymItemKNN	mids-100000-8	0.1376	0.5613	0.1967	0.1489	0.0802	0.1098	41.2407	0.0313	[{'134': '0.9'}, {'209': '0.9'}, {'615': '0.8'}, {'926': '0.8'}, {'317': '0.8'}, {'825': '0.8'}, {'225': '0.8'}, {'628': '0.8'}, {'690': '0.8'}, {'131': '0.8'}]	[{'486': '1'}, {'421': '1'}, {'784': '1'}, {'425': '1'}, {'426': '1'}, {'427': '1'}, {'428': '1'}, {'420': '1'}, {'781': '1'}, {'432': '1'}]	[{'416': '1.0'}, {'446': '1.0'}, {'282': '1.0'}, {'472': '1.0'}, {'33': '1.0'}, {'930': '1.0'}, {'204': '1.0'}, {'36': '1.0'}, {'604': '1.0'}, {'601': '1.0'}]	[{'930': '0.9766'}, {'543': '0.8482'}, {'134': '0.8329'}, {'615': '0.8202'}, {'127': '0.7817'}, {'260': '0.7817'}, {'209': '0.7799'}, {'624': '0.7654'}, {'271': '0.7589'}, {'685': '0.7404'}]	[{'930': '0.9214'}, {'134': '0.7857'}, {'615': '0.7603'}, {'543': '0.7328'}, {'260': '0.71'}, {'127': '0.71'}, {'209': '0.7071'}, {'624': '0.6667'}, {'230': '0.6389'}, {'685': '0.6384'}]	[{'1': '0.0'}, {'510': '0.0'}, {'511': '0.0'}, {'514': '0.0'}, {'518': '0.0'}, {'520': '0.0'}, {'521': '0.0'}, {'506': '0.0'}, {'522': '0.0'}, {'524': '0.0'}]	[{'1': '0'}, {'510': '0'}, {'511': '0'}, {'514': '0'}, {'518': '0'}, {'520': '0'}, {'521': '0'}, {'506': '0'}, {'522': '0'}, {'524': '0'}]	[{'1': '0.0'}, {'510': '0.0'}, {'511': '0.0'}, {'514': '0.0'}, {'518': '0.0'}, {'520': '0.0'}, {'521': '0.0'}, {'506': '0.0'}, {'522': '0.0'}, {'524': '0.0'}]	[{'1': '0.0'}, {'510': '0.0'}, {'511': '0.0'}, {'514': '0.0'}, {'518': '0.0'}, {'520': '0.0'}, {'521': '0.0'}, {'506': '0.0'}, {'522': '0.0'}, {'524': '0.0'}]	[{'1': '0.0'}, {'510': '0.0'}, {'511': '0.0'}, {'514': '0.0'}, {'518': '0.0'}, {'520': '0.0'}, {'521': '0.0'}, {'506': '0.0'}, {'522': '0.0'}, {'524': '0.0'}]
AsymItemKNN	mids-100000-9	0.1406	0.5833	0.2255	0.1619	0.094	0.1239	51.3816	0.0231	[{'39': '1.0'}, {'198': '1.0'}, {'470': '1.0'}, {'431': '0.9'}, {'421': '0.9'}, {'142': '0.9'}, {'97': '0.9'}, {'870': '0.9'}, {'712': '0.9'}, {'435': '0.9'}]	[{'550': '1'}, {'615': '1'}, {'619': '1'}, {'620': '1'}, {'622': '1'}, {'623': '1'}, {'626': '1'}, {'627': '1'}, {'635': '1'}, {'640': '1'}]	[{'550': '1.0'}, {'744': '1.0'}, {'142': '1.0'}, {'146': '1.0'}, {'728': '1.0'}, {'153': '1.0'}, {'156': '1.0'}, {'717': '1.0'}, {'710': '1.0'}, {'163': '1.0'}]	[{'573': '1.0'}, {'55': '1.0'}, {'198': '1.0'}, {'435': '1.0'}, {'431': '1.0'}, {'39': '1.0'}, {'705': '1.0'}, {'182': '1.0'}, {'470': '1.0'}, {'87': '0.9888'}]	[{'705': '1.0'}, {'39': '1.0'}, {'435': '1.0'}, {'198': '1.0'}, {'573': '1.0'}, {'182': '1.0'}, {'55': '1.0'}, {'431': '1.0'}, {'470': '1.0'}, {'87': '0.9617'}]	[{'1': '0.0'}, {'325': '0.0'}, {'832': '0.0'}, {'323': '0.0'}, {'516': '0.0'}, {'321': '0.0'}, {'836': '0.0'}, {'319': '0.0'}, {'318': '0.0'}, {'317': '0.0'}]	[{'1': '0'}, {'852': '0'}, {'429': '0'}, {'428': '0'}, {'857': '0'}, {'422': '0'}, {'859': '0'}, {'419': '0'}, {'418': '0'}, {'860': '0'}]	[{'1': '0.0'}, {'449': '0.0'}, {'923': '0.0'}, {'922': '0.0'}, {'921': '0.0'}, {'919': '0.0'}, {'457': '0.0'}, {'447': '0.0'}, {'459': '0.0'}, {'465': '0.0'}]	[{'1': '0.0'}, {'463': '0.0'}, {'465': '0.0'}, {'933': '0.0'}, {'932': '0.0'}, {'475': '0.0'}, {'478': '0.0'}, {'934': '0.0'}, {'479': '0.0'}, {'481': '0.0'}]	[{'1': '0.0'}, {'483': '0.0'}, {'949': '0.0'}, {'948': '0.0'}, {'946': '0.0'}, {'489': '0.0'}, {'490': '0.0'}, {'481': '0.0'}, {'491': '0.0'}, {'495': '0.0'}]
AsymItemKNN	mids-100000-10	0.1158	0.5362	0.1565	0.1226	0.0582	0.132	59.8394	0.1216	[{'645': '0.8'}, {'1064': '0.7'}, {'676': '0.7'}, {'920': '0.7'}, {'582': '0.7'}, {'707': '0.7'}, {'26': '0.7'}, {'869': '0.7'}, {'574': '0.7'}, {'566': '0.7'}]	[{'615': '1'}, {'514': '1'}, {'516': '1'}, {'517': '1'}, {'1001': '1'}, {'520': '1'}, {'521': '1'}, {'523': '1'}, {'999': '1'}, {'512': '1'}]	[{'218': '1.0'}, {'410': '1.0'}, {'582': '1.0'}, {'328': '1.0'}, {'970': '1.0'}, {'152': '1.0'}, {'925': '1.0'}, {'716': '1.0'}, {'459': '1.0'}, {'203': '1.0'}]	[{'1216': '1.0'}, {'284': '0.7271'}, {'582': '0.6659'}, {'676': '0.6632'}, {'798': '0.6632'}, {'645': '0.641'}, {'283': '0.6367'}, {'1105': '0.6309'}, {'223': '0.6132'}, {'975': '0.6131'}]	[{'1216': '1.0'}, {'284': '0.5903'}, {'676': '0.5304'}, {'798': '0.5304'}, {'645': '0.5142'}, {'1105': '0.5'}, {'283': '0.5'}, {'975': '0.5'}, {'73': '0.4641'}, {'582': '0.4563'}]	[{'1': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'662': '0.0'}, {'664': '0.0'}, {'667': '0.0'}, {'669': '0.0'}, {'670': '0.0'}, {'671': '0.0'}, {'672': '0.0'}]	[{'1': '0'}, {'659': '0'}, {'660': '0'}, {'662': '0'}, {'664': '0'}, {'667': '0'}, {'669': '0'}, {'670': '0'}, {'671': '0'}, {'672': '0'}]	[{'1': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'662': '0.0'}, {'664': '0.0'}, {'667': '0.0'}, {'669': '0.0'}, {'670': '0.0'}, {'671': '0.0'}, {'672': '0.0'}]	[{'1': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'662': '0.0'}, {'664': '0.0'}, {'667': '0.0'}, {'669': '0.0'}, {'670': '0.0'}, {'671': '0.0'}, {'672': '0.0'}]	[{'1': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'662': '0.0'}, {'664': '0.0'}, {'667': '0.0'}, {'669': '0.0'}, {'670': '0.0'}, {'671': '0.0'}, {'672': '0.0'}]
