Model	dataset	precision@10	hit@10	mrr@10	ndcg@10	map@10	itemcoverage@10	averagepopularity@10	tailpercentage@10	best_user_precision@[10]	best_user_hit@[10]	best_user_mrr@[10]	best_user_ndcg@[10]	best_user_map@[10]	worst_user_precision@[10]	worst_user_hit@[10]	worst_user_mrr@[10]	worst_user_ndcg@[10]	worst_user_map@[10]
BPR	mids-100000-1	0.1367	0.5492	0.2931	0.1698	0.1015	0.0803	62.7296	0.0006	[{'378': '1.0'}, {'363': '1.0'}, {'329': '1.0'}, {'926': '1.0'}, {'740': '1.0'}, {'323': '0.9'}, {'398': '0.9'}, {'379': '0.9'}, {'790': '0.9'}, {'113': '0.9'}]	[{'1': '1'}, {'449': '1'}, {'451': '1'}, {'452': '1'}, {'455': '1'}, {'456': '1'}, {'458': '1'}, {'459': '1'}, {'448': '1'}, {'460': '1'}]	[{'358': '1.0'}, {'436': '1.0'}, {'954': '1.0'}, {'845': '1.0'}, {'847': '1.0'}, {'424': '1.0'}, {'848': '1.0'}, {'419': '1.0'}, {'417': '1.0'}, {'176': '1.0'}]	[{'740': '1.0'}, {'329': '1.0'}, {'727': '1.0'}, {'363': '1.0'}, {'758': '1.0'}, {'978': '1.0'}, {'713': '1.0'}, {'378': '1.0'}, {'926': '1.0'}, {'16': '0.9364'}]	[{'926': '1.0'}, {'740': '1.0'}, {'329': '1.0'}, {'727': '1.0'}, {'978': '1.0'}, {'758': '1.0'}, {'378': '1.0'}, {'363': '1.0'}, {'713': '1.0'}, {'16': '0.9'}]	[{'518': '0.0'}, {'573': '0.0'}, {'574': '0.0'}, {'575': '0.0'}, {'576': '0.0'}, {'579': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'592': '0.0'}, {'593': '0.0'}]	[{'518': '0'}, {'573': '0'}, {'574': '0'}, {'575': '0'}, {'576': '0'}, {'579': '0'}, {'583': '0'}, {'585': '0'}, {'592': '0'}, {'593': '0'}]	[{'518': '0.0'}, {'573': '0.0'}, {'574': '0.0'}, {'575': '0.0'}, {'576': '0.0'}, {'579': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'592': '0.0'}, {'593': '0.0'}]	[{'518': '0.0'}, {'573': '0.0'}, {'574': '0.0'}, {'575': '0.0'}, {'576': '0.0'}, {'579': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'592': '0.0'}, {'593': '0.0'}]	[{'518': '0.0'}, {'573': '0.0'}, {'574': '0.0'}, {'575': '0.0'}, {'576': '0.0'}, {'579': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'592': '0.0'}, {'593': '0.0'}]
BPR	mids-100000-2	0.1261	0.5567	0.2976	0.1682	0.098	0.0639	78.2073	0.0015	[{'844': '1.0'}, {'826': '1.0'}, {'565': '0.9'}, {'891': '0.9'}, {'1009': '0.9'}, {'842': '0.9'}, {'451': '0.9'}, {'448': '0.9'}, {'1070': '0.9'}, {'432': '0.8'}]	[{'1': '1'}, {'619': '1'}, {'620': '1'}, {'621': '1'}, {'622': '1'}, {'623': '1'}, {'624': '1'}, {'625': '1'}, {'629': '1'}, {'633': '1'}]	[{'1': '1.0'}, {'794': '1.0'}, {'789': '1.0'}, {'420': '1.0'}, {'213': '1.0'}, {'783': '1.0'}, {'781': '1.0'}, {'217': '1.0'}, {'773': '1.0'}, {'772': '1.0'}]	[{'844': '1.0'}, {'826': '1.0'}, {'111': '1.0'}, {'476': '0.9963'}, {'693': '0.9838'}, {'565': '0.9337'}, {'1070': '0.9337'}, {'448': '0.9306'}, {'451': '0.9266'}, {'1009': '0.9266'}]	[{'844': '1.0'}, {'826': '1.0'}, {'111': '1.0'}, {'476': '0.9861'}, {'693': '0.9484'}, {'565': '0.89'}, {'1070': '0.89'}, {'448': '0.8789'}, {'1009': '0.8664'}, {'451': '0.8664'}]	[{'543': '0.0'}, {'780': '0.0'}, {'383': '0.0'}, {'782': '0.0'}, {'784': '0.0'}, {'380': '0.0'}, {'379': '0.0'}, {'378': '0.0'}, {'377': '0.0'}, {'373': '0.0'}]	[{'543': '0'}, {'439': '0'}, {'863': '0'}, {'436': '0'}, {'433': '0'}, {'431': '0'}, {'428': '0'}, {'426': '0'}, {'425': '0'}, {'424': '0'}]	[{'543': '0.0'}, {'835': '0.0'}, {'418': '0.0'}, {'837': '0.0'}, {'838': '0.0'}, {'415': '0.0'}, {'414': '0.0'}, {'839': '0.0'}, {'412': '0.0'}, {'411': '0.0'}]	[{'543': '0.0'}, {'753': '0.0'}, {'754': '0.0'}, {'755': '0.0'}, {'369': '0.0'}, {'757': '0.0'}, {'758': '0.0'}, {'366': '0.0'}, {'364': '0.0'}, {'762': '0.0'}]	[{'543': '0.0'}, {'377': '0.0'}, {'755': '0.0'}, {'757': '0.0'}, {'373': '0.0'}, {'758': '0.0'}, {'762': '0.0'}, {'765': '0.0'}, {'369': '0.0'}, {'767': '0.0'}]
BPR	mids-100000-3	0.1346	0.6	0.3212	0.1812	0.1045	0.0861	107.9739	0.0012	[{'952': '1.0'}, {'20': '1.0'}, {'73': '1.0'}, {'1219': '1.0'}, {'895': '1.0'}, {'492': '1.0'}, {'1188': '1.0'}, {'948': '1.0'}, {'956': '1.0'}, {'629': '0.9'}]	[{'625': '1'}, {'726': '1'}, {'729': '1'}, {'730': '1'}, {'731': '1'}, {'733': '1'}, {'734': '1'}, {'737': '1'}, {'738': '1'}, {'739': '1'}]	[{'625': '1.0'}, {'672': '1.0'}, {'678': '1.0'}, {'681': '1.0'}, {'686': '1.0'}, {'689': '1.0'}, {'699': '1.0'}, {'658': '1.0'}, {'700': '1.0'}, {'219': '1.0'}]	[{'1219': '1.0'}, {'20': '1.0'}, {'492': '1.0'}, {'73': '1.0'}, {'704': '1.0'}, {'1188': '1.0'}, {'895': '1.0'}, {'634': '1.0'}, {'956': '1.0'}, {'952': '1.0'}]	[{'1219': '1.0'}, {'948': '1.0'}, {'20': '1.0'}, {'956': '1.0'}, {'492': '1.0'}, {'634': '1.0'}, {'73': '1.0'}, {'952': '1.0'}, {'895': '1.0'}, {'1188': '1.0'}]	[{'1': '0.0'}, {'426': '0.0'}, {'896': '0.0'}, {'424': '0.0'}, {'422': '0.0'}, {'899': '0.0'}, {'420': '0.0'}, {'905': '0.0'}, {'906': '0.0'}, {'415': '0.0'}]	[{'1': '0'}, {'660': '0'}, {'1047': '0'}, {'373': '0'}, {'372': '0'}, {'863': '0'}, {'370': '0'}, {'662': '0'}, {'1050': '0'}, {'663': '0'}]	[{'1': '0.0'}, {'1059': '0.0'}, {'490': '0.0'}, {'1058': '0.0'}, {'1057': '0.0'}, {'493': '0.0'}, {'1055': '0.0'}, {'499': '0.0'}, {'1052': '0.0'}, {'503': '0.0'}]	[{'1': '0.0'}, {'458': '0.0'}, {'979': '0.0'}, {'462': '0.0'}, {'464': '0.0'}, {'975': '0.0'}, {'974': '0.0'}, {'457': '0.0'}, {'469': '0.0'}, {'471': '0.0'}]	[{'1': '0.0'}, {'1009': '0.0'}, {'469': '0.0'}, {'470': '0.0'}, {'471': '0.0'}, {'474': '0.0'}, {'475': '0.0'}, {'478': '0.0'}, {'1003': '0.0'}, {'481': '0.0'}]
BPR	mids-100000-4	0.1216	0.5377	0.2823	0.1504	0.0837	0.0757	84.2978	0.0011	[{'1083': '1.0'}, {'583': '1.0'}, {'872': '1.0'}, {'109': '1.0'}, {'183': '1.0'}, {'524': '1.0'}, {'170': '0.9'}, {'19': '0.9'}, {'635': '0.9'}, {'684': '0.9'}]	[{'551': '1'}, {'469': '1'}, {'858': '1'}, {'471': '1'}, {'472': '1'}, {'854': '1'}, {'479': '1'}, {'851': '1'}, {'481': '1'}, {'483': '1'}]	[{'551': '1.0'}, {'624': '1.0'}, {'298': '1.0'}, {'937': '1.0'}, {'486': '1.0'}, {'618': '1.0'}, {'616': '1.0'}, {'1019': '1.0'}, {'493': '1.0'}, {'796': '1.0'}]	[{'524': '1.0'}, {'1083': '1.0'}, {'872': '1.0'}, {'183': '1.0'}, {'583': '1.0'}, {'109': '1.0'}, {'635': '0.9364'}, {'19': '0.9337'}, {'208': '0.9306'}, {'684': '0.9266'}]	[{'109': '1.0'}, {'524': '1.0'}, {'1083': '1.0'}, {'872': '1.0'}, {'583': '1.0'}, {'183': '1.0'}, {'635': '0.9'}, {'19': '0.89'}, {'208': '0.8789'}, {'684': '0.8664'}]	[{'1': '0.0'}, {'566': '0.0'}, {'567': '0.0'}, {'568': '0.0'}, {'569': '0.0'}, {'573': '0.0'}, {'574': '0.0'}, {'577': '0.0'}, {'563': '0.0'}, {'578': '0.0'}]	[{'1': '0'}, {'566': '0'}, {'567': '0'}, {'568': '0'}, {'569': '0'}, {'573': '0'}, {'574': '0'}, {'577': '0'}, {'563': '0'}, {'578': '0'}]	[{'1': '0.0'}, {'566': '0.0'}, {'567': '0.0'}, {'568': '0.0'}, {'569': '0.0'}, {'573': '0.0'}, {'574': '0.0'}, {'577': '0.0'}, {'563': '0.0'}, {'578': '0.0'}]	[{'1': '0.0'}, {'566': '0.0'}, {'567': '0.0'}, {'568': '0.0'}, {'569': '0.0'}, {'573': '0.0'}, {'574': '0.0'}, {'577': '0.0'}, {'563': '0.0'}, {'578': '0.0'}]	[{'1': '0.0'}, {'566': '0.0'}, {'567': '0.0'}, {'568': '0.0'}, {'569': '0.0'}, {'573': '0.0'}, {'574': '0.0'}, {'577': '0.0'}, {'563': '0.0'}, {'578': '0.0'}]
BPR	mids-100000-5	0.1324	0.5642	0.3025	0.1737	0.1046	0.0831	63.8661	0.001	[{'131': '1.0'}, {'170': '1.0'}, {'977': '1.0'}, {'877': '1.0'}, {'547': '1.0'}, {'204': '1.0'}, {'757': '0.9'}, {'979': '0.9'}, {'133': '0.9'}, {'185': '0.9'}]	[{'1044': '1'}, {'449': '1'}, {'851': '1'}, {'451': '1'}, {'452': '1'}, {'850': '1'}, {'849': '1'}, {'455': '1'}, {'448': '1'}, {'848': '1'}]	[{'1044': '1.0'}, {'346': '1.0'}, {'895': '1.0'}, {'340': '1.0'}, {'339': '1.0'}, {'899': '1.0'}, {'331': '1.0'}, {'327': '1.0'}, {'894': '1.0'}, {'326': '1.0'}]	[{'977': '1.0'}, {'877': '1.0'}, {'1029': '1.0'}, {'365': '1.0'}, {'847': '1.0'}, {'339': '1.0'}, {'515': '1.0'}, {'547': '1.0'}, {'331': '1.0'}, {'68': '1.0'}]	[{'847': '1.0'}, {'877': '1.0'}, {'170': '1.0'}, {'204': '1.0'}, {'57': '1.0'}, {'290': '1.0'}, {'339': '1.0'}, {'977': '1.0'}, {'365': '1.0'}, {'515': '1.0'}]	[{'1': '0.0'}, {'571': '0.0'}, {'576': '0.0'}, {'578': '0.0'}, {'579': '0.0'}, {'580': '0.0'}, {'581': '0.0'}, {'583': '0.0'}, {'586': '0.0'}, {'588': '0.0'}]	[{'1': '0'}, {'571': '0'}, {'576': '0'}, {'578': '0'}, {'579': '0'}, {'580': '0'}, {'581': '0'}, {'583': '0'}, {'586': '0'}, {'588': '0'}]	[{'1': '0.0'}, {'571': '0.0'}, {'576': '0.0'}, {'578': '0.0'}, {'579': '0.0'}, {'580': '0.0'}, {'581': '0.0'}, {'583': '0.0'}, {'586': '0.0'}, {'588': '0.0'}]	[{'1': '0.0'}, {'571': '0.0'}, {'576': '0.0'}, {'578': '0.0'}, {'579': '0.0'}, {'580': '0.0'}, {'581': '0.0'}, {'583': '0.0'}, {'586': '0.0'}, {'588': '0.0'}]	[{'1': '0.0'}, {'571': '0.0'}, {'576': '0.0'}, {'578': '0.0'}, {'579': '0.0'}, {'580': '0.0'}, {'581': '0.0'}, {'583': '0.0'}, {'586': '0.0'}, {'588': '0.0'}]
BPR	mids-100000-6	0.1435	0.6194	0.3331	0.1889	0.1105	0.0843	91.406	0.0012	[{'576': '1.0'}, {'1061': '1.0'}, {'1129': '1.0'}, {'272': '1.0'}, {'1106': '1.0'}, {'940': '1.0'}, {'215': '1.0'}, {'205': '1.0'}, {'765': '1.0'}, {'1097': '1.0'}]	[{'589': '1'}, {'689': '1'}, {'690': '1'}, {'691': '1'}, {'692': '1'}, {'693': '1'}, {'694': '1'}, {'695': '1'}, {'696': '1'}, {'697': '1'}]	[{'589': '1.0'}, {'549': '1.0'}, {'545': '1.0'}, {'539': '1.0'}, {'533': '1.0'}, {'518': '1.0'}, {'516': '1.0'}, {'514': '1.0'}, {'512': '1.0'}, {'511': '1.0'}]	[{'205': '1.0'}, {'978': '1.0'}, {'1061': '1.0'}, {'272': '1.0'}, {'940': '1.0'}, {'765': '1.0'}, {'1129': '1.0'}, {'215': '1.0'}, {'576': '1.0'}, {'1106': '1.0'}]	[{'576': '1.0'}, {'978': '1.0'}, {'940': '1.0'}, {'419': '1.0'}, {'272': '1.0'}, {'765': '1.0'}, {'724': '1.0'}, {'205': '1.0'}, {'1097': '1.0'}, {'1061': '1.0'}]	[{'1': '0.0'}, {'831': '0.0'}, {'380': '0.0'}, {'379': '0.0'}, {'378': '0.0'}, {'832': '0.0'}, {'833': '0.0'}, {'374': '0.0'}, {'839': '0.0'}, {'841': '0.0'}]	[{'1': '0'}, {'437': '0'}, {'916': '0'}, {'917': '0'}, {'433': '0'}, {'432': '0'}, {'919': '0'}, {'425': '0'}, {'925': '0'}, {'423': '0'}]	[{'1': '0.0'}, {'496': '0.0'}, {'498': '0.0'}, {'499': '0.0'}, {'500': '0.0'}, {'1067': '0.0'}, {'505': '0.0'}, {'1069': '0.0'}, {'506': '0.0'}, {'510': '0.0'}]	[{'1': '0.0'}, {'494': '0.0'}, {'496': '0.0'}, {'498': '0.0'}, {'499': '0.0'}, {'500': '0.0'}, {'1060': '0.0'}, {'492': '0.0'}, {'1057': '0.0'}, {'505': '0.0'}]	[{'1': '0.0'}, {'1076': '0.0'}, {'505': '0.0'}, {'506': '0.0'}, {'507': '0.0'}, {'510': '0.0'}, {'1074': '0.0'}, {'500': '0.0'}, {'515': '0.0'}, {'519': '0.0'}]
BPR	mids-100000-7	0.1246	0.5223	0.273	0.1563	0.0911	0.0575	63.3236	0.0003	[{'181': '1.0'}, {'428': '1.0'}, {'549': '1.0'}, {'309': '1.0'}, {'579': '1.0'}, {'114': '0.9'}, {'870': '0.9'}, {'702': '0.9'}, {'580': '0.9'}, {'861': '0.9'}]	[{'1': '1'}, {'516': '1'}, {'517': '1'}, {'518': '1'}, {'519': '1'}, {'520': '1'}, {'521': '1'}, {'525': '1'}, {'513': '1'}, {'527': '1'}]	[{'188': '1.0'}, {'186': '1.0'}, {'702': '1.0'}, {'693': '1.0'}, {'692': '1.0'}, {'200': '1.0'}, {'483': '1.0'}, {'202': '1.0'}, {'687': '1.0'}, {'686': '1.0'}]	[{'579': '1.0'}, {'428': '1.0'}, {'146': '1.0'}, {'309': '1.0'}, {'181': '1.0'}, {'549': '1.0'}, {'114': '0.9364'}, {'870': '0.9364'}, {'702': '0.9337'}, {'571': '0.9266'}]	[{'579': '1.0'}, {'549': '1.0'}, {'146': '1.0'}, {'309': '1.0'}, {'181': '1.0'}, {'428': '1.0'}, {'114': '0.9'}, {'870': '0.9'}, {'702': '0.89'}, {'571': '0.8664'}]	[{'461': '0.0'}, {'679': '0.0'}, {'682': '0.0'}, {'338': '0.0'}, {'337': '0.0'}, {'336': '0.0'}, {'335': '0.0'}, {'683': '0.0'}, {'333': '0.0'}, {'684': '0.0'}]	[{'461': '0'}, {'734': '0'}, {'375': '0'}, {'737': '0'}, {'370': '0'}, {'739': '0'}, {'368': '0'}, {'740': '0'}, {'366': '0'}, {'741': '0'}]	[{'461': '0.0'}, {'325': '0.0'}, {'643': '0.0'}, {'321': '0.0'}, {'320': '0.0'}, {'319': '0.0'}, {'318': '0.0'}, {'317': '0.0'}, {'316': '0.0'}, {'315': '0.0'}]	[{'461': '0.0'}, {'316': '0.0'}, {'315': '0.0'}, {'314': '0.0'}, {'313': '0.0'}, {'312': '0.0'}, {'627': '0.0'}, {'310': '0.0'}, {'631': '0.0'}, {'633': '0.0'}]	[{'461': '0.0'}, {'320': '0.0'}, {'319': '0.0'}, {'318': '0.0'}, {'317': '0.0'}, {'316': '0.0'}, {'315': '0.0'}, {'314': '0.0'}, {'313': '0.0'}, {'312': '0.0'}]
BPR	mids-100000-8	0.1427	0.5654	0.3168	0.1835	0.1137	0.0682	65.1422	0.0007	[{'913': '1.0'}, {'690': '1.0'}, {'209': '1.0'}, {'825': '1.0'}, {'724': '0.9'}, {'645': '0.9'}, {'317': '0.9'}, {'669': '0.9'}, {'597': '0.9'}, {'40': '0.9'}]	[{'486': '1'}, {'576': '1'}, {'577': '1'}, {'579': '1'}, {'582': '1'}, {'583': '1'}, {'586': '1'}, {'588': '1'}, {'589': '1'}, {'568': '1'}]	[{'721': '1.0'}, {'628': '1.0'}, {'814': '1.0'}, {'154': '1.0'}, {'629': '1.0'}, {'156': '1.0'}, {'157': '1.0'}, {'334': '1.0'}, {'332': '1.0'}, {'331': '1.0'}]	[{'913': '1.0'}, {'260': '1.0'}, {'190': '1.0'}, {'230': '1.0'}, {'127': '1.0'}, {'134': '1.0'}, {'690': '1.0'}, {'615': '1.0'}, {'209': '1.0'}, {'114': '1.0'}]	[{'127': '1.0'}, {'913': '1.0'}, {'134': '1.0'}, {'114': '1.0'}, {'190': '1.0'}, {'615': '1.0'}, {'230': '1.0'}, {'690': '1.0'}, {'260': '1.0'}, {'825': '1.0'}]	[{'1': '0.0'}, {'357': '0.0'}, {'356': '0.0'}, {'354': '0.0'}, {'353': '0.0'}, {'709': '0.0'}, {'349': '0.0'}, {'348': '0.0'}, {'712': '0.0'}, {'346': '0.0'}]	[{'1': '0'}, {'763': '0'}, {'390': '0'}, {'389': '0'}, {'388': '0'}, {'764': '0'}, {'383': '0'}, {'768': '0'}, {'381': '0'}, {'380': '0'}]	[{'1': '0.0'}, {'327': '0.0'}, {'668': '0.0'}, {'325': '0.0'}, {'671': '0.0'}, {'672': '0.0'}, {'320': '0.0'}, {'673': '0.0'}, {'318': '0.0'}, {'674': '0.0'}]	[{'1': '0.0'}, {'308': '0.0'}, {'307': '0.0'}, {'306': '0.0'}, {'630': '0.0'}, {'631': '0.0'}, {'303': '0.0'}, {'633': '0.0'}, {'636': '0.0'}, {'300': '0.0'}]	[{'1': '0.0'}, {'308': '0.0'}, {'307': '0.0'}, {'306': '0.0'}, {'630': '0.0'}, {'631': '0.0'}, {'303': '0.0'}, {'633': '0.0'}, {'636': '0.0'}, {'300': '0.0'}]
BPR	mids-100000-9	0.145	0.5823	0.3162	0.1847	0.1132	0.0761	75.8455	0.0003	[{'577': '1.0'}, {'161': '1.0'}, {'472': '1.0'}, {'482': '1.0'}, {'556': '1.0'}, {'870': '1.0'}, {'869': '1.0'}, {'396': '1.0'}, {'263': '1.0'}, {'74': '1.0'}]	[{'550': '1'}, {'617': '1'}, {'619': '1'}, {'620': '1'}, {'621': '1'}, {'622': '1'}, {'623': '1'}, {'625': '1'}, {'626': '1'}, {'627': '1'}]	[{'1099': '1.0'}, {'203': '1.0'}, {'204': '1.0'}, {'711': '1.0'}, {'705': '1.0'}, {'702': '1.0'}, {'691': '1.0'}, {'690': '1.0'}, {'214': '1.0'}, {'685': '1.0'}]	[{'869': '1.0'}, {'712': '1.0'}, {'472': '1.0'}, {'577': '1.0'}, {'705': '1.0'}, {'556': '1.0'}, {'482': '1.0'}, {'161': '1.0'}, {'870': '1.0'}, {'182': '1.0'}]	[{'472': '1.0'}, {'55': '1.0'}, {'601': '1.0'}, {'712': '1.0'}, {'161': '1.0'}, {'577': '1.0'}, {'556': '1.0'}, {'182': '1.0'}, {'204': '1.0'}, {'482': '1.0'}]	[{'1': '0.0'}, {'489': '0.0'}, {'490': '0.0'}, {'491': '0.0'}, {'494': '0.0'}, {'498': '0.0'}, {'976': '0.0'}, {'483': '0.0'}, {'502': '0.0'}, {'505': '0.0'}]	[{'1': '0'}, {'436': '0'}, {'845': '0'}, {'846': '0'}, {'433': '0'}, {'847': '0'}, {'429': '0'}, {'428': '0'}, {'425': '0'}, {'852': '0'}]	[{'1': '0.0'}, {'448': '0.0'}, {'447': '0.0'}, {'445': '0.0'}, {'444': '0.0'}, {'867': '0.0'}, {'872': '0.0'}, {'438': '0.0'}, {'437': '0.0'}, {'436': '0.0'}]	[{'1': '0.0'}, {'922': '0.0'}, {'923': '0.0'}, {'479': '0.0'}, {'478': '0.0'}, {'926': '0.0'}, {'475': '0.0'}, {'471': '0.0'}, {'932': '0.0'}, {'933': '0.0'}]	[{'1': '0.0'}, {'923': '0.0'}, {'479': '0.0'}, {'478': '0.0'}, {'475': '0.0'}, {'926': '0.0'}, {'471': '0.0'}, {'932': '0.0'}, {'933': '0.0'}, {'465': '0.0'}]
BPR	mids-100000-10	0.14	0.6029	0.3367	0.1905	0.1119	0.0794	101.0373	0.0015	[{'1163': '1.0'}, {'582': '1.0'}, {'490': '1.0'}, {'512': '1.0'}, {'26': '1.0'}, {'190': '1.0'}, {'780': '0.9'}, {'869': '0.9'}, {'304': '0.9'}, {'905': '0.9'}]	[{'1': '1'}, {'712': '1'}, {'713': '1'}, {'714': '1'}, {'718': '1'}, {'720': '1'}, {'722': '1'}, {'723': '1'}, {'724': '1'}, {'727': '1'}]	[{'615': '1.0'}, {'322': '1.0'}, {'908': '1.0'}, {'320': '1.0'}, {'910': '1.0'}, {'316': '1.0'}, {'314': '1.0'}, {'916': '1.0'}, {'917': '1.0'}, {'309': '1.0'}]	[{'73': '1.0'}, {'190': '1.0'}, {'582': '1.0'}, {'1163': '1.0'}, {'490': '1.0'}, {'512': '1.0'}, {'26': '1.0'}, {'676': '0.9878'}, {'929': '0.955'}, {'427': '0.9512'}]	[{'73': '1.0'}, {'490': '1.0'}, {'1163': '1.0'}, {'26': '1.0'}, {'190': '1.0'}, {'582': '1.0'}, {'512': '1.0'}, {'676': '0.9571'}, {'574': '0.9'}, {'905': '0.89'}]	[{'1229': '0.0'}, {'808': '0.0'}, {'418': '0.0'}, {'417': '0.0'}, {'811': '0.0'}, {'814': '0.0'}, {'412': '0.0'}, {'818': '0.0'}, {'819': '0.0'}, {'825': '0.0'}]	[{'1229': '0'}, {'469': '0'}, {'470': '0'}, {'471': '0'}, {'472': '0'}, {'918': '0'}, {'474': '0'}, {'466': '0'}, {'475': '0'}, {'477': '0'}]	[{'1229': '0.0'}, {'799': '0.0'}, {'800': '0.0'}, {'803': '0.0'}, {'405': '0.0'}, {'404': '0.0'}, {'403': '0.0'}, {'401': '0.0'}, {'805': '0.0'}, {'398': '0.0'}]	[{'1229': '0.0'}, {'417': '0.0'}, {'805': '0.0'}, {'808': '0.0'}, {'811': '0.0'}, {'412': '0.0'}, {'814': '0.0'}, {'818': '0.0'}, {'819': '0.0'}, {'825': '0.0'}]	[{'1229': '0.0'}, {'800': '0.0'}, {'803': '0.0'}, {'412': '0.0'}, {'805': '0.0'}, {'808': '0.0'}, {'811': '0.0'}, {'814': '0.0'}, {'405': '0.0'}, {'404': '0.0'}]
