Model	dataset	precision@10	hit@10	mrr@10	ndcg@10	map@10	itemcoverage@10	averagepopularity@10	tailpercentage@10	best_user_precision@[10]	best_user_hit@[10]	best_user_mrr@[10]	best_user_ndcg@[10]	best_user_map@[10]	worst_user_precision@[10]	worst_user_hit@[10]	worst_user_mrr@[10]	worst_user_ndcg@[10]	worst_user_map@[10]
LightGCN	mids-100000-1	0.1319	0.5454	0.2882	0.166	0.0978	0.1181	49.6284	0.0047	[{'1020': '1.0'}, {'363': '1.0'}, {'329': '1.0'}, {'300': '0.9'}, {'16': '0.9'}, {'398': '0.9'}, {'740': '0.9'}, {'485': '0.9'}, {'926': '0.9'}, {'113': '0.8'}]	[{'1': '1'}, {'447': '1'}, {'448': '1'}, {'449': '1'}, {'450': '1'}, {'451': '1'}, {'452': '1'}, {'455': '1'}, {'446': '1'}, {'456': '1'}]	[{'1': '1.0'}, {'378': '1.0'}, {'374': '1.0'}, {'373': '1.0'}, {'372': '1.0'}, {'857': '1.0'}, {'365': '1.0'}, {'364': '1.0'}, {'379': '1.0'}, {'363': '1.0'}]	[{'713': '1.0'}, {'329': '1.0'}, {'1020': '1.0'}, {'363': '1.0'}, {'727': '1.0'}, {'758': '0.9888'}, {'978': '0.9797'}, {'485': '0.9364'}, {'926': '0.9337'}, {'16': '0.9306'}]	[{'329': '1.0'}, {'713': '1.0'}, {'727': '1.0'}, {'363': '1.0'}, {'1020': '1.0'}, {'758': '0.9617'}, {'978': '0.9333'}, {'485': '0.9'}, {'926': '0.89'}, {'16': '0.8789'}]	[{'518': '0.0'}, {'579': '0.0'}, {'582': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'594': '0.0'}, {'598': '0.0'}, {'600': '0.0'}, {'601': '0.0'}]	[{'518': '0'}, {'579': '0'}, {'582': '0'}, {'583': '0'}, {'585': '0'}, {'586': '0'}, {'594': '0'}, {'598': '0'}, {'600': '0'}, {'601': '0'}]	[{'518': '0.0'}, {'579': '0.0'}, {'582': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'594': '0.0'}, {'598': '0.0'}, {'600': '0.0'}, {'601': '0.0'}]	[{'518': '0.0'}, {'579': '0.0'}, {'582': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'594': '0.0'}, {'598': '0.0'}, {'600': '0.0'}, {'601': '0.0'}]	[{'518': '0.0'}, {'579': '0.0'}, {'582': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'594': '0.0'}, {'598': '0.0'}, {'600': '0.0'}, {'601': '0.0'}]
LightGCN	mids-100000-2	0.1196	0.5512	0.2868	0.1604	0.0917	0.0935	64.2106	0.0062	[{'451': '1.0'}, {'826': '1.0'}, {'565': '0.9'}, {'1005': '0.9'}, {'1038': '0.9'}, {'891': '0.9'}, {'478': '0.8'}, {'844': '0.8'}, {'1034': '0.8'}, {'842': '0.8'}]	[{'1085': '1'}, {'852': '1'}, {'466': '1'}, {'467': '1'}, {'468': '1'}, {'469': '1'}, {'471': '1'}, {'472': '1'}, {'463': '1'}, {'849': '1'}]	[{'370': '1.0'}, {'1014': '1.0'}, {'478': '1.0'}, {'151': '1.0'}, {'476': '1.0'}, {'468': '1.0'}, {'467': '1.0'}, {'852': '1.0'}, {'157': '1.0'}, {'459': '1.0'}]	[{'826': '1.0'}, {'467': '1.0'}, {'451': '1.0'}, {'397': '0.9705'}, {'478': '0.943'}, {'1038': '0.9364'}, {'565': '0.9337'}, {'476': '0.9202'}, {'432': '0.9188'}, {'1005': '0.9052'}]	[{'826': '1.0'}, {'467': '1.0'}, {'451': '1.0'}, {'397': '0.9151'}, {'1038': '0.9'}, {'565': '0.89'}, {'476': '0.875'}, {'432': '0.8528'}, {'478': '0.8523'}, {'1005': '0.8154'}]	[{'1': '0.0'}, {'547': '0.0'}, {'549': '0.0'}, {'556': '0.0'}, {'558': '0.0'}, {'562': '0.0'}, {'563': '0.0'}, {'568': '0.0'}, {'546': '0.0'}, {'572': '0.0'}]	[{'1': '0'}, {'547': '0'}, {'549': '0'}, {'556': '0'}, {'558': '0'}, {'562': '0'}, {'563': '0'}, {'568': '0'}, {'546': '0'}, {'572': '0'}]	[{'1': '0.0'}, {'547': '0.0'}, {'549': '0.0'}, {'556': '0.0'}, {'558': '0.0'}, {'562': '0.0'}, {'563': '0.0'}, {'568': '0.0'}, {'546': '0.0'}, {'572': '0.0'}]	[{'1': '0.0'}, {'547': '0.0'}, {'549': '0.0'}, {'556': '0.0'}, {'558': '0.0'}, {'562': '0.0'}, {'563': '0.0'}, {'568': '0.0'}, {'546': '0.0'}, {'572': '0.0'}]	[{'1': '0.0'}, {'547': '0.0'}, {'549': '0.0'}, {'556': '0.0'}, {'558': '0.0'}, {'562': '0.0'}, {'563': '0.0'}, {'568': '0.0'}, {'546': '0.0'}, {'572': '0.0'}]
LightGCN	mids-100000-3	0.1318	0.592	0.3216	0.1806	0.1038	0.1303	85.8799	0.0039	[{'1188': '1.0'}, {'73': '1.0'}, {'531': '1.0'}, {'952': '1.0'}, {'956': '1.0'}, {'968': '1.0'}, {'948': '1.0'}, {'895': '0.9'}, {'1144': '0.9'}, {'492': '0.9'}]	[{'1': '1'}, {'715': '1'}, {'716': '1'}, {'717': '1'}, {'719': '1'}, {'726': '1'}, {'728': '1'}, {'730': '1'}, {'731': '1'}, {'733': '1'}]	[{'625': '1.0'}, {'612': '1.0'}, {'610': '1.0'}, {'608': '1.0'}, {'606': '1.0'}, {'591': '1.0'}, {'590': '1.0'}, {'588': '1.0'}, {'584': '1.0'}, {'577': '1.0'}]	[{'517': '1.0'}, {'634': '1.0'}, {'73': '1.0'}, {'1162': '1.0'}, {'948': '1.0'}, {'952': '1.0'}, {'956': '1.0'}, {'531': '1.0'}, {'1188': '1.0'}, {'968': '1.0'}]	[{'948': '1.0'}, {'73': '1.0'}, {'1162': '1.0'}, {'968': '1.0'}, {'1188': '1.0'}, {'517': '1.0'}, {'634': '1.0'}, {'956': '1.0'}, {'952': '1.0'}, {'531': '1.0'}]	[{'449': '0.0'}, {'399': '0.0'}, {'398': '0.0'}, {'397': '0.0'}, {'396': '0.0'}, {'724': '0.0'}, {'394': '0.0'}, {'1096': '0.0'}, {'725': '0.0'}, {'391': '0.0'}]	[{'292': '0'}, {'385': '0'}, {'873': '0'}, {'648': '0'}, {'649': '0'}, {'1039': '0'}, {'650': '0'}, {'379': '0'}, {'651': '0'}, {'872': '0'}]	[{'1151': '0.0'}, {'1141': '0.0'}, {'560': '0.0'}, {'563': '0.0'}, {'565': '0.0'}, {'568': '0.0'}, {'572': '0.0'}, {'573': '0.0'}, {'575': '0.0'}, {'578': '0.0'}]	[{'462': '0.0'}, {'528': '0.0'}, {'1067': '0.0'}, {'530': '0.0'}, {'533': '0.0'}, {'534': '0.0'}, {'1063': '0.0'}, {'539': '0.0'}, {'526': '0.0'}, {'540': '0.0'}]	[{'911': '0.0'}, {'430': '0.0'}, {'961': '0.0'}, {'428': '0.0'}, {'427': '0.0'}, {'426': '0.0'}, {'424': '0.0'}, {'423': '0.0'}, {'422': '0.0'}, {'421': '0.0'}]
LightGCN	mids-100000-4	0.1244	0.5586	0.2794	0.1537	0.0848	0.1126	65.4383	0.0043	[{'1083': '1.0'}, {'109': '1.0'}, {'872': '1.0'}, {'524': '1.0'}, {'635': '1.0'}, {'583': '1.0'}, {'208': '1.0'}, {'820': '0.9'}, {'183': '0.9'}, {'791': '0.9'}]	[{'1': '1'}, {'624': '1'}, {'625': '1'}, {'628': '1'}, {'631': '1'}, {'632': '1'}, {'634': '1'}, {'635': '1'}, {'636': '1'}, {'639': '1'}]	[{'688': '1.0'}, {'928': '1.0'}, {'927': '1.0'}, {'162': '1.0'}, {'163': '1.0'}, {'920': '1.0'}, {'595': '1.0'}, {'359': '1.0'}, {'170': '1.0'}, {'915': '1.0'}]	[{'1083': '1.0'}, {'872': '1.0'}, {'208': '1.0'}, {'583': '1.0'}, {'109': '1.0'}, {'635': '1.0'}, {'524': '1.0'}, {'820': '0.9337'}, {'791': '0.9306'}, {'183': '0.9266'}]	[{'109': '1.0'}, {'635': '1.0'}, {'583': '1.0'}, {'524': '1.0'}, {'208': '1.0'}, {'872': '1.0'}, {'1083': '1.0'}, {'820': '0.89'}, {'791': '0.8789'}, {'183': '0.8664'}]	[{'1101': '0.0'}, {'847': '0.0'}, {'339': '0.0'}, {'562': '0.0'}, {'337': '0.0'}, {'336': '0.0'}, {'852': '0.0'}, {'853': '0.0'}, {'333': '0.0'}, {'332': '0.0'}]	[{'1101': '0'}, {'427': '0'}, {'426': '0'}, {'880': '0'}, {'881': '0'}, {'882': '0'}, {'422': '0'}, {'883': '0'}, {'417': '0'}, {'416': '0'}]	[{'1101': '0.0'}, {'350': '0.0'}, {'349': '0.0'}, {'348': '0.0'}, {'347': '0.0'}, {'346': '0.0'}, {'345': '0.0'}, {'343': '0.0'}, {'765': '0.0'}, {'341': '0.0'}]	[{'1101': '0.0'}, {'731': '0.0'}, {'339': '0.0'}, {'732': '0.0'}, {'337': '0.0'}, {'336': '0.0'}, {'741': '0.0'}, {'333': '0.0'}, {'332': '0.0'}, {'742': '0.0'}]	[{'1101': '0.0'}, {'731': '0.0'}, {'339': '0.0'}, {'732': '0.0'}, {'337': '0.0'}, {'336': '0.0'}, {'741': '0.0'}, {'333': '0.0'}, {'332': '0.0'}, {'742': '0.0'}]
LightGCN	mids-100000-5	0.1275	0.5661	0.2915	0.1658	0.0972	0.1171	51.8593	0.0027	[{'547': '1.0'}, {'182': '0.9'}, {'877': '0.9'}, {'27': '0.9'}, {'218': '0.9'}, {'204': '0.8'}, {'979': '0.8'}, {'331': '0.8'}, {'180': '0.8'}, {'377': '0.7'}]	[{'1044': '1'}, {'455': '1'}, {'457': '1'}, {'458': '1'}, {'850': '1'}, {'460': '1'}, {'461': '1'}, {'462': '1'}, {'454': '1'}, {'849': '1'}]	[{'728': '1.0'}, {'975': '1.0'}, {'149': '1.0'}, {'445': '1.0'}, {'153': '1.0'}, {'156': '1.0'}, {'432': '1.0'}, {'159': '1.0'}, {'431': '1.0'}, {'161': '1.0'}]	[{'68': '1.0'}, {'290': '1.0'}, {'331': '1.0'}, {'339': '1.0'}, {'365': '1.0'}, {'57': '1.0'}, {'847': '1.0'}, {'515': '1.0'}, {'680': '1.0'}, {'547': '1.0'}]	[{'365': '1.0'}, {'598': '1.0'}, {'547': '1.0'}, {'515': '1.0'}, {'57': '1.0'}, {'680': '1.0'}, {'847': '1.0'}, {'1029': '1.0'}, {'290': '1.0'}, {'68': '1.0'}]	[{'1': '0.0'}, {'558': '0.0'}, {'565': '0.0'}, {'568': '0.0'}, {'569': '0.0'}, {'571': '0.0'}, {'574': '0.0'}, {'576': '0.0'}, {'578': '0.0'}, {'579': '0.0'}]	[{'1': '0'}, {'558': '0'}, {'565': '0'}, {'568': '0'}, {'569': '0'}, {'571': '0'}, {'574': '0'}, {'576': '0'}, {'578': '0'}, {'579': '0'}]	[{'1': '0.0'}, {'558': '0.0'}, {'565': '0.0'}, {'568': '0.0'}, {'569': '0.0'}, {'571': '0.0'}, {'574': '0.0'}, {'576': '0.0'}, {'578': '0.0'}, {'579': '0.0'}]	[{'1': '0.0'}, {'558': '0.0'}, {'565': '0.0'}, {'568': '0.0'}, {'569': '0.0'}, {'571': '0.0'}, {'574': '0.0'}, {'576': '0.0'}, {'578': '0.0'}, {'579': '0.0'}]	[{'1': '0.0'}, {'558': '0.0'}, {'565': '0.0'}, {'568': '0.0'}, {'569': '0.0'}, {'571': '0.0'}, {'574': '0.0'}, {'576': '0.0'}, {'578': '0.0'}, {'579': '0.0'}]
LightGCN	mids-100000-6	0.1368	0.5735	0.3097	0.18	0.1059	0.1148	77.6686	0.0029	[{'272': '1.0'}, {'1106': '1.0'}, {'354': '1.0'}, {'1129': '1.0'}, {'1061': '1.0'}, {'940': '1.0'}, {'978': '1.0'}, {'204': '0.9'}, {'205': '0.9'}, {'1166': '0.9'}]	[{'589': '1'}, {'666': '1'}, {'667': '1'}, {'668': '1'}, {'669': '1'}, {'670': '1'}, {'672': '1'}, {'674': '1'}, {'678': '1'}, {'679': '1'}]	[{'1177': '1.0'}, {'192': '1.0'}, {'627': '1.0'}, {'621': '1.0'}, {'620': '1.0'}, {'619': '1.0'}, {'200': '1.0'}, {'616': '1.0'}, {'202': '1.0'}, {'615': '1.0'}]	[{'272': '1.0'}, {'1129': '1.0'}, {'354': '1.0'}, {'1061': '1.0'}, {'1106': '1.0'}, {'940': '1.0'}, {'978': '1.0'}, {'595': '0.9896'}, {'90': '0.967'}, {'108': '0.9642'}]	[{'978': '1.0'}, {'1061': '1.0'}, {'272': '1.0'}, {'1129': '1.0'}, {'940': '1.0'}, {'354': '1.0'}, {'1106': '1.0'}, {'595': '0.9667'}, {'90': '0.9029'}, {'765': '0.9'}]	[{'1': '0.0'}, {'405': '0.0'}, {'404': '0.0'}, {'403': '0.0'}, {'402': '0.0'}, {'839': '0.0'}, {'841': '0.0'}, {'399': '0.0'}, {'843': '0.0'}, {'848': '0.0'}]	[{'1': '0'}, {'443': '0'}, {'919': '0'}, {'917': '0'}, {'447': '0'}, {'916': '0'}, {'915': '0'}, {'920': '0'}, {'451': '0'}, {'453': '0'}]	[{'1': '0.0'}, {'989': '0.0'}, {'988': '0.0'}, {'491': '0.0'}, {'492': '0.0'}, {'494': '0.0'}, {'985': '0.0'}, {'496': '0.0'}, {'498': '0.0'}, {'499': '0.0'}]	[{'1': '0.0'}, {'464': '0.0'}, {'465': '0.0'}, {'467': '0.0'}, {'470': '0.0'}, {'472': '0.0'}, {'473': '0.0'}, {'462': '0.0'}, {'475': '0.0'}, {'477': '0.0'}]	[{'1': '0.0'}, {'473': '0.0'}, {'475': '0.0'}, {'476': '0.0'}, {'477': '0.0'}, {'482': '0.0'}, {'483': '0.0'}, {'484': '0.0'}, {'486': '0.0'}, {'487': '0.0'}]
LightGCN	mids-100000-7	0.1249	0.5483	0.2851	0.1591	0.0908	0.0895	49.9992	0.0076	[{'549': '1.0'}, {'309': '1.0'}, {'571': '1.0'}, {'579': '1.0'}, {'428': '1.0'}, {'861': '0.9'}, {'181': '0.9'}, {'727': '0.9'}, {'602': '0.9'}, {'26': '0.9'}]	[{'1': '1'}, {'528': '1'}, {'530': '1'}, {'531': '1'}, {'534': '1'}, {'537': '1'}, {'539': '1'}, {'540': '1'}, {'527': '1'}, {'543': '1'}]	[{'921': '1.0'}, {'626': '1.0'}, {'616': '1.0'}, {'615': '1.0'}, {'181': '1.0'}, {'611': '1.0'}, {'610': '1.0'}, {'184': '1.0'}, {'185': '1.0'}, {'188': '1.0'}]	[{'549': '1.0'}, {'428': '1.0'}, {'309': '1.0'}, {'579': '1.0'}, {'571': '1.0'}, {'266': '0.9709'}, {'181': '0.9364'}, {'702': '0.9306'}, {'26': '0.9306'}, {'602': '0.9266'}]	[{'579': '1.0'}, {'549': '1.0'}, {'309': '1.0'}, {'571': '1.0'}, {'428': '1.0'}, {'266': '0.9167'}, {'181': '0.9'}, {'26': '0.8789'}, {'702': '0.8789'}, {'602': '0.8664'}]	[{'461': '0.0'}, {'340': '0.0'}, {'678': '0.0'}, {'338': '0.0'}, {'337': '0.0'}, {'336': '0.0'}, {'679': '0.0'}, {'333': '0.0'}, {'682': '0.0'}, {'683': '0.0'}]	[{'461': '0'}, {'367': '0'}, {'366': '0'}, {'365': '0'}, {'730': '0'}, {'731': '0'}, {'361': '0'}, {'732': '0'}, {'358': '0'}, {'357': '0'}]	[{'461': '0.0'}, {'302': '0.0'}, {'301': '0.0'}, {'300': '0.0'}, {'299': '0.0'}, {'489': '0.0'}, {'297': '0.0'}, {'296': '0.0'}, {'295': '0.0'}, {'757': '0.0'}]	[{'461': '0.0'}, {'345': '0.0'}, {'344': '0.0'}, {'683': '0.0'}, {'342': '0.0'}, {'340': '0.0'}, {'688': '0.0'}, {'338': '0.0'}, {'337': '0.0'}, {'336': '0.0'}]	[{'461': '0.0'}, {'361': '0.0'}, {'358': '0.0'}, {'357': '0.0'}, {'703': '0.0'}, {'352': '0.0'}, {'351': '0.0'}, {'350': '0.0'}, {'349': '0.0'}, {'348': '0.0'}]
LightGCN	mids-100000-8	0.1388	0.5664	0.3055	0.1773	0.1074	0.0987	54.6647	0.0064	[{'554': '1.0'}, {'825': '1.0'}, {'209': '1.0'}, {'669': '0.9'}, {'482': '0.9'}, {'19': '0.9'}, {'794': '0.9'}, {'724': '0.9'}, {'597': '0.9'}, {'317': '0.9'}]	[{'971': '1'}, {'419': '1'}, {'781': '1'}, {'780': '1'}, {'424': '1'}, {'425': '1'}, {'426': '1'}, {'417': '1'}, {'428': '1'}, {'776': '1'}]	[{'669': '1.0'}, {'441': '1.0'}, {'771': '1.0'}, {'154': '1.0'}, {'435': '1.0'}, {'434': '1.0'}, {'157': '1.0'}, {'432': '1.0'}, {'776': '1.0'}, {'777': '1.0'}]	[{'260': '1.0'}, {'771': '1.0'}, {'114': '1.0'}, {'825': '1.0'}, {'230': '1.0'}, {'554': '1.0'}, {'127': '1.0'}, {'190': '1.0'}, {'209': '1.0'}, {'134': '0.9972'}]	[{'825': '1.0'}, {'771': '1.0'}, {'260': '1.0'}, {'230': '1.0'}, {'209': '1.0'}, {'554': '1.0'}, {'127': '1.0'}, {'190': '1.0'}, {'114': '1.0'}, {'134': '0.9889'}]	[{'1': '0.0'}, {'970': '0.0'}, {'490': '0.0'}, {'491': '0.0'}, {'492': '0.0'}, {'496': '0.0'}, {'498': '0.0'}, {'485': '0.0'}, {'499': '0.0'}, {'502': '0.0'}]	[{'1': '0'}, {'970': '0'}, {'490': '0'}, {'491': '0'}, {'492': '0'}, {'496': '0'}, {'498': '0'}, {'485': '0'}, {'499': '0'}, {'502': '0'}]	[{'1': '0.0'}, {'970': '0.0'}, {'490': '0.0'}, {'491': '0.0'}, {'492': '0.0'}, {'496': '0.0'}, {'498': '0.0'}, {'485': '0.0'}, {'499': '0.0'}, {'502': '0.0'}]	[{'1': '0.0'}, {'970': '0.0'}, {'490': '0.0'}, {'491': '0.0'}, {'492': '0.0'}, {'496': '0.0'}, {'498': '0.0'}, {'485': '0.0'}, {'499': '0.0'}, {'502': '0.0'}]	[{'1': '0.0'}, {'970': '0.0'}, {'490': '0.0'}, {'491': '0.0'}, {'492': '0.0'}, {'496': '0.0'}, {'498': '0.0'}, {'485': '0.0'}, {'499': '0.0'}, {'502': '0.0'}]
LightGCN	mids-100000-9	0.1409	0.5751	0.3192	0.1839	0.1125	0.1112	62.9289	0.0041	[{'577': '1.0'}, {'161': '1.0'}, {'601': '1.0'}, {'263': '1.0'}, {'396': '1.0'}, {'712': '1.0'}, {'74': '1.0'}, {'869': '1.0'}, {'1069': '0.9'}, {'556': '0.9'}]	[{'550': '1'}, {'615': '1'}, {'616': '1'}, {'619': '1'}, {'620': '1'}, {'622': '1'}, {'623': '1'}, {'625': '1'}, {'626': '1'}, {'627': '1'}]	[{'550': '1.0'}, {'493': '1.0'}, {'487': '1.0'}, {'486': '1.0'}, {'485': '1.0'}, {'482': '1.0'}, {'481': '1.0'}, {'480': '1.0'}, {'477': '1.0'}, {'476': '1.0'}]	[{'601': '1.0'}, {'869': '1.0'}, {'431': '1.0'}, {'712': '1.0'}, {'161': '1.0'}, {'74': '1.0'}, {'396': '1.0'}, {'55': '1.0'}, {'577': '1.0'}, {'182': '1.0'}]	[{'74': '1.0'}, {'869': '1.0'}, {'55': '1.0'}, {'712': '1.0'}, {'161': '1.0'}, {'601': '1.0'}, {'182': '1.0'}, {'396': '1.0'}, {'431': '1.0'}, {'577': '1.0'}]	[{'1': '0.0'}, {'797': '0.0'}, {'798': '0.0'}, {'802': '0.0'}, {'381': '0.0'}, {'806': '0.0'}, {'807': '0.0'}, {'378': '0.0'}, {'809': '0.0'}, {'375': '0.0'}]	[{'1': '0'}, {'852': '0'}, {'433': '0'}, {'855': '0'}, {'856': '0'}, {'429': '0'}, {'428': '0'}, {'857': '0'}, {'859': '0'}, {'860': '0'}]	[{'1': '0.0'}, {'489': '0.0'}, {'490': '0.0'}, {'491': '0.0'}, {'494': '0.0'}, {'495': '0.0'}, {'983': '0.0'}, {'498': '0.0'}, {'982': '0.0'}, {'502': '0.0'}]	[{'1': '0.0'}, {'457': '0.0'}, {'459': '0.0'}, {'911': '0.0'}, {'462': '0.0'}, {'463': '0.0'}, {'464': '0.0'}, {'913': '0.0'}, {'465': '0.0'}, {'909': '0.0'}]	[{'1': '0.0'}, {'462': '0.0'}, {'463': '0.0'}, {'464': '0.0'}, {'465': '0.0'}, {'466': '0.0'}, {'915': '0.0'}, {'459': '0.0'}, {'471': '0.0'}, {'911': '0.0'}]
LightGCN	mids-100000-10	0.1357	0.5826	0.3199	0.1832	0.1078	0.1155	82.8122	0.0039	[{'289': '1.0'}, {'490': '1.0'}, {'190': '1.0'}, {'574': '1.0'}, {'26': '1.0'}, {'1163': '1.0'}, {'780': '0.9'}, {'869': '0.9'}, {'512': '0.9'}, {'304': '0.9'}]	[{'1': '1'}, {'728': '1'}, {'729': '1'}, {'730': '1'}, {'732': '1'}, {'736': '1'}, {'737': '1'}, {'739': '1'}, {'741': '1'}, {'742': '1'}]	[{'615': '1.0'}, {'410': '1.0'}, {'209': '1.0'}, {'1027': '1.0'}, {'1030': '1.0'}, {'834': '1.0'}, {'416': '1.0'}, {'408': '1.0'}, {'827': '1.0'}, {'198': '1.0'}]	[{'574': '1.0'}, {'190': '1.0'}, {'26': '1.0'}, {'289': '1.0'}, {'490': '1.0'}, {'73': '1.0'}, {'1163': '1.0'}, {'566': '0.9972'}, {'676': '0.9878'}, {'223': '0.9758'}]	[{'289': '1.0'}, {'26': '1.0'}, {'574': '1.0'}, {'73': '1.0'}, {'190': '1.0'}, {'1163': '1.0'}, {'490': '1.0'}, {'566': '0.9889'}, {'676': '0.9571'}, {'223': '0.925'}]	[{'1229': '0.0'}, {'418': '0.0'}, {'829': '0.0'}, {'421': '0.0'}, {'423': '0.0'}, {'425': '0.0'}, {'426': '0.0'}, {'417': '0.0'}, {'819': '0.0'}, {'817': '0.0'}]	[{'1229': '0'}, {'376': '0'}, {'997': '0'}, {'855': '0'}, {'638': '0'}, {'639': '0'}, {'853': '0'}, {'1004': '0'}, {'1005': '0'}, {'366': '0'}]	[{'1229': '0.0'}, {'411': '0.0'}, {'412': '0.0'}, {'812': '0.0'}, {'811': '0.0'}, {'417': '0.0'}, {'418': '0.0'}, {'814': '0.0'}, {'809': '0.0'}, {'421': '0.0'}]	[{'1229': '0.0'}, {'818': '0.0'}, {'817': '0.0'}, {'417': '0.0'}, {'418': '0.0'}, {'815': '0.0'}, {'421': '0.0'}, {'819': '0.0'}, {'814': '0.0'}, {'425': '0.0'}]	[{'1229': '0.0'}, {'815': '0.0'}, {'814': '0.0'}, {'411': '0.0'}, {'412': '0.0'}, {'812': '0.0'}, {'811': '0.0'}, {'407': '0.0'}, {'809': '0.0'}, {'418': '0.0'}]
