Model	dataset	precision@10	hit@10	mrr@10	ndcg@10	map@10	itemcoverage@10	averagepopularity@10	tailpercentage@10	best_user_precision@[10]	best_user_hit@[10]	best_user_mrr@[10]	best_user_ndcg@[10]	best_user_map@[10]	worst_user_precision@[10]	worst_user_hit@[10]	worst_user_mrr@[10]	worst_user_ndcg@[10]	worst_user_map@[10]
Pop	mids-100000-1	0.0426	0.2676	0.1078	0.0513	0.0217	0.002	120.4951	0.0	[{'937': '0.8'}, {'24': '0.5'}, {'743': '0.5'}, {'291': '0.5'}, {'156': '0.5'}, {'487': '0.5'}, {'350': '0.4'}, {'929': '0.4'}, {'175': '0.4'}, {'16': '0.4'}]	[{'304': '1'}, {'246': '1'}, {'466': '1'}, {'467': '1'}, {'240': '1'}, {'863': '1'}, {'237': '1'}, {'470': '1'}, {'462': '1'}, {'471': '1'}]	[{'304': '1.0'}, {'276': '1.0'}, {'828': '1.0'}, {'963': '1.0'}, {'722': '1.0'}, {'175': '1.0'}, {'291': '1.0'}, {'437': '1.0'}, {'435': '1.0'}, {'103': '1.0'}]	[{'937': '0.7952'}, {'45': '0.6801'}, {'156': '0.5669'}, {'347': '0.558'}, {'487': '0.542'}, {'291': '0.5143'}, {'249': '0.5077'}, {'828': '0.4912'}, {'743': '0.4737'}, {'100': '0.4622'}]	[{'937': '0.6309'}, {'45': '0.4699'}, {'156': '0.3583'}, {'347': '0.3267'}, {'487': '0.3267'}, {'249': '0.3'}, {'743': '0.2894'}, {'291': '0.2884'}, {'828': '0.2861'}, {'100': '0.2667'}]	[{'1': '0.0'}, {'650': '0.0'}, {'653': '0.0'}, {'654': '0.0'}, {'655': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}]	[{'1': '0'}, {'650': '0'}, {'653': '0'}, {'654': '0'}, {'655': '0'}, {'656': '0'}, {'657': '0'}, {'658': '0'}, {'659': '0'}, {'660': '0'}]	[{'1': '0.0'}, {'650': '0.0'}, {'653': '0.0'}, {'654': '0.0'}, {'655': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}]	[{'1': '0.0'}, {'650': '0.0'}, {'653': '0.0'}, {'654': '0.0'}, {'655': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}]	[{'1': '0.0'}, {'650': '0.0'}, {'653': '0.0'}, {'654': '0.0'}, {'655': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}]
Pop	mids-100000-2	0.0313	0.202	0.0806	0.0382	0.0162	0.0018	93.7833	0.0	[{'206': '0.6'}, {'157': '0.5'}, {'428': '0.5'}, {'155': '0.5'}, {'285': '0.5'}, {'830': '0.5'}, {'1069': '0.5'}, {'166': '0.4'}, {'895': '0.4'}, {'254': '0.4'}]	[{'184': '1'}, {'461': '1'}, {'460': '1'}, {'714': '1'}, {'211': '1'}, {'457': '1'}, {'455': '1'}, {'215': '1'}, {'717': '1'}, {'453': '1'}]	[{'184': '1.0'}, {'137': '1.0'}, {'70': '1.0'}, {'868': '1.0'}, {'864': '1.0'}, {'573': '1.0'}, {'816': '1.0'}, {'858': '1.0'}, {'293': '1.0'}, {'626': '1.0'}]	[{'206': '0.6969'}, {'155': '0.5811'}, {'470': '0.5032'}, {'848': '0.4937'}, {'184': '0.4935'}, {'500': '0.4846'}, {'764': '0.4671'}, {'254': '0.4351'}, {'285': '0.4323'}, {'428': '0.4233'}]	[{'206': '0.5264'}, {'155': '0.3671'}, {'184': '0.3333'}, {'500': '0.3056'}, {'470': '0.3'}, {'848': '0.2933'}, {'137': '0.25'}, {'87': '0.25'}, {'648': '0.25'}, {'293': '0.25'}]	[{'1': '0.0'}, {'671': '0.0'}, {'673': '0.0'}, {'676': '0.0'}, {'677': '0.0'}, {'678': '0.0'}, {'679': '0.0'}, {'680': '0.0'}, {'681': '0.0'}, {'682': '0.0'}]	[{'1': '0'}, {'671': '0'}, {'673': '0'}, {'676': '0'}, {'677': '0'}, {'678': '0'}, {'679': '0'}, {'680': '0'}, {'681': '0'}, {'682': '0'}]	[{'1': '0.0'}, {'671': '0.0'}, {'673': '0.0'}, {'676': '0.0'}, {'677': '0.0'}, {'678': '0.0'}, {'679': '0.0'}, {'680': '0.0'}, {'681': '0.0'}, {'682': '0.0'}]	[{'1': '0.0'}, {'671': '0.0'}, {'673': '0.0'}, {'676': '0.0'}, {'677': '0.0'}, {'678': '0.0'}, {'679': '0.0'}, {'680': '0.0'}, {'681': '0.0'}, {'682': '0.0'}]	[{'1': '0.0'}, {'671': '0.0'}, {'673': '0.0'}, {'676': '0.0'}, {'677': '0.0'}, {'678': '0.0'}, {'679': '0.0'}, {'680': '0.0'}, {'681': '0.0'}, {'682': '0.0'}]
Pop	mids-100000-3	0.0473	0.2945	0.1274	0.0636	0.0301	0.0029	150.6464	0.0	[{'1191': '0.9'}, {'1174': '0.9'}, {'952': '0.8'}, {'73': '0.8'}, {'956': '0.7'}, {'125': '0.6'}, {'444': '0.6'}, {'948': '0.5'}, {'895': '0.5'}, {'1222': '0.5'}]	[{'627': '1'}, {'567': '1'}, {'571': '1'}, {'572': '1'}, {'574': '1'}, {'576': '1'}, {'580': '1'}, {'566': '1'}, {'585': '1'}, {'593': '1'}]	[{'166': '1.0'}, {'991': '1.0'}, {'997': '1.0'}, {'664': '1.0'}, {'193': '1.0'}, {'1017': '1.0'}, {'1018': '1.0'}, {'656': '1.0'}, {'1020': '1.0'}, {'1032': '1.0'}]	[{'1191': '0.9052'}, {'1174': '0.8611'}, {'73': '0.8416'}, {'956': '0.7534'}, {'952': '0.7137'}, {'444': '0.7059'}, {'997': '0.647'}, {'942': '0.606'}, {'425': '0.5846'}, {'125': '0.5735'}]	[{'1191': '0.8154'}, {'1174': '0.7571'}, {'73': '0.7254'}, {'952': '0.6082'}, {'956': '0.5792'}, {'444': '0.549'}, {'125': '0.4217'}, {'997': '0.4167'}, {'942': '0.4'}, {'1169': '0.3929'}]	[{'1': '0.0'}, {'1044': '0.0'}, {'609': '0.0'}, {'1043': '0.0'}, {'1042': '0.0'}, {'1041': '0.0'}, {'613': '0.0'}, {'614': '0.0'}, {'616': '0.0'}, {'1039': '0.0'}]	[{'1': '0'}, {'1059': '0'}, {'626': '0'}, {'1058': '0'}, {'1057': '0'}, {'1056': '0'}, {'630': '0'}, {'631': '0'}, {'632': '0'}, {'633': '0'}]	[{'1': '0.0'}, {'597': '0.0'}, {'598': '0.0'}, {'599': '0.0'}, {'600': '0.0'}, {'601': '0.0'}, {'602': '0.0'}, {'1025': '0.0'}, {'604': '0.0'}, {'605': '0.0'}]	[{'1': '0.0'}, {'624': '0.0'}, {'1059': '0.0'}, {'626': '0.0'}, {'1058': '0.0'}, {'1057': '0.0'}, {'1056': '0.0'}, {'630': '0.0'}, {'631': '0.0'}, {'632': '0.0'}]	[{'1': '0.0'}, {'613': '0.0'}, {'614': '0.0'}, {'1046': '0.0'}, {'616': '0.0'}, {'1045': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'620': '0.0'}, {'621': '0.0'}]
Pop	mids-100000-4	0.0528	0.3015	0.1404	0.069	0.0334	0.0023	146.2831	0.0	[{'583': '1.0'}, {'524': '0.9'}, {'1099': '0.7'}, {'955': '0.6'}, {'170': '0.6'}, {'997': '0.5'}, {'859': '0.5'}, {'109': '0.5'}, {'18': '0.5'}, {'872': '0.5'}]	[{'551': '1'}, {'272': '1'}, {'271': '1'}, {'733': '1'}, {'732': '1'}, {'915': '1'}, {'515': '1'}, {'917': '1'}, {'516': '1'}, {'517': '1'}]	[{'342': '1.0'}, {'564': '1.0'}, {'859': '1.0'}, {'580': '1.0'}, {'579': '1.0'}, {'167': '1.0'}, {'357': '1.0'}, {'262': '1.0'}, {'471': '1.0'}, {'986': '1.0'}]	[{'583': '1.0'}, {'524': '0.9337'}, {'676': '0.7542'}, {'983': '0.7227'}, {'342': '0.7157'}, {'119': '0.6992'}, {'1099': '0.688'}, {'955': '0.6406'}, {'170': '0.6307'}, {'811': '0.6229'}]	[{'583': '1.0'}, {'524': '0.89'}, {'983': '0.6'}, {'676': '0.5833'}, {'119': '0.55'}, {'342': '0.5238'}, {'1099': '0.483'}, {'170': '0.4248'}, {'955': '0.4227'}, {'811': '0.4'}]	[{'1': '0.0'}, {'652': '0.0'}, {'653': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}]	[{'1': '0'}, {'652': '0'}, {'653': '0'}, {'656': '0'}, {'657': '0'}, {'658': '0'}, {'659': '0'}, {'660': '0'}, {'661': '0'}, {'662': '0'}]	[{'1': '0.0'}, {'652': '0.0'}, {'653': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}]	[{'1': '0.0'}, {'652': '0.0'}, {'653': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}]	[{'1': '0.0'}, {'652': '0.0'}, {'653': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}]
Pop	mids-100000-5	0.0343	0.2308	0.0805	0.0407	0.017	0.0021	100.1591	0.0	[{'877': '0.9'}, {'979': '0.8'}, {'757': '0.7'}, {'133': '0.6'}, {'182': '0.5'}, {'170': '0.4'}, {'540': '0.4'}, {'772': '0.4'}, {'244': '0.3'}, {'333': '0.3'}]	[{'592': '1'}, {'492': '1'}, {'170': '1'}, {'310': '1'}, {'413': '1'}, {'176': '1'}, {'178': '1'}, {'179': '1'}, {'180': '1'}, {'182': '1'}]	[{'744': '1.0'}, {'1043': '1.0'}, {'523': '1.0'}, {'333': '1.0'}, {'728': '1.0'}, {'957': '1.0'}, {'685': '1.0'}, {'726': '1.0'}, {'637': '1.0'}, {'1005': '1.0'}]	[{'877': '0.8611'}, {'979': '0.6948'}, {'757': '0.6214'}, {'133': '0.4679'}, {'182': '0.4572'}, {'523': '0.4483'}, {'184': '0.4249'}, {'540': '0.4124'}, {'333': '0.4085'}, {'291': '0.3996'}]	[{'877': '0.7571'}, {'979': '0.5625'}, {'757': '0.4575'}, {'523': '0.2857'}, {'133': '0.2817'}, {'182': '0.2611'}, {'957': '0.25'}, {'377': '0.25'}, {'326': '0.25'}, {'540': '0.2433'}]	[{'1': '0.0'}, {'641': '0.0'}, {'643': '0.0'}, {'644': '0.0'}, {'645': '0.0'}, {'646': '0.0'}, {'647': '0.0'}, {'648': '0.0'}, {'649': '0.0'}, {'650': '0.0'}]	[{'1': '0'}, {'641': '0'}, {'643': '0'}, {'644': '0'}, {'645': '0'}, {'646': '0'}, {'647': '0'}, {'648': '0'}, {'649': '0'}, {'650': '0'}]	[{'1': '0.0'}, {'641': '0.0'}, {'643': '0.0'}, {'644': '0.0'}, {'645': '0.0'}, {'646': '0.0'}, {'647': '0.0'}, {'648': '0.0'}, {'649': '0.0'}, {'650': '0.0'}]	[{'1': '0.0'}, {'641': '0.0'}, {'643': '0.0'}, {'644': '0.0'}, {'645': '0.0'}, {'646': '0.0'}, {'647': '0.0'}, {'648': '0.0'}, {'649': '0.0'}, {'650': '0.0'}]	[{'1': '0.0'}, {'641': '0.0'}, {'643': '0.0'}, {'644': '0.0'}, {'645': '0.0'}, {'646': '0.0'}, {'647': '0.0'}, {'648': '0.0'}, {'649': '0.0'}, {'650': '0.0'}]
Pop	mids-100000-6	0.0489	0.3017	0.0997	0.0573	0.0251	0.0025	143.2279	0.0	[{'272': '0.9'}, {'942': '0.9'}, {'422': '0.8'}, {'1108': '0.8'}, {'1132': '0.7'}, {'1169': '0.7'}, {'852': '0.6'}, {'601': '0.6'}, {'156': '0.5'}, {'244': '0.5'}]	[{'693': '1'}, {'288': '1'}, {'792': '1'}, {'980': '1'}, {'981': '1'}, {'281': '1'}, {'983': '1'}, {'279': '1'}, {'546': '1'}, {'790': '1'}]	[{'641': '1.0'}, {'851': '1.0'}, {'993': '1.0'}, {'265': '1.0'}, {'980': '1.0'}, {'31': '1.0'}, {'276': '1.0'}, {'837': '1.0'}, {'326': '1.0'}, {'419': '1.0'}]	[{'942': '0.89'}, {'272': '0.89'}, {'1108': '0.8482'}, {'1132': '0.7968'}, {'422': '0.7878'}, {'1169': '0.7281'}, {'852': '0.5876'}, {'601': '0.5767'}, {'777': '0.5585'}, {'244': '0.5392'}]	[{'272': '0.7904'}, {'942': '0.7904'}, {'1108': '0.7328'}, {'1132': '0.6875'}, {'422': '0.6378'}, {'1169': '0.5685'}, {'601': '0.43'}, {'777': '0.375'}, {'852': '0.3584'}, {'444': '0.3333'}]	[{'1': '0.0'}, {'713': '0.0'}, {'714': '0.0'}, {'715': '0.0'}, {'717': '0.0'}, {'719': '0.0'}, {'720': '0.0'}, {'722': '0.0'}, {'723': '0.0'}, {'724': '0.0'}]	[{'1': '0'}, {'713': '0'}, {'714': '0'}, {'715': '0'}, {'717': '0'}, {'719': '0'}, {'720': '0'}, {'722': '0'}, {'723': '0'}, {'724': '0'}]	[{'1': '0.0'}, {'713': '0.0'}, {'714': '0.0'}, {'715': '0.0'}, {'717': '0.0'}, {'719': '0.0'}, {'720': '0.0'}, {'722': '0.0'}, {'723': '0.0'}, {'724': '0.0'}]	[{'1': '0.0'}, {'713': '0.0'}, {'714': '0.0'}, {'715': '0.0'}, {'717': '0.0'}, {'719': '0.0'}, {'720': '0.0'}, {'722': '0.0'}, {'723': '0.0'}, {'724': '0.0'}]	[{'1': '0.0'}, {'713': '0.0'}, {'714': '0.0'}, {'715': '0.0'}, {'717': '0.0'}, {'719': '0.0'}, {'720': '0.0'}, {'722': '0.0'}, {'723': '0.0'}, {'724': '0.0'}]
Pop	mids-100000-7	0.0454	0.2789	0.1091	0.055	0.0254	0.0019	109.6448	0.0	[{'575': '1.0'}, {'312': '0.9'}, {'865': '0.9'}, {'115': '0.8'}, {'496': '0.6'}, {'266': '0.5'}, {'535': '0.5'}, {'731': '0.5'}, {'464': '0.4'}, {'503': '0.4'}]	[{'925': '1'}, {'325': '1'}, {'699': '1'}, {'315': '1'}, {'706': '1'}, {'312': '1'}, {'713': '1'}, {'716': '1'}, {'327': '1'}, {'301': '1'}]	[{'585': '1.0'}, {'575': '1.0'}, {'74': '1.0'}, {'30': '1.0'}, {'874': '1.0'}, {'432': '1.0'}, {'148': '1.0'}, {'292': '1.0'}, {'860': '1.0'}, {'873': '1.0'}]	[{'575': '1.0'}, {'865': '0.9052'}, {'312': '0.9052'}, {'115': '0.8553'}, {'609': '0.7598'}, {'805': '0.6367'}, {'585': '0.6341'}, {'739': '0.631'}, {'535': '0.5654'}, {'503': '0.5541'}]	[{'575': '1.0'}, {'865': '0.8154'}, {'312': '0.8154'}, {'115': '0.7532'}, {'609': '0.5938'}, {'805': '0.5'}, {'585': '0.4286'}, {'739': '0.3958'}, {'503': '0.38'}, {'535': '0.3429'}]	[{'1': '0.0'}, {'563': '0.0'}, {'564': '0.0'}, {'565': '0.0'}, {'566': '0.0'}, {'567': '0.0'}, {'569': '0.0'}, {'572': '0.0'}, {'573': '0.0'}, {'574': '0.0'}]	[{'1': '0'}, {'563': '0'}, {'564': '0'}, {'565': '0'}, {'566': '0'}, {'567': '0'}, {'569': '0'}, {'572': '0'}, {'573': '0'}, {'574': '0'}]	[{'1': '0.0'}, {'563': '0.0'}, {'564': '0.0'}, {'565': '0.0'}, {'566': '0.0'}, {'567': '0.0'}, {'569': '0.0'}, {'572': '0.0'}, {'573': '0.0'}, {'574': '0.0'}]	[{'1': '0.0'}, {'563': '0.0'}, {'564': '0.0'}, {'565': '0.0'}, {'566': '0.0'}, {'567': '0.0'}, {'569': '0.0'}, {'572': '0.0'}, {'573': '0.0'}, {'574': '0.0'}]	[{'1': '0.0'}, {'563': '0.0'}, {'564': '0.0'}, {'565': '0.0'}, {'566': '0.0'}, {'567': '0.0'}, {'569': '0.0'}, {'572': '0.0'}, {'573': '0.0'}, {'574': '0.0'}]
Pop	mids-100000-8	0.0415	0.2603	0.1135	0.0529	0.0235	0.0017	106.4786	0.0	[{'225': '0.8'}, {'932': '0.6'}, {'864': '0.5'}, {'554': '0.5'}, {'40': '0.5'}, {'442': '0.5'}, {'598': '0.5'}, {'820': '0.4'}, {'139': '0.4'}, {'68': '0.4'}]	[{'701': '1'}, {'168': '1'}, {'169': '1'}, {'628': '1'}, {'629': '1'}, {'461': '1'}, {'741': '1'}, {'459': '1'}, {'458': '1'}, {'176': '1'}]	[{'864': '1.0'}, {'190': '1.0'}, {'678': '1.0'}, {'40': '1.0'}, {'179': '1.0'}, {'85': '1.0'}, {'177': '1.0'}, {'628': '1.0'}, {'168': '1.0'}, {'626': '1.0'}]	[{'225': '0.8572'}, {'40': '0.5959'}, {'678': '0.5856'}, {'932': '0.5521'}, {'864': '0.5366'}, {'442': '0.5329'}, {'820': '0.5232'}, {'756': '0.5087'}, {'645': '0.5087'}, {'85': '0.4989'}]	[{'225': '0.7578'}, {'678': '0.4167'}, {'40': '0.3981'}, {'932': '0.3814'}, {'645': '0.3333'}, {'756': '0.3333'}, {'820': '0.325'}, {'442': '0.3127'}, {'864': '0.3095'}, {'598': '0.2963'}]	[{'1': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'587': '0.0'}, {'588': '0.0'}, {'589': '0.0'}, {'590': '0.0'}, {'591': '0.0'}, {'593': '0.0'}]	[{'1': '0'}, {'583': '0'}, {'585': '0'}, {'586': '0'}, {'587': '0'}, {'588': '0'}, {'589': '0'}, {'590': '0'}, {'591': '0'}, {'593': '0'}]	[{'1': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'587': '0.0'}, {'588': '0.0'}, {'589': '0.0'}, {'590': '0.0'}, {'591': '0.0'}, {'593': '0.0'}]	[{'1': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'587': '0.0'}, {'588': '0.0'}, {'589': '0.0'}, {'590': '0.0'}, {'591': '0.0'}, {'593': '0.0'}]	[{'1': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'587': '0.0'}, {'588': '0.0'}, {'589': '0.0'}, {'590': '0.0'}, {'591': '0.0'}, {'593': '0.0'}]
Pop	mids-100000-9	0.0372	0.252	0.1035	0.0487	0.0219	0.0021	129.4572	0.0	[{'817': '0.8'}, {'10': '0.6'}, {'114': '0.6'}, {'161': '0.6'}, {'602': '0.6'}, {'289': '0.5'}, {'741': '0.5'}, {'380': '0.5'}, {'578': '0.4'}, {'241': '0.4'}]	[{'1103': '1'}, {'246': '1'}, {'738': '1'}, {'924': '1'}, {'241': '1'}, {'737': '1'}, {'497': '1'}, {'734': '1'}, {'247': '1'}, {'500': '1'}]	[{'806': '1.0'}, {'602': '1.0'}, {'198': '1.0'}, {'518': '1.0'}, {'726': '1.0'}, {'943': '1.0'}, {'52': '1.0'}, {'192': '1.0'}, {'241': '1.0'}, {'491': '1.0'}]	[{'817': '0.8268'}, {'161': '0.6995'}, {'706': '0.6805'}, {'114': '0.6579'}, {'602': '0.6473'}, {'380': '0.6363'}, {'820': '0.5912'}, {'289': '0.5837'}, {'162': '0.5531'}, {'10': '0.54'}]	[{'817': '0.6842'}, {'161': '0.5292'}, {'114': '0.48'}, {'706': '0.475'}, {'380': '0.4423'}, {'602': '0.4327'}, {'162': '0.4'}, {'820': '0.38'}, {'10': '0.3731'}, {'289': '0.3727'}]	[{'1': '0.0'}, {'686': '0.0'}, {'687': '0.0'}, {'688': '0.0'}, {'689': '0.0'}, {'693': '0.0'}, {'694': '0.0'}, {'695': '0.0'}, {'696': '0.0'}, {'697': '0.0'}]	[{'1': '0'}, {'686': '0'}, {'687': '0'}, {'688': '0'}, {'689': '0'}, {'693': '0'}, {'694': '0'}, {'695': '0'}, {'696': '0'}, {'697': '0'}]	[{'1': '0.0'}, {'686': '0.0'}, {'687': '0.0'}, {'688': '0.0'}, {'689': '0.0'}, {'693': '0.0'}, {'694': '0.0'}, {'695': '0.0'}, {'696': '0.0'}, {'697': '0.0'}]	[{'1': '0.0'}, {'686': '0.0'}, {'687': '0.0'}, {'688': '0.0'}, {'689': '0.0'}, {'693': '0.0'}, {'694': '0.0'}, {'695': '0.0'}, {'696': '0.0'}, {'697': '0.0'}]	[{'1': '0.0'}, {'686': '0.0'}, {'687': '0.0'}, {'688': '0.0'}, {'689': '0.0'}, {'693': '0.0'}, {'694': '0.0'}, {'695': '0.0'}, {'696': '0.0'}, {'697': '0.0'}]
Pop	mids-100000-10	0.0399	0.2941	0.1127	0.0532	0.0221	0.0018	135.3373	0.0	[{'870': '0.4'}, {'1090': '0.4'}, {'27': '0.4'}, {'884': '0.4'}, {'1139': '0.4'}, {'841': '0.3'}, {'458': '0.3'}, {'932': '0.3'}, {'587': '0.3'}, {'532': '0.3'}]	[{'616': '1'}, {'315': '1'}, {'314': '1'}, {'313': '1'}, {'312': '1'}, {'311': '1'}, {'1012': '1'}, {'308': '1'}, {'307': '1'}, {'1013': '1'}]	[{'84': '1.0'}, {'315': '1.0'}, {'127': '1.0'}, {'422': '1.0'}, {'1139': '1.0'}, {'749': '1.0'}, {'620': '1.0'}, {'177': '1.0'}, {'703': '1.0'}, {'430': '1.0'}]	[{'742': '0.5856'}, {'749': '0.5414'}, {'235': '0.5135'}, {'793': '0.5079'}, {'1090': '0.5077'}, {'884': '0.4986'}, {'620': '0.4852'}, {'740': '0.46'}, {'762': '0.4518'}, {'815': '0.4415'}]	[{'742': '0.4167'}, {'749': '0.35'}, {'235': '0.3125'}, {'793': '0.3056'}, {'1090': '0.3'}, {'620': '0.3'}, {'815': '0.2917'}, {'930': '0.2917'}, {'884': '0.2873'}, {'740': '0.2667'}]	[{'1': '0.0'}, {'746': '0.0'}, {'748': '0.0'}, {'750': '0.0'}, {'751': '0.0'}, {'753': '0.0'}, {'754': '0.0'}, {'755': '0.0'}, {'756': '0.0'}, {'758': '0.0'}]	[{'1': '0'}, {'746': '0'}, {'748': '0'}, {'750': '0'}, {'751': '0'}, {'753': '0'}, {'754': '0'}, {'755': '0'}, {'756': '0'}, {'758': '0'}]	[{'1': '0.0'}, {'746': '0.0'}, {'748': '0.0'}, {'750': '0.0'}, {'751': '0.0'}, {'753': '0.0'}, {'754': '0.0'}, {'755': '0.0'}, {'756': '0.0'}, {'758': '0.0'}]	[{'1': '0.0'}, {'746': '0.0'}, {'748': '0.0'}, {'750': '0.0'}, {'751': '0.0'}, {'753': '0.0'}, {'754': '0.0'}, {'755': '0.0'}, {'756': '0.0'}, {'758': '0.0'}]	[{'1': '0.0'}, {'746': '0.0'}, {'748': '0.0'}, {'750': '0.0'}, {'751': '0.0'}, {'753': '0.0'}, {'754': '0.0'}, {'755': '0.0'}, {'756': '0.0'}, {'758': '0.0'}]
