Model	dataset	precision@10	hit@10	mrr@10	ndcg@10	map@10	itemcoverage@10	averagepopularity@10	tailpercentage@10	best_user_precision@[10]	best_user_hit@[10]	best_user_mrr@[10]	best_user_ndcg@[10]	best_user_map@[10]	worst_user_precision@[10]	worst_user_hit@[10]	worst_user_mrr@[10]	worst_user_ndcg@[10]	worst_user_map@[10]
SGL	mids-100000-1	0.143	0.5521	0.2979	0.1783	0.11	0.1477	36.4183	0.0121	[{'16': '1.0'}, {'757': '1.0'}, {'485': '1.0'}, {'412': '1.0'}, {'740': '1.0'}, {'1020': '1.0'}, {'363': '1.0'}, {'793': '1.0'}, {'329': '1.0'}, {'926': '1.0'}]	[{'1': '1'}, {'451': '1'}, {'452': '1'}, {'455': '1'}, {'456': '1'}, {'826': '1'}, {'458': '1'}, {'459': '1'}, {'449': '1'}, {'460': '1'}]	[{'783': '1.0'}, {'526': '1.0'}, {'267': '1.0'}, {'522': '1.0'}, {'521': '1.0'}, {'520': '1.0'}, {'519': '1.0'}, {'153': '1.0'}, {'798': '1.0'}, {'155': '1.0'}]	[{'329': '1.0'}, {'363': '1.0'}, {'378': '1.0'}, {'379': '1.0'}, {'485': '1.0'}, {'16': '1.0'}, {'727': '1.0'}, {'978': '1.0'}, {'1020': '1.0'}, {'793': '1.0'}]	[{'978': '1.0'}, {'329': '1.0'}, {'793': '1.0'}, {'1020': '1.0'}, {'740': '1.0'}, {'207': '1.0'}, {'926': '1.0'}, {'379': '1.0'}, {'412': '1.0'}, {'485': '1.0'}]	[{'518': '0.0'}, {'559': '0.0'}, {'567': '0.0'}, {'569': '0.0'}, {'571': '0.0'}, {'572': '0.0'}, {'574': '0.0'}, {'575': '0.0'}, {'578': '0.0'}, {'581': '0.0'}]	[{'518': '0'}, {'559': '0'}, {'567': '0'}, {'569': '0'}, {'571': '0'}, {'572': '0'}, {'574': '0'}, {'575': '0'}, {'578': '0'}, {'581': '0'}]	[{'518': '0.0'}, {'559': '0.0'}, {'567': '0.0'}, {'569': '0.0'}, {'571': '0.0'}, {'572': '0.0'}, {'574': '0.0'}, {'575': '0.0'}, {'578': '0.0'}, {'581': '0.0'}]	[{'518': '0.0'}, {'559': '0.0'}, {'567': '0.0'}, {'569': '0.0'}, {'571': '0.0'}, {'572': '0.0'}, {'574': '0.0'}, {'575': '0.0'}, {'578': '0.0'}, {'581': '0.0'}]	[{'518': '0.0'}, {'559': '0.0'}, {'567': '0.0'}, {'569': '0.0'}, {'571': '0.0'}, {'572': '0.0'}, {'574': '0.0'}, {'575': '0.0'}, {'578': '0.0'}, {'581': '0.0'}]
SGL	mids-100000-2	0.1364	0.5659	0.3035	0.178	0.1057	0.1175	44.5975	0.0192	[{'81': '1.0'}, {'331': '1.0'}, {'844': '1.0'}, {'1009': '0.9'}, {'637': '0.9'}, {'63': '0.9'}, {'1057': '0.9'}, {'448': '0.9'}, {'451': '0.9'}, {'856': '0.9'}]	[{'1': '1'}, {'635': '1'}, {'637': '1'}, {'639': '1'}, {'640': '1'}, {'642': '1'}, {'644': '1'}, {'645': '1'}, {'647': '1'}, {'648': '1'}]	[{'1': '1.0'}, {'789': '1.0'}, {'795': '1.0'}, {'275': '1.0'}, {'798': '1.0'}, {'799': '1.0'}, {'271': '1.0'}, {'781': '1.0'}, {'810': '1.0'}, {'257': '1.0'}]	[{'844': '1.0'}, {'81': '1.0'}, {'331': '1.0'}, {'476': '1.0'}, {'122': '0.9682'}, {'1070': '0.9364'}, {'637': '0.9364'}, {'1057': '0.9364'}, {'448': '0.9337'}, {'842': '0.9337'}]	[{'844': '1.0'}, {'476': '1.0'}, {'331': '1.0'}, {'81': '1.0'}, {'1057': '0.9'}, {'637': '0.9'}, {'1070': '0.9'}, {'122': '0.8976'}, {'451': '0.89'}, {'448': '0.89'}]	[{'543': '0.0'}, {'770': '0.0'}, {'774': '0.0'}, {'379': '0.0'}, {'779': '0.0'}, {'782': '0.0'}, {'375': '0.0'}, {'784': '0.0'}, {'372': '0.0'}, {'369': '0.0'}]	[{'543': '0'}, {'851': '0'}, {'436': '0'}, {'853': '0'}, {'433': '0'}, {'431': '0'}, {'857': '0'}, {'428': '0'}, {'426': '0'}, {'859': '0'}]	[{'543': '0.0'}, {'754': '0.0'}, {'372': '0.0'}, {'755': '0.0'}, {'369': '0.0'}, {'758': '0.0'}, {'366': '0.0'}, {'365': '0.0'}, {'363': '0.0'}, {'361': '0.0'}]	[{'543': '0.0'}, {'341': '0.0'}, {'712': '0.0'}, {'339': '0.0'}, {'338': '0.0'}, {'337': '0.0'}, {'336': '0.0'}, {'713': '0.0'}, {'334': '0.0'}, {'333': '0.0'}]	[{'543': '0.0'}, {'712': '0.0'}, {'713': '0.0'}, {'341': '0.0'}, {'715': '0.0'}, {'339': '0.0'}, {'338': '0.0'}, {'337': '0.0'}, {'336': '0.0'}, {'718': '0.0'}]
SGL	mids-100000-3	0.1435	0.6064	0.3244	0.1918	0.1139	0.1527	70.6958	0.0101	[{'73': '1.0'}, {'20': '1.0'}, {'639': '1.0'}, {'895': '1.0'}, {'629': '1.0'}, {'1188': '1.0'}, {'948': '1.0'}, {'952': '1.0'}, {'1219': '1.0'}, {'492': '1.0'}]	[{'625': '1'}, {'737': '1'}, {'739': '1'}, {'740': '1'}, {'741': '1'}, {'742': '1'}, {'743': '1'}, {'744': '1'}, {'748': '1'}, {'749': '1'}]	[{'1250': '1.0'}, {'443': '1.0'}, {'444': '1.0'}, {'236': '1.0'}, {'895': '1.0'}, {'897': '1.0'}, {'898': '1.0'}, {'900': '1.0'}, {'446': '1.0'}, {'901': '1.0'}]	[{'956': '1.0'}, {'895': '1.0'}, {'1188': '1.0'}, {'517': '1.0'}, {'948': '1.0'}, {'952': '1.0'}, {'639': '1.0'}, {'1219': '1.0'}, {'20': '1.0'}, {'236': '1.0'}]	[{'1188': '1.0'}, {'73': '1.0'}, {'629': '1.0'}, {'1219': '1.0'}, {'639': '1.0'}, {'20': '1.0'}, {'1246': '1.0'}, {'749': '1.0'}, {'492': '1.0'}, {'236': '1.0'}]	[{'1': '0.0'}, {'415': '0.0'}, {'413': '0.0'}, {'883': '0.0'}, {'884': '0.0'}, {'410': '0.0'}, {'409': '0.0'}, {'885': '0.0'}, {'407': '0.0'}, {'888': '0.0'}]	[{'1': '0'}, {'464': '0'}, {'984': '0'}, {'468': '0'}, {'471': '0'}, {'980': '0'}, {'473': '0'}, {'462': '0'}, {'474': '0'}, {'476': '0'}]	[{'1': '0.0'}, {'959': '0.0'}, {'955': '0.0'}, {'448': '0.0'}, {'450': '0.0'}, {'451': '0.0'}, {'452': '0.0'}, {'961': '0.0'}, {'453': '0.0'}, {'456': '0.0'}]	[{'1': '0.0'}, {'454': '0.0'}, {'965': '0.0'}, {'456': '0.0'}, {'457': '0.0'}, {'458': '0.0'}, {'964': '0.0'}, {'453': '0.0'}, {'462': '0.0'}, {'963': '0.0'}]	[{'1': '0.0'}, {'453': '0.0'}, {'454': '0.0'}, {'966': '0.0'}, {'456': '0.0'}, {'457': '0.0'}, {'458': '0.0'}, {'452': '0.0'}, {'965': '0.0'}, {'464': '0.0'}]
SGL	mids-100000-4	0.1288	0.5322	0.2885	0.1593	0.0923	0.1356	47.5668	0.0119	[{'635': '1.0'}, {'413': '1.0'}, {'1083': '1.0'}, {'208': '1.0'}, {'109': '1.0'}, {'524': '1.0'}, {'872': '1.0'}, {'859': '0.9'}, {'19': '0.9'}, {'183': '0.9'}]	[{'1': '1'}, {'606': '1'}, {'612': '1'}, {'616': '1'}, {'617': '1'}, {'618': '1'}, {'619': '1'}, {'621': '1'}, {'622': '1'}, {'623': '1'}]	[{'554': '1.0'}, {'911': '1.0'}, {'688': '1.0'}, {'908': '1.0'}, {'690': '1.0'}, {'905': '1.0'}, {'691': '1.0'}, {'163': '1.0'}, {'383': '1.0'}, {'900': '1.0'}]	[{'208': '1.0'}, {'524': '1.0'}, {'635': '1.0'}, {'1083': '1.0'}, {'109': '1.0'}, {'413': '1.0'}, {'872': '1.0'}, {'952': '0.9362'}, {'183': '0.9337'}, {'859': '0.9306'}]	[{'208': '1.0'}, {'109': '1.0'}, {'872': '1.0'}, {'413': '1.0'}, {'635': '1.0'}, {'1083': '1.0'}, {'524': '1.0'}, {'183': '0.89'}, {'859': '0.8789'}, {'583': '0.8521'}]	[{'1101': '0.0'}, {'826': '0.0'}, {'396': '0.0'}, {'827': '0.0'}, {'829': '0.0'}, {'830': '0.0'}, {'391': '0.0'}, {'390': '0.0'}, {'389': '0.0'}, {'387': '0.0'}]	[{'1101': '0'}, {'895': '0'}, {'426': '0'}, {'427': '0'}, {'430': '0'}, {'889': '0'}, {'434': '0'}, {'423': '0'}, {'887': '0'}, {'439': '0'}]	[{'1101': '0.0'}, {'369': '0.0'}, {'780': '0.0'}, {'366': '0.0'}, {'365': '0.0'}, {'364': '0.0'}, {'781': '0.0'}, {'361': '0.0'}, {'359': '0.0'}, {'358': '0.0'}]	[{'1101': '0.0'}, {'759': '0.0'}, {'763': '0.0'}, {'764': '0.0'}, {'766': '0.0'}, {'350': '0.0'}, {'349': '0.0'}, {'767': '0.0'}, {'347': '0.0'}, {'346': '0.0'}]	[{'1101': '0.0'}, {'759': '0.0'}, {'763': '0.0'}, {'764': '0.0'}, {'766': '0.0'}, {'350': '0.0'}, {'349': '0.0'}, {'767': '0.0'}, {'347': '0.0'}, {'346': '0.0'}]
SGL	mids-100000-5	0.1356	0.568	0.3194	0.1819	0.1109	0.135	42.0756	0.0104	[{'977': '1.0'}, {'547': '1.0'}, {'182': '1.0'}, {'218': '0.9'}, {'357': '0.9'}, {'180': '0.9'}, {'877': '0.9'}, {'161': '0.9'}, {'955': '0.9'}, {'979': '0.9'}]	[{'1044': '1'}, {'447': '1'}, {'448': '1'}, {'854': '1'}, {'451': '1'}, {'850': '1'}, {'455': '1'}, {'849': '1'}, {'446': '1'}, {'848': '1'}]	[{'455': '1.0'}, {'625': '1.0'}, {'445': '1.0'}, {'945': '1.0'}, {'221': '1.0'}, {'772': '1.0'}, {'218': '1.0'}, {'231': '1.0'}, {'217': '1.0'}, {'634': '1.0'}]	[{'680': '1.0'}, {'577': '1.0'}, {'547': '1.0'}, {'290': '1.0'}, {'515': '1.0'}, {'182': '1.0'}, {'339': '1.0'}, {'16': '1.0'}, {'977': '1.0'}, {'57': '1.0'}]	[{'680': '1.0'}, {'977': '1.0'}, {'577': '1.0'}, {'981': '1.0'}, {'290': '1.0'}, {'547': '1.0'}, {'331': '1.0'}, {'339': '1.0'}, {'515': '1.0'}, {'893': '1.0'}]	[{'1': '0.0'}, {'554': '0.0'}, {'557': '0.0'}, {'559': '0.0'}, {'565': '0.0'}, {'568': '0.0'}, {'574': '0.0'}, {'576': '0.0'}, {'578': '0.0'}, {'579': '0.0'}]	[{'1': '0'}, {'554': '0'}, {'557': '0'}, {'559': '0'}, {'565': '0'}, {'568': '0'}, {'574': '0'}, {'576': '0'}, {'578': '0'}, {'579': '0'}]	[{'1': '0.0'}, {'554': '0.0'}, {'557': '0.0'}, {'559': '0.0'}, {'565': '0.0'}, {'568': '0.0'}, {'574': '0.0'}, {'576': '0.0'}, {'578': '0.0'}, {'579': '0.0'}]	[{'1': '0.0'}, {'554': '0.0'}, {'557': '0.0'}, {'559': '0.0'}, {'565': '0.0'}, {'568': '0.0'}, {'574': '0.0'}, {'576': '0.0'}, {'578': '0.0'}, {'579': '0.0'}]	[{'1': '0.0'}, {'554': '0.0'}, {'557': '0.0'}, {'559': '0.0'}, {'565': '0.0'}, {'568': '0.0'}, {'574': '0.0'}, {'576': '0.0'}, {'578': '0.0'}, {'579': '0.0'}]
SGL	mids-100000-6	0.1508	0.593	0.3225	0.1952	0.1186	0.1567	54.7792	0.0113	[{'215': '1.0'}, {'987': '1.0'}, {'940': '1.0'}, {'1061': '1.0'}, {'978': '1.0'}, {'650': '1.0'}, {'755': '1.0'}, {'765': '1.0'}, {'1129': '1.0'}, {'850': '1.0'}]	[{'1177': '1'}, {'528': '1'}, {'529': '1'}, {'959': '1'}, {'531': '1'}, {'532': '1'}, {'533': '1'}, {'534': '1'}, {'536': '1'}, {'957': '1'}]	[{'1177': '1.0'}, {'417': '1.0'}, {'413': '1.0'}, {'1017': '1.0'}, {'1021': '1.0'}, {'398': '1.0'}, {'397': '1.0'}, {'1022': '1.0'}, {'395': '1.0'}, {'393': '1.0'}]	[{'204': '1.0'}, {'1129': '1.0'}, {'978': '1.0'}, {'1106': '1.0'}, {'650': '1.0'}, {'215': '1.0'}, {'755': '1.0'}, {'987': '1.0'}, {'765': '1.0'}, {'850': '1.0'}]	[{'940': '1.0'}, {'765': '1.0'}, {'205': '1.0'}, {'755': '1.0'}, {'1061': '1.0'}, {'987': '1.0'}, {'215': '1.0'}, {'204': '1.0'}, {'576': '1.0'}, {'978': '1.0'}]	[{'1': '0.0'}, {'598': '0.0'}, {'605': '0.0'}, {'606': '0.0'}, {'607': '0.0'}, {'608': '0.0'}, {'610': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'617': '0.0'}]	[{'1': '0'}, {'598': '0'}, {'605': '0'}, {'606': '0'}, {'607': '0'}, {'608': '0'}, {'610': '0'}, {'612': '0'}, {'613': '0'}, {'617': '0'}]	[{'1': '0.0'}, {'598': '0.0'}, {'605': '0.0'}, {'606': '0.0'}, {'607': '0.0'}, {'608': '0.0'}, {'610': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'617': '0.0'}]	[{'1': '0.0'}, {'598': '0.0'}, {'605': '0.0'}, {'606': '0.0'}, {'607': '0.0'}, {'608': '0.0'}, {'610': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'617': '0.0'}]	[{'1': '0.0'}, {'598': '0.0'}, {'605': '0.0'}, {'606': '0.0'}, {'607': '0.0'}, {'608': '0.0'}, {'610': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'617': '0.0'}]
SGL	mids-100000-7	0.1394	0.5689	0.3041	0.1766	0.1072	0.1102	38.4183	0.0217	[{'579': '1.0'}, {'309': '1.0'}, {'428': '1.0'}, {'152': '1.0'}, {'549': '1.0'}, {'571': '1.0'}, {'26': '1.0'}, {'181': '1.0'}, {'799': '1.0'}, {'861': '1.0'}]	[{'1': '1'}, {'525': '1'}, {'527': '1'}, {'528': '1'}, {'530': '1'}, {'531': '1'}, {'532': '1'}, {'534': '1'}, {'539': '1'}, {'540': '1'}]	[{'186': '1.0'}, {'197': '1.0'}, {'693': '1.0'}, {'202': '1.0'}, {'493': '1.0'}, {'208': '1.0'}, {'209': '1.0'}, {'210': '1.0'}, {'211': '1.0'}, {'687': '1.0'}]	[{'428': '1.0'}, {'799': '1.0'}, {'152': '1.0'}, {'759': '1.0'}, {'181': '1.0'}, {'26': '1.0'}, {'309': '1.0'}, {'584': '1.0'}, {'861': '1.0'}, {'579': '1.0'}]	[{'861': '1.0'}, {'799': '1.0'}, {'152': '1.0'}, {'571': '1.0'}, {'579': '1.0'}, {'759': '1.0'}, {'428': '1.0'}, {'181': '1.0'}, {'549': '1.0'}, {'309': '1.0'}]	[{'461': '0.0'}, {'325': '0.0'}, {'678': '0.0'}, {'322': '0.0'}, {'679': '0.0'}, {'320': '0.0'}, {'682': '0.0'}, {'318': '0.0'}, {'683': '0.0'}, {'316': '0.0'}]	[{'461': '0'}, {'734': '0'}, {'737': '0'}, {'352': '0'}, {'351': '0'}, {'350': '0'}, {'349': '0'}, {'348': '0'}, {'739': '0'}, {'344': '0'}]	[{'461': '0.0'}, {'306': '0.0'}, {'647': '0.0'}, {'648': '0.0'}, {'302': '0.0'}, {'301': '0.0'}, {'300': '0.0'}, {'299': '0.0'}, {'651': '0.0'}, {'652': '0.0'}]	[{'461': '0.0'}, {'291': '0.0'}, {'619': '0.0'}, {'620': '0.0'}, {'288': '0.0'}, {'622': '0.0'}, {'286': '0.0'}, {'285': '0.0'}, {'623': '0.0'}, {'283': '0.0'}]	[{'461': '0.0'}, {'619': '0.0'}, {'291': '0.0'}, {'620': '0.0'}, {'622': '0.0'}, {'288': '0.0'}, {'623': '0.0'}, {'286': '0.0'}, {'285': '0.0'}, {'630': '0.0'}]
SGL	mids-100000-8	0.1523	0.5757	0.3111	0.1931	0.1222	0.1237	39.89	0.0129	[{'863': '1.0'}, {'628': '1.0'}, {'825': '1.0'}, {'724': '1.0'}, {'209': '1.0'}, {'690': '1.0'}, {'317': '1.0'}, {'414': '1.0'}, {'794': '1.0'}, {'554': '0.9'}]	[{'486': '1'}, {'564': '1'}, {'565': '1'}, {'566': '1'}, {'567': '1'}, {'568': '1'}, {'570': '1'}, {'572': '1'}, {'576': '1'}, {'563': '1'}]	[{'579': '1.0'}, {'506': '1.0'}, {'811': '1.0'}, {'183': '1.0'}, {'184': '1.0'}, {'643': '1.0'}, {'190': '1.0'}, {'505': '1.0'}, {'798': '1.0'}, {'794': '1.0'}]	[{'230': '1.0'}, {'260': '1.0'}, {'134': '1.0'}, {'825': '1.0'}, {'190': '1.0'}, {'771': '1.0'}, {'127': '1.0'}, {'593': '1.0'}, {'414': '1.0'}, {'794': '1.0'}]	[{'190': '1.0'}, {'127': '1.0'}, {'134': '1.0'}, {'825': '1.0'}, {'690': '1.0'}, {'615': '1.0'}, {'628': '1.0'}, {'414': '1.0'}, {'114': '1.0'}, {'317': '1.0'}]	[{'1': '0.0'}, {'659': '0.0'}, {'338': '0.0'}, {'337': '0.0'}, {'663': '0.0'}, {'667': '0.0'}, {'668': '0.0'}, {'672': '0.0'}, {'329': '0.0'}, {'328': '0.0'}]	[{'1': '0'}, {'384': '0'}, {'383': '0'}, {'752': '0'}, {'381': '0'}, {'380': '0'}, {'379': '0'}, {'374': '0'}, {'759': '0'}, {'760': '0'}]	[{'1': '0.0'}, {'295': '0.0'}, {'596': '0.0'}, {'598': '0.0'}, {'292': '0.0'}, {'291': '0.0'}, {'290': '0.0'}, {'289': '0.0'}, {'288': '0.0'}, {'287': '0.0'}]	[{'1': '0.0'}, {'599': '0.0'}, {'296': '0.0'}, {'295': '0.0'}, {'601': '0.0'}, {'292': '0.0'}, {'291': '0.0'}, {'290': '0.0'}, {'289': '0.0'}, {'288': '0.0'}]	[{'1': '0.0'}, {'599': '0.0'}, {'296': '0.0'}, {'295': '0.0'}, {'601': '0.0'}, {'606': '0.0'}, {'292': '0.0'}, {'291': '0.0'}, {'290': '0.0'}, {'289': '0.0'}]
SGL	mids-100000-9	0.1566	0.6197	0.3464	0.2042	0.1277	0.1341	47.1223	0.0103	[{'263': '1.0'}, {'204': '1.0'}, {'74': '1.0'}, {'307': '1.0'}, {'577': '1.0'}, {'676': '1.0'}, {'396': '1.0'}, {'869': '1.0'}, {'450': '1.0'}, {'161': '1.0'}]	[{'1': '1'}, {'627': '1'}, {'638': '1'}, {'639': '1'}, {'642': '1'}, {'643': '1'}, {'645': '1'}, {'646': '1'}, {'647': '1'}, {'648': '1'}]	[{'1099': '1.0'}, {'255': '1.0'}, {'712': '1.0'}, {'253': '1.0'}, {'721': '1.0'}, {'723': '1.0'}, {'731': '1.0'}, {'241': '1.0'}, {'743': '1.0'}, {'748': '1.0'}]	[{'204': '1.0'}, {'601': '1.0'}, {'307': '1.0'}, {'263': '1.0'}, {'74': '1.0'}, {'161': '1.0'}, {'472': '1.0'}, {'55': '1.0'}, {'431': '1.0'}, {'573': '1.0'}]	[{'676': '1.0'}, {'712': '1.0'}, {'161': '1.0'}, {'601': '1.0'}, {'480': '1.0'}, {'431': '1.0'}, {'307': '1.0'}, {'573': '1.0'}, {'74': '1.0'}, {'450': '1.0'}]	[{'932': '0.0'}, {'892': '0.0'}, {'466': '0.0'}, {'465': '0.0'}, {'893': '0.0'}, {'463': '0.0'}, {'462': '0.0'}, {'894': '0.0'}, {'457': '0.0'}, {'901': '0.0'}]	[{'340': '0'}, {'835': '0'}, {'836': '0'}, {'415': '0'}, {'411': '0'}, {'410': '0'}, {'840': '0'}, {'408': '0'}, {'841': '0'}, {'842': '0'}]	[{'336': '0.0'}, {'419': '0.0'}, {'418': '0.0'}, {'836': '0.0'}, {'415': '0.0'}, {'411': '0.0'}, {'410': '0.0'}, {'840': '0.0'}, {'408': '0.0'}, {'841': '0.0'}]	[{'355': '0.0'}, {'290': '0.0'}, {'813': '0.0'}, {'524': '0.0'}, {'935': '0.0'}, {'525': '0.0'}, {'810': '0.0'}, {'809': '0.0'}, {'283': '0.0'}, {'532': '0.0'}]	[{'724': '0.0'}, {'290': '0.0'}, {'820': '0.0'}, {'534': '0.0'}, {'940': '0.0'}, {'535': '0.0'}, {'941': '0.0'}, {'818': '0.0'}, {'283': '0.0'}, {'538': '0.0'}]
SGL	mids-100000-10	0.1487	0.6021	0.327	0.1963	0.1186	0.1408	64.4702	0.0099	[{'1163': '1.0'}, {'26': '1.0'}, {'512': '1.0'}, {'574': '1.0'}, {'490': '1.0'}, {'645': '1.0'}, {'190': '1.0'}, {'289': '1.0'}, {'780': '1.0'}, {'530': '0.9'}]	[{'615': '1'}, {'1015': '1'}, {'558': '1'}, {'1014': '1'}, {'560': '1'}, {'1013': '1'}, {'562': '1'}, {'563': '1'}, {'1012': '1'}, {'565': '1'}]	[{'615': '1.0'}, {'429': '1.0'}, {'427': '1.0'}, {'418': '1.0'}, {'413': '1.0'}, {'408': '1.0'}, {'400': '1.0'}, {'397': '1.0'}, {'396': '1.0'}, {'394': '1.0'}]	[{'1163': '1.0'}, {'73': '1.0'}, {'929': '1.0'}, {'676': '1.0'}, {'645': '1.0'}, {'978': '1.0'}, {'574': '1.0'}, {'512': '1.0'}, {'26': '1.0'}, {'190': '1.0'}]	[{'780': '1.0'}, {'490': '1.0'}, {'929': '1.0'}, {'295': '1.0'}, {'190': '1.0'}, {'645': '1.0'}, {'574': '1.0'}, {'223': '1.0'}, {'289': '1.0'}, {'1163': '1.0'}]	[{'1': '0.0'}, {'617': '0.0'}, {'618': '0.0'}, {'620': '0.0'}, {'622': '0.0'}, {'626': '0.0'}, {'636': '0.0'}, {'638': '0.0'}, {'639': '0.0'}, {'1228': '0.0'}]	[{'1': '0'}, {'617': '0'}, {'618': '0'}, {'620': '0'}, {'622': '0'}, {'626': '0'}, {'636': '0'}, {'638': '0'}, {'639': '0'}, {'1228': '0'}]	[{'1': '0.0'}, {'617': '0.0'}, {'618': '0.0'}, {'620': '0.0'}, {'622': '0.0'}, {'626': '0.0'}, {'636': '0.0'}, {'638': '0.0'}, {'639': '0.0'}, {'1228': '0.0'}]	[{'1': '0.0'}, {'617': '0.0'}, {'618': '0.0'}, {'620': '0.0'}, {'622': '0.0'}, {'626': '0.0'}, {'636': '0.0'}, {'638': '0.0'}, {'639': '0.0'}, {'1228': '0.0'}]	[{'1': '0.0'}, {'617': '0.0'}, {'618': '0.0'}, {'620': '0.0'}, {'622': '0.0'}, {'626': '0.0'}, {'636': '0.0'}, {'638': '0.0'}, {'639': '0.0'}, {'1228': '0.0'}]
