Model	dataset	precision@10	hit@10	mrr@10	ndcg@10	map@10	itemcoverage@10	averagepopularity@10	tailpercentage@10	best_user_precision@[10]	best_user_hit@[10]	best_user_mrr@[10]	best_user_ndcg@[10]	best_user_map@[10]	worst_user_precision@[10]	worst_user_hit@[10]	worst_user_mrr@[10]	worst_user_ndcg@[10]	worst_user_map@[10]
XSimGCL	mids-100000-1	0.1443	0.5579	0.3155	0.1825	0.1133	0.1205	41.9668	0.0102	[{'379': '1.0'}, {'847': '1.0'}, {'793': '1.0'}, {'363': '1.0'}, {'16': '1.0'}, {'365': '1.0'}, {'485': '1.0'}, {'757': '1.0'}, {'587': '1.0'}, {'740': '1.0'}]	[{'1': '1'}, {'834': '1'}, {'455': '1'}, {'456': '1'}, {'458': '1'}, {'459': '1'}, {'460': '1'}, {'832': '1'}, {'452': '1'}, {'831': '1'}]	[{'806': '1.0'}, {'635': '1.0'}, {'412': '1.0'}, {'411': '1.0'}, {'851': '1.0'}, {'631': '1.0'}, {'941': '1.0'}, {'190': '1.0'}, {'195': '1.0'}, {'937': '1.0'}]	[{'485': '1.0'}, {'365': '1.0'}, {'16': '1.0'}, {'329': '1.0'}, {'378': '1.0'}, {'757': '1.0'}, {'713': '1.0'}, {'727': '1.0'}, {'926': '1.0'}, {'363': '1.0'}]	[{'740': '1.0'}, {'757': '1.0'}, {'1020': '1.0'}, {'793': '1.0'}, {'485': '1.0'}, {'727': '1.0'}, {'847': '1.0'}, {'587': '1.0'}, {'379': '1.0'}, {'378': '1.0'}]	[{'518': '0.0'}, {'573': '0.0'}, {'574': '0.0'}, {'575': '0.0'}, {'579': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'588': '0.0'}, {'602': '0.0'}]	[{'518': '0'}, {'573': '0'}, {'574': '0'}, {'575': '0'}, {'579': '0'}, {'583': '0'}, {'585': '0'}, {'586': '0'}, {'588': '0'}, {'602': '0'}]	[{'518': '0.0'}, {'573': '0.0'}, {'574': '0.0'}, {'575': '0.0'}, {'579': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'588': '0.0'}, {'602': '0.0'}]	[{'518': '0.0'}, {'573': '0.0'}, {'574': '0.0'}, {'575': '0.0'}, {'579': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'588': '0.0'}, {'602': '0.0'}]	[{'518': '0.0'}, {'573': '0.0'}, {'574': '0.0'}, {'575': '0.0'}, {'579': '0.0'}, {'583': '0.0'}, {'585': '0.0'}, {'586': '0.0'}, {'588': '0.0'}, {'602': '0.0'}]
XSimGCL	mids-100000-2	0.1394	0.577	0.3183	0.1844	0.1094	0.0966	53.651	0.0117	[{'844': '1.0'}, {'331': '1.0'}, {'842': '1.0'}, {'81': '1.0'}, {'1070': '1.0'}, {'451': '0.9'}, {'891': '0.9'}, {'826': '0.9'}, {'1057': '0.9'}, {'448': '0.9'}]	[{'1': '1'}, {'630': '1'}, {'633': '1'}, {'635': '1'}, {'637': '1'}, {'639': '1'}, {'642': '1'}, {'645': '1'}, {'647': '1'}, {'648': '1'}]	[{'1': '1.0'}, {'164': '1.0'}, {'384': '1.0'}, {'382': '1.0'}, {'380': '1.0'}, {'668': '1.0'}, {'932': '1.0'}, {'170': '1.0'}, {'930': '1.0'}, {'924': '1.0'}]	[{'81': '1.0'}, {'842': '1.0'}, {'714': '1.0'}, {'476': '1.0'}, {'331': '1.0'}, {'1070': '1.0'}, {'844': '1.0'}, {'1038': '0.9364'}, {'1057': '0.9364'}, {'451': '0.9337'}]	[{'1070': '1.0'}, {'331': '1.0'}, {'476': '1.0'}, {'81': '1.0'}, {'842': '1.0'}, {'844': '1.0'}, {'714': '1.0'}, {'1038': '0.9'}, {'1057': '0.9'}, {'2': '0.89'}]	[{'543': '0.0'}, {'369': '0.0'}, {'785': '0.0'}, {'366': '0.0'}, {'365': '0.0'}, {'364': '0.0'}, {'787': '0.0'}, {'788': '0.0'}, {'361': '0.0'}, {'790': '0.0'}]	[{'543': '0'}, {'906': '0'}, {'341': '0'}, {'907': '0'}, {'339': '0'}, {'338': '0'}, {'337': '0'}, {'336': '0'}, {'334': '0'}, {'333': '0'}]	[{'543': '0.0'}, {'357': '0.0'}, {'356': '0.0'}, {'355': '0.0'}, {'354': '0.0'}, {'353': '0.0'}, {'352': '0.0'}, {'752': '0.0'}, {'350': '0.0'}, {'753': '0.0'}]	[{'543': '0.0'}, {'336': '0.0'}, {'706': '0.0'}, {'334': '0.0'}, {'333': '0.0'}, {'332': '0.0'}, {'712': '0.0'}, {'713': '0.0'}, {'328': '0.0'}, {'715': '0.0'}]	[{'543': '0.0'}, {'339': '0.0'}, {'338': '0.0'}, {'337': '0.0'}, {'336': '0.0'}, {'718': '0.0'}, {'334': '0.0'}, {'333': '0.0'}, {'332': '0.0'}, {'720': '0.0'}]
XSimGCL	mids-100000-3	0.146	0.6128	0.3383	0.1962	0.1162	0.1293	77.2379	0.0093	[{'112': '1.0'}, {'1188': '1.0'}, {'948': '1.0'}, {'968': '1.0'}, {'73': '1.0'}, {'488': '1.0'}, {'956': '1.0'}, {'629': '1.0'}, {'20': '1.0'}, {'492': '1.0'}]	[{'1': '1'}, {'719': '1'}, {'720': '1'}, {'725': '1'}, {'726': '1'}, {'730': '1'}, {'731': '1'}, {'733': '1'}, {'734': '1'}, {'736': '1'}]	[{'1250': '1.0'}, {'219': '1.0'}, {'1014': '1.0'}, {'776': '1.0'}, {'215': '1.0'}, {'1017': '1.0'}, {'1018': '1.0'}, {'425': '1.0'}, {'770': '1.0'}, {'1023': '1.0'}]	[{'112': '1.0'}, {'629': '1.0'}, {'1188': '1.0'}, {'749': '1.0'}, {'968': '1.0'}, {'956': '1.0'}, {'20': '1.0'}, {'948': '1.0'}, {'73': '1.0'}, {'952': '1.0'}]	[{'20': '1.0'}, {'952': '1.0'}, {'112': '1.0'}, {'956': '1.0'}, {'948': '1.0'}, {'488': '1.0'}, {'895': '1.0'}, {'629': '1.0'}, {'492': '1.0'}, {'968': '1.0'}]	[{'644': '0.0'}, {'350': '0.0'}, {'918': '0.0'}, {'922': '0.0'}, {'346': '0.0'}, {'345': '0.0'}, {'713': '0.0'}, {'343': '0.0'}, {'342': '0.0'}, {'712': '0.0'}]	[{'388': '0'}, {'640': '0'}, {'370': '0'}, {'1032': '0'}, {'1033': '0'}, {'866': '0'}, {'366': '0'}, {'865': '0'}, {'364': '0'}, {'363': '0'}]	[{'327': '0.0'}, {'420': '0.0'}, {'419': '0.0'}, {'876': '0.0'}, {'884': '0.0'}, {'415': '0.0'}, {'885': '0.0'}, {'888': '0.0'}, {'889': '0.0'}, {'410': '0.0'}]	[{'766': '0.0'}, {'1011': '0.0'}, {'370': '0.0'}, {'1015': '0.0'}, {'1021': '0.0'}, {'849': '0.0'}, {'366': '0.0'}, {'364': '0.0'}, {'363': '0.0'}, {'362': '0.0'}]	[{'1029': '0.0'}, {'963': '0.0'}, {'964': '0.0'}, {'965': '0.0'}, {'966': '0.0'}, {'969': '0.0'}, {'400': '0.0'}, {'399': '0.0'}, {'398': '0.0'}, {'397': '0.0'}]
XSimGCL	mids-100000-4	0.1338	0.5686	0.2989	0.1654	0.0951	0.1122	55.7318	0.0115	[{'183': '1.0'}, {'524': '1.0'}, {'208': '1.0'}, {'684': '1.0'}, {'859': '1.0'}, {'635': '1.0'}, {'1083': '1.0'}, {'413': '1.0'}, {'872': '1.0'}, {'791': '0.9'}]	[{'1': '1'}, {'628': '1'}, {'631': '1'}, {'632': '1'}, {'634': '1'}, {'635': '1'}, {'636': '1'}, {'638': '1'}, {'639': '1'}, {'640': '1'}]	[{'951': '1.0'}, {'920': '1.0'}, {'413': '1.0'}, {'709': '1.0'}, {'169': '1.0'}, {'170': '1.0'}, {'916': '1.0'}, {'915': '1.0'}, {'711': '1.0'}, {'911': '1.0'}]	[{'413': '1.0'}, {'635': '1.0'}, {'208': '1.0'}, {'859': '1.0'}, {'872': '1.0'}, {'524': '1.0'}, {'684': '1.0'}, {'1083': '1.0'}, {'183': '1.0'}, {'692': '0.9337'}]	[{'635': '1.0'}, {'208': '1.0'}, {'684': '1.0'}, {'183': '1.0'}, {'413': '1.0'}, {'859': '1.0'}, {'872': '1.0'}, {'524': '1.0'}, {'1083': '1.0'}, {'692': '0.89'}]	[{'1101': '0.0'}, {'385': '0.0'}, {'816': '0.0'}, {'817': '0.0'}, {'382': '0.0'}, {'380': '0.0'}, {'819': '0.0'}, {'821': '0.0'}, {'377': '0.0'}, {'823': '0.0'}]	[{'1101': '0'}, {'430': '0'}, {'427': '0'}, {'426': '0'}, {'423': '0'}, {'422': '0'}, {'421': '0'}, {'889': '0'}, {'416': '0'}, {'415': '0'}]	[{'1101': '0.0'}, {'347': '0.0'}, {'345': '0.0'}, {'344': '0.0'}, {'343': '0.0'}, {'744': '0.0'}, {'341': '0.0'}, {'339': '0.0'}, {'745': '0.0'}, {'337': '0.0'}]	[{'1101': '0.0'}, {'330': '0.0'}, {'329': '0.0'}, {'328': '0.0'}, {'327': '0.0'}, {'720': '0.0'}, {'723': '0.0'}, {'324': '0.0'}, {'323': '0.0'}, {'322': '0.0'}]	[{'1101': '0.0'}, {'330': '0.0'}, {'329': '0.0'}, {'328': '0.0'}, {'327': '0.0'}, {'720': '0.0'}, {'723': '0.0'}, {'324': '0.0'}, {'323': '0.0'}, {'322': '0.0'}]
XSimGCL	mids-100000-5	0.1413	0.5929	0.3168	0.1835	0.1111	0.1213	47.3672	0.0082	[{'182': '1.0'}, {'547': '1.0'}, {'877': '1.0'}, {'357': '1.0'}, {'979': '1.0'}, {'641': '0.9'}, {'180': '0.9'}, {'757': '0.9'}, {'977': '0.9'}, {'238': '0.9'}]	[{'1044': '1'}, {'463': '1'}, {'464': '1'}, {'864': '1'}, {'466': '1'}, {'467': '1'}, {'468': '1'}, {'469': '1'}, {'472': '1'}, {'473': '1'}]	[{'1044': '1.0'}, {'357': '1.0'}, {'351': '1.0'}, {'349': '1.0'}, {'340': '1.0'}, {'339': '1.0'}, {'331': '1.0'}, {'329': '1.0'}, {'365': '1.0'}, {'327': '1.0'}]	[{'290': '1.0'}, {'847': '1.0'}, {'515': '1.0'}, {'877': '1.0'}, {'981': '1.0'}, {'57': '1.0'}, {'547': '1.0'}, {'68': '1.0'}, {'16': '1.0'}, {'1029': '1.0'}]	[{'365': '1.0'}, {'290': '1.0'}, {'357': '1.0'}, {'57': '1.0'}, {'877': '1.0'}, {'1029': '1.0'}, {'339': '1.0'}, {'847': '1.0'}, {'515': '1.0'}, {'547': '1.0'}]	[{'1': '0.0'}, {'560': '0.0'}, {'565': '0.0'}, {'567': '0.0'}, {'568': '0.0'}, {'572': '0.0'}, {'574': '0.0'}, {'557': '0.0'}, {'576': '0.0'}, {'580': '0.0'}]	[{'1': '0'}, {'560': '0'}, {'565': '0'}, {'567': '0'}, {'568': '0'}, {'572': '0'}, {'574': '0'}, {'557': '0'}, {'576': '0'}, {'580': '0'}]	[{'1': '0.0'}, {'560': '0.0'}, {'565': '0.0'}, {'567': '0.0'}, {'568': '0.0'}, {'572': '0.0'}, {'574': '0.0'}, {'557': '0.0'}, {'576': '0.0'}, {'580': '0.0'}]	[{'1': '0.0'}, {'560': '0.0'}, {'565': '0.0'}, {'567': '0.0'}, {'568': '0.0'}, {'572': '0.0'}, {'574': '0.0'}, {'557': '0.0'}, {'576': '0.0'}, {'580': '0.0'}]	[{'1': '0.0'}, {'560': '0.0'}, {'565': '0.0'}, {'567': '0.0'}, {'568': '0.0'}, {'572': '0.0'}, {'574': '0.0'}, {'557': '0.0'}, {'576': '0.0'}, {'580': '0.0'}]
XSimGCL	mids-100000-6	0.1559	0.6185	0.3424	0.2038	0.1243	0.122	69.4168	0.008	[{'272': '1.0'}, {'576': '1.0'}, {'650': '1.0'}, {'215': '1.0'}, {'205': '1.0'}, {'115': '1.0'}, {'978': '1.0'}, {'616': '1.0'}, {'765': '1.0'}, {'449': '1.0'}]	[{'1177': '1'}, {'967': '1'}, {'543': '1'}, {'966': '1'}, {'545': '1'}, {'546': '1'}, {'965': '1'}, {'548': '1'}, {'549': '1'}, {'551': '1'}]	[{'428': '1.0'}, {'503': '1.0'}, {'504': '1.0'}, {'978': '1.0'}, {'215': '1.0'}, {'214': '1.0'}, {'977': '1.0'}, {'500': '1.0'}, {'212': '1.0'}, {'511': '1.0'}]	[{'650': '1.0'}, {'115': '1.0'}, {'978': '1.0'}, {'449': '1.0'}, {'419': '1.0'}, {'1129': '1.0'}, {'205': '1.0'}, {'765': '1.0'}, {'354': '1.0'}, {'576': '1.0'}]	[{'115': '1.0'}, {'616': '1.0'}, {'595': '1.0'}, {'765': '1.0'}, {'576': '1.0'}, {'978': '1.0'}, {'1129': '1.0'}, {'449': '1.0'}, {'940': '1.0'}, {'419': '1.0'}]	[{'1': '0.0'}, {'601': '0.0'}, {'605': '0.0'}, {'606': '0.0'}, {'608': '0.0'}, {'610': '0.0'}, {'612': '0.0'}, {'617': '0.0'}, {'593': '0.0'}, {'618': '0.0'}]	[{'1': '0'}, {'601': '0'}, {'605': '0'}, {'606': '0'}, {'608': '0'}, {'610': '0'}, {'612': '0'}, {'617': '0'}, {'593': '0'}, {'618': '0'}]	[{'1': '0.0'}, {'601': '0.0'}, {'605': '0.0'}, {'606': '0.0'}, {'608': '0.0'}, {'610': '0.0'}, {'612': '0.0'}, {'617': '0.0'}, {'593': '0.0'}, {'618': '0.0'}]	[{'1': '0.0'}, {'601': '0.0'}, {'605': '0.0'}, {'606': '0.0'}, {'608': '0.0'}, {'610': '0.0'}, {'612': '0.0'}, {'617': '0.0'}, {'593': '0.0'}, {'618': '0.0'}]	[{'1': '0.0'}, {'601': '0.0'}, {'605': '0.0'}, {'606': '0.0'}, {'608': '0.0'}, {'610': '0.0'}, {'612': '0.0'}, {'617': '0.0'}, {'593': '0.0'}, {'618': '0.0'}]
XSimGCL	mids-100000-7	0.1421	0.5744	0.3222	0.1825	0.1114	0.0917	45.2338	0.0201	[{'428': '1.0'}, {'152': '1.0'}, {'181': '1.0'}, {'861': '1.0'}, {'602': '1.0'}, {'579': '1.0'}, {'571': '1.0'}, {'309': '1.0'}, {'549': '1.0'}, {'26': '1.0'}]	[{'1': '1'}, {'524': '1'}, {'525': '1'}, {'527': '1'}, {'528': '1'}, {'531': '1'}, {'534': '1'}, {'536': '1'}, {'539': '1'}, {'540': '1'}]	[{'173': '1.0'}, {'311': '1.0'}, {'397': '1.0'}, {'549': '1.0'}, {'727': '1.0'}, {'309': '1.0'}, {'394': '1.0'}, {'721': '1.0'}, {'716': '1.0'}, {'715': '1.0'}]	[{'181': '1.0'}, {'26': '1.0'}, {'584': '1.0'}, {'152': '1.0'}, {'861': '1.0'}, {'549': '1.0'}, {'428': '1.0'}, {'571': '1.0'}, {'579': '1.0'}, {'387': '1.0'}]	[{'861': '1.0'}, {'602': '1.0'}, {'26': '1.0'}, {'584': '1.0'}, {'579': '1.0'}, {'549': '1.0'}, {'799': '1.0'}, {'152': '1.0'}, {'181': '1.0'}, {'387': '1.0'}]	[{'461': '0.0'}, {'670': '0.0'}, {'320': '0.0'}, {'673': '0.0'}, {'318': '0.0'}, {'317': '0.0'}, {'316': '0.0'}, {'675': '0.0'}, {'314': '0.0'}, {'676': '0.0'}]	[{'461': '0'}, {'726': '0'}, {'352': '0'}, {'351': '0'}, {'350': '0'}, {'349': '0'}, {'348': '0'}, {'730': '0'}, {'731': '0'}, {'732': '0'}]	[{'461': '0.0'}, {'635': '0.0'}, {'302': '0.0'}, {'301': '0.0'}, {'300': '0.0'}, {'299': '0.0'}, {'638': '0.0'}, {'295': '0.0'}, {'642': '0.0'}, {'293': '0.0'}]	[{'461': '0.0'}, {'312': '0.0'}, {'642': '0.0'}, {'643': '0.0'}, {'647': '0.0'}, {'307': '0.0'}, {'306': '0.0'}, {'648': '0.0'}, {'651': '0.0'}, {'652': '0.0'}]	[{'461': '0.0'}, {'299': '0.0'}, {'651': '0.0'}, {'652': '0.0'}, {'654': '0.0'}, {'295': '0.0'}, {'657': '0.0'}, {'293': '0.0'}, {'661': '0.0'}, {'291': '0.0'}]
XSimGCL	mids-100000-8	0.1552	0.5778	0.3402	0.2004	0.1267	0.1109	42.7623	0.0139	[{'317': '1.0'}, {'931': '1.0'}, {'414': '1.0'}, {'724': '1.0'}, {'209': '1.0'}, {'690': '1.0'}, {'628': '1.0'}, {'825': '1.0'}, {'482': '1.0'}, {'863': '1.0'}]	[{'971': '1'}, {'425': '1'}, {'426': '1'}, {'427': '1'}, {'428': '1'}, {'781': '1'}, {'431': '1'}, {'432': '1'}, {'780': '1'}, {'434': '1'}]	[{'674': '1.0'}, {'263': '1.0'}, {'260': '1.0'}, {'258': '1.0'}, {'720': '1.0'}, {'253': '1.0'}, {'252': '1.0'}, {'863': '1.0'}, {'572': '1.0'}, {'864': '1.0'}]	[{'593': '1.0'}, {'260': '1.0'}, {'771': '1.0'}, {'114': '1.0'}, {'190': '1.0'}, {'134': '1.0'}, {'863': '1.0'}, {'414': '1.0'}, {'825': '1.0'}, {'628': '1.0'}]	[{'134': '1.0'}, {'724': '1.0'}, {'114': '1.0'}, {'825': '1.0'}, {'414': '1.0'}, {'615': '1.0'}, {'628': '1.0'}, {'771': '1.0'}, {'260': '1.0'}, {'482': '1.0'}]	[{'1': '0.0'}, {'483': '0.0'}, {'484': '0.0'}, {'485': '0.0'}, {'970': '0.0'}, {'490': '0.0'}, {'491': '0.0'}, {'480': '0.0'}, {'493': '0.0'}, {'497': '0.0'}]	[{'1': '0'}, {'483': '0'}, {'484': '0'}, {'485': '0'}, {'970': '0'}, {'490': '0'}, {'491': '0'}, {'480': '0'}, {'493': '0'}, {'497': '0'}]	[{'1': '0.0'}, {'483': '0.0'}, {'484': '0.0'}, {'485': '0.0'}, {'970': '0.0'}, {'490': '0.0'}, {'491': '0.0'}, {'480': '0.0'}, {'493': '0.0'}, {'497': '0.0'}]	[{'1': '0.0'}, {'483': '0.0'}, {'484': '0.0'}, {'485': '0.0'}, {'970': '0.0'}, {'490': '0.0'}, {'491': '0.0'}, {'480': '0.0'}, {'493': '0.0'}, {'497': '0.0'}]	[{'1': '0.0'}, {'483': '0.0'}, {'484': '0.0'}, {'485': '0.0'}, {'970': '0.0'}, {'490': '0.0'}, {'491': '0.0'}, {'480': '0.0'}, {'493': '0.0'}, {'497': '0.0'}]
XSimGCL	mids-100000-9	0.1619	0.6197	0.3499	0.2113	0.134	0.1119	54.8114	0.0081	[{'263': '1.0'}, {'307': '1.0'}, {'396': '1.0'}, {'556': '1.0'}, {'676': '1.0'}, {'577': '1.0'}, {'472': '1.0'}, {'74': '1.0'}, {'204': '1.0'}, {'482': '1.0'}]	[{'1': '1'}, {'617': '1'}, {'619': '1'}, {'620': '1'}, {'622': '1'}, {'623': '1'}, {'626': '1'}, {'627': '1'}, {'635': '1'}, {'637': '1'}]	[{'1099': '1.0'}, {'219': '1.0'}, {'218': '1.0'}, {'626': '1.0'}, {'638': '1.0'}, {'643': '1.0'}, {'214': '1.0'}, {'622': '1.0'}, {'213': '1.0'}, {'648': '1.0'}]	[{'472': '1.0'}, {'676': '1.0'}, {'482': '1.0'}, {'556': '1.0'}, {'869': '1.0'}, {'204': '1.0'}, {'712': '1.0'}, {'324': '1.0'}, {'573': '1.0'}, {'74': '1.0'}]	[{'577': '1.0'}, {'556': '1.0'}, {'573': '1.0'}, {'482': '1.0'}, {'74': '1.0'}, {'712': '1.0'}, {'431': '1.0'}, {'421': '1.0'}, {'263': '1.0'}, {'601': '1.0'}]	[{'925': '0.0'}, {'883': '0.0'}, {'884': '0.0'}, {'887': '0.0'}, {'888': '0.0'}, {'466': '0.0'}, {'465': '0.0'}, {'463': '0.0'}, {'889': '0.0'}, {'891': '0.0'}]	[{'894': '0'}, {'418': '0'}, {'840': '0'}, {'841': '0'}, {'842': '0'}, {'844': '0'}, {'411': '0'}, {'410': '0'}, {'845': '0'}, {'846': '0'}]	[{'760': '0.0'}, {'357': '0.0'}, {'935': '0.0'}, {'355': '0.0'}, {'644': '0.0'}, {'352': '0.0'}, {'351': '0.0'}, {'350': '0.0'}, {'810': '0.0'}, {'809': '0.0'}]	[{'381': '0.0'}, {'475': '0.0'}, {'884': '0.0'}, {'887': '0.0'}, {'888': '0.0'}, {'466': '0.0'}, {'465': '0.0'}, {'463': '0.0'}, {'889': '0.0'}, {'891': '0.0'}]	[{'300': '0.0'}, {'670': '0.0'}, {'381': '0.0'}, {'921': '0.0'}, {'756': '0.0'}, {'377': '0.0'}, {'373': '0.0'}, {'923': '0.0'}, {'673': '0.0'}, {'674': '0.0'}]
XSimGCL	mids-100000-10	0.1447	0.5989	0.3238	0.1922	0.1158	0.1151	73.1066	0.0087	[{'1163': '1.0'}, {'780': '1.0'}, {'190': '1.0'}, {'26': '1.0'}, {'512': '1.0'}, {'289': '1.0'}, {'645': '1.0'}, {'490': '1.0'}, {'582': '1.0'}, {'886': '1.0'}]	[{'1': '1'}, {'729': '1'}, {'730': '1'}, {'736': '1'}, {'737': '1'}, {'738': '1'}, {'739': '1'}, {'741': '1'}, {'744': '1'}, {'745': '1'}]	[{'615': '1.0'}, {'184': '1.0'}, {'645': '1.0'}, {'338': '1.0'}, {'1009': '1.0'}, {'512': '1.0'}, {'190': '1.0'}, {'191': '1.0'}, {'1101': '1.0'}, {'668': '1.0'}]	[{'871': '1.0'}, {'490': '1.0'}, {'1163': '1.0'}, {'780': '1.0'}, {'512': '1.0'}, {'886': '1.0'}, {'26': '1.0'}, {'798': '1.0'}, {'289': '1.0'}, {'978': '1.0'}]	[{'574': '1.0'}, {'780': '1.0'}, {'26': '1.0'}, {'289': '1.0'}, {'190': '1.0'}, {'582': '1.0'}, {'1163': '1.0'}, {'886': '1.0'}, {'490': '1.0'}, {'676': '1.0'}]	[{'1229': '0.0'}, {'874': '0.0'}, {'717': '0.0'}, {'878': '0.0'}, {'879': '0.0'}, {'882': '0.0'}, {'342': '0.0'}, {'341': '0.0'}, {'340': '0.0'}, {'339': '0.0'}]	[{'1229': '0'}, {'471': '0'}, {'472': '0'}, {'935': '0'}, {'474': '0'}, {'475': '0'}, {'476': '0'}, {'934': '0'}, {'480': '0'}, {'481': '0'}]	[{'1229': '0.0'}, {'358': '0.0'}, {'715': '0.0'}, {'716': '0.0'}, {'355': '0.0'}, {'717': '0.0'}, {'353': '0.0'}, {'352': '0.0'}, {'351': '0.0'}, {'719': '0.0'}]	[{'1229': '0.0'}, {'395': '0.0'}, {'767': '0.0'}, {'393': '0.0'}, {'768': '0.0'}, {'770': '0.0'}, {'772': '0.0'}, {'774': '0.0'}, {'388': '0.0'}, {'775': '0.0'}]	[{'1229': '0.0'}, {'752': '0.0'}, {'754': '0.0'}, {'755': '0.0'}, {'383': '0.0'}, {'759': '0.0'}, {'381': '0.0'}, {'764': '0.0'}, {'766': '0.0'}, {'377': '0.0'}]
