Model	dataset	precision@10	hit@10	mrr@10	ndcg@10	map@10	itemcoverage@10	averagepopularity@10	tailpercentage@10	best_user_precision@[10]	best_user_hit@[10]	best_user_mrr@[10]	best_user_ndcg@[10]	best_user_map@[10]	worst_user_precision@[10]	worst_user_hit@[10]	worst_user_mrr@[10]	worst_user_ndcg@[10]	worst_user_map@[10]
AsymUserKNN	real-life-atomic-100000-1	0.026	0.1434	0.0663	0.0525	0.0357	0.111	80.1619	0.0099	[{'730': '0.4'}, {'454': '0.4'}, {'49': '0.4'}, {'224': '0.4'}, {'816': '0.4'}, {'365': '0.4'}, {'364': '0.4'}, {'462': '0.4'}, {'687': '0.4'}, {'414': '0.4'}]	[{'279': '1'}, {'322': '1'}, {'161': '1'}, {'163': '1'}, {'436': '1'}, {'666': '1'}, {'434': '1'}, {'894': '1'}, {'893': '1'}, {'175': '1'}]	[{'279': '1.0'}, {'445': '1.0'}, {'375': '1.0'}, {'539': '1.0'}, {'981': '1.0'}, {'716': '1.0'}, {'322': '1.0'}, {'380': '1.0'}, {'67': '1.0'}, {'582': '1.0'}]	[{'454': '1.0'}, {'981': '1.0'}, {'796': '1.0'}, {'11': '1.0'}, {'224': '1.0'}, {'730': '1.0'}, {'816': '1.0'}, {'760': '1.0'}, {'716': '1.0'}, {'380': '1.0'}]	[{'716': '1.0'}, {'380': '1.0'}, {'730': '1.0'}, {'816': '1.0'}, {'981': '1.0'}, {'796': '1.0'}, {'11': '1.0'}, {'454': '1.0'}, {'224': '1.0'}, {'760': '1.0'}]	[{'1': '0.0'}, {'654': '0.0'}, {'655': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}]	[{'1': '0'}, {'654': '0'}, {'655': '0'}, {'656': '0'}, {'657': '0'}, {'658': '0'}, {'659': '0'}, {'660': '0'}, {'661': '0'}, {'662': '0'}]	[{'1': '0.0'}, {'654': '0.0'}, {'655': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}]	[{'1': '0.0'}, {'654': '0.0'}, {'655': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}]	[{'1': '0.0'}, {'654': '0.0'}, {'655': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}]
AsymUserKNN	real-life-atomic-100000-2	0.026	0.1497	0.0645	0.0511	0.0327	0.0926	100.0381	0.0141	[{'523': '0.4'}, {'477': '0.4'}, {'869': '0.4'}, {'112': '0.4'}, {'526': '0.4'}, {'369': '0.4'}, {'1026': '0.4'}, {'332': '0.4'}, {'122': '0.4'}, {'206': '0.4'}]	[{'1': '1'}, {'262': '1'}, {'864': '1'}, {'861': '1'}, {'859': '1'}, {'271': '1'}, {'856': '1'}, {'274': '1'}, {'279': '1'}, {'285': '1'}]	[{'1042': '1.0'}, {'1056': '1.0'}, {'714': '1.0'}, {'729': '1.0'}, {'746': '1.0'}, {'398': '1.0'}, {'112': '1.0'}, {'369': '1.0'}, {'799': '1.0'}, {'802': '1.0'}]	[{'369': '1.0'}, {'332': '1.0'}, {'164': '1.0'}, {'122': '0.9829'}, {'846': '0.9829'}, {'112': '0.9709'}, {'1026': '0.962'}, {'477': '0.9177'}, {'452': '0.9109'}, {'523': '0.9047'}]	[{'369': '1.0'}, {'332': '1.0'}, {'164': '1.0'}, {'122': '0.95'}, {'846': '0.95'}, {'112': '0.9167'}, {'1026': '0.8929'}, {'523': '0.8042'}, {'477': '0.7875'}, {'452': '0.775'}]	[{'545': '0.0'}, {'691': '0.0'}, {'692': '0.0'}, {'693': '0.0'}, {'694': '0.0'}, {'695': '0.0'}, {'697': '0.0'}, {'700': '0.0'}, {'701': '0.0'}, {'702': '0.0'}]	[{'545': '0'}, {'691': '0'}, {'692': '0'}, {'693': '0'}, {'694': '0'}, {'695': '0'}, {'697': '0'}, {'700': '0'}, {'701': '0'}, {'702': '0'}]	[{'545': '0.0'}, {'691': '0.0'}, {'692': '0.0'}, {'693': '0.0'}, {'694': '0.0'}, {'695': '0.0'}, {'697': '0.0'}, {'700': '0.0'}, {'701': '0.0'}, {'702': '0.0'}]	[{'545': '0.0'}, {'691': '0.0'}, {'692': '0.0'}, {'693': '0.0'}, {'694': '0.0'}, {'695': '0.0'}, {'697': '0.0'}, {'700': '0.0'}, {'701': '0.0'}, {'702': '0.0'}]	[{'545': '0.0'}, {'691': '0.0'}, {'692': '0.0'}, {'693': '0.0'}, {'694': '0.0'}, {'695': '0.0'}, {'697': '0.0'}, {'700': '0.0'}, {'701': '0.0'}, {'702': '0.0'}]
AsymUserKNN	real-life-atomic-100000-3	0.0288	0.1676	0.0738	0.0563	0.0349	0.1228	142.1235	0.0124	[{'1115': '0.4'}, {'1191': '0.4'}, {'380': '0.4'}, {'900': '0.4'}, {'20': '0.4'}, {'952': '0.4'}, {'112': '0.4'}, {'1240': '0.4'}, {'749': '0.4'}, {'629': '0.4'}]	[{'1253': '1'}, {'209': '1'}, {'1078': '1'}, {'214': '1'}, {'215': '1'}, {'1074': '1'}, {'219': '1'}, {'531': '1'}, {'223': '1'}, {'225': '1'}]	[{'403': '1.0'}, {'1039': '1.0'}, {'1173': '1.0'}, {'260': '1.0'}, {'97': '1.0'}, {'282': '1.0'}, {'482': '1.0'}, {'566': '1.0'}, {'629': '1.0'}, {'1191': '1.0'}]	[{'629': '1.0'}, {'1249': '1.0'}, {'607': '1.0'}, {'20': '1.0'}, {'1191': '1.0'}, {'749': '1.0'}, {'661': '0.9558'}, {'531': '0.8928'}, {'711': '0.8667'}, {'377': '0.8667'}]	[{'607': '1.0'}, {'20': '1.0'}, {'1191': '1.0'}, {'629': '1.0'}, {'1249': '1.0'}, {'749': '1.0'}, {'661': '0.8875'}, {'531': '0.7708'}, {'1164': '0.75'}, {'251': '0.75'}]	[{'1': '0.0'}, {'783': '0.0'}, {'784': '0.0'}, {'785': '0.0'}, {'787': '0.0'}, {'788': '0.0'}, {'791': '0.0'}, {'792': '0.0'}, {'794': '0.0'}, {'795': '0.0'}]	[{'1': '0'}, {'783': '0'}, {'784': '0'}, {'785': '0'}, {'787': '0'}, {'788': '0'}, {'791': '0'}, {'792': '0'}, {'794': '0'}, {'795': '0'}]	[{'1': '0.0'}, {'783': '0.0'}, {'784': '0.0'}, {'785': '0.0'}, {'787': '0.0'}, {'788': '0.0'}, {'791': '0.0'}, {'792': '0.0'}, {'794': '0.0'}, {'795': '0.0'}]	[{'1': '0.0'}, {'783': '0.0'}, {'784': '0.0'}, {'785': '0.0'}, {'787': '0.0'}, {'788': '0.0'}, {'791': '0.0'}, {'792': '0.0'}, {'794': '0.0'}, {'795': '0.0'}]	[{'1': '0.0'}, {'783': '0.0'}, {'784': '0.0'}, {'785': '0.0'}, {'787': '0.0'}, {'788': '0.0'}, {'791': '0.0'}, {'792': '0.0'}, {'794': '0.0'}, {'795': '0.0'}]
AsymUserKNN	real-life-atomic-100000-4	0.0261	0.1453	0.0659	0.0509	0.0319	0.1082	104.1504	0.0113	[{'634': '0.4'}, {'624': '0.4'}, {'1072': '0.4'}, {'269': '0.4'}, {'108': '0.4'}, {'635': '0.4'}, {'524': '0.4'}, {'46': '0.4'}, {'109': '0.4'}, {'1035': '0.4'}]	[{'591': '1'}, {'454': '1'}, {'711': '1'}, {'179': '1'}, {'180': '1'}, {'937': '1'}, {'183': '1'}, {'936': '1'}, {'185': '1'}, {'935': '1'}]	[{'460': '1.0'}, {'269': '1.0'}, {'624': '1.0'}, {'251': '1.0'}, {'407': '1.0'}, {'46': '1.0'}, {'550': '1.0'}, {'891': '1.0'}, {'1053': '1.0'}, {'635': '1.0'}]	[{'109': '1.0'}, {'791': '1.0'}, {'937': '1.0'}, {'524': '1.0'}, {'46': '1.0'}, {'269': '1.0'}, {'952': '0.9829'}, {'318': '0.955'}, {'635': '0.9349'}, {'108': '0.8756'}]	[{'269': '1.0'}, {'791': '1.0'}, {'109': '1.0'}, {'937': '1.0'}, {'524': '1.0'}, {'46': '1.0'}, {'952': '0.95'}, {'318': '0.875'}, {'635': '0.8304'}, {'183': '0.75'}]	[{'1': '0.0'}, {'702': '0.0'}, {'703': '0.0'}, {'704': '0.0'}, {'705': '0.0'}, {'706': '0.0'}, {'708': '0.0'}, {'709': '0.0'}, {'710': '0.0'}, {'712': '0.0'}]	[{'1': '0'}, {'702': '0'}, {'703': '0'}, {'704': '0'}, {'705': '0'}, {'706': '0'}, {'708': '0'}, {'709': '0'}, {'710': '0'}, {'712': '0'}]	[{'1': '0.0'}, {'702': '0.0'}, {'703': '0.0'}, {'704': '0.0'}, {'705': '0.0'}, {'706': '0.0'}, {'708': '0.0'}, {'709': '0.0'}, {'710': '0.0'}, {'712': '0.0'}]	[{'1': '0.0'}, {'702': '0.0'}, {'703': '0.0'}, {'704': '0.0'}, {'705': '0.0'}, {'706': '0.0'}, {'708': '0.0'}, {'709': '0.0'}, {'710': '0.0'}, {'712': '0.0'}]	[{'1': '0.0'}, {'702': '0.0'}, {'703': '0.0'}, {'704': '0.0'}, {'705': '0.0'}, {'706': '0.0'}, {'708': '0.0'}, {'709': '0.0'}, {'710': '0.0'}, {'712': '0.0'}]
AsymUserKNN	real-life-atomic-100000-5	0.0318	0.1619	0.0711	0.0621	0.0429	0.1081	90.2571	0.0075	[{'180': '0.4'}, {'680': '0.4'}, {'27': '0.4'}, {'515': '0.4'}, {'981': '0.4'}, {'445': '0.4'}, {'365': '0.4'}, {'290': '0.4'}, {'32': '0.4'}, {'298': '0.4'}]	[{'452': '1'}, {'140': '1'}, {'929': '1'}, {'472': '1'}, {'832': '1'}, {'470': '1'}, {'467': '1'}, {'262': '1'}, {'919': '1'}, {'837': '1'}]	[{'68': '1.0'}, {'357': '1.0'}, {'428': '1.0'}, {'547': '1.0'}, {'513': '1.0'}, {'847': '1.0'}, {'515': '1.0'}, {'981': '1.0'}, {'785': '1.0'}, {'365': '1.0'}]	[{'847': '1.0'}, {'339': '1.0'}, {'680': '1.0'}, {'331': '1.0'}, {'57': '1.0'}, {'290': '1.0'}, {'68': '1.0'}, {'365': '1.0'}, {'445': '1.0'}, {'124': '1.0'}]	[{'290': '1.0'}, {'339': '1.0'}, {'847': '1.0'}, {'331': '1.0'}, {'57': '1.0'}, {'680': '1.0'}, {'68': '1.0'}, {'365': '1.0'}, {'445': '1.0'}, {'124': '1.0'}]	[{'1': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}, {'663': '0.0'}, {'664': '0.0'}]	[{'1': '0'}, {'656': '0'}, {'657': '0'}, {'658': '0'}, {'659': '0'}, {'660': '0'}, {'661': '0'}, {'662': '0'}, {'663': '0'}, {'664': '0'}]	[{'1': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}, {'663': '0.0'}, {'664': '0.0'}]	[{'1': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}, {'663': '0.0'}, {'664': '0.0'}]	[{'1': '0.0'}, {'656': '0.0'}, {'657': '0.0'}, {'658': '0.0'}, {'659': '0.0'}, {'660': '0.0'}, {'661': '0.0'}, {'662': '0.0'}, {'663': '0.0'}, {'664': '0.0'}]
AsymUserKNN	real-life-atomic-100000-6	0.026	0.1475	0.0658	0.0505	0.0317	0.107	127.7456	0.0127	[{'101': '0.4'}, {'124': '0.4'}, {'90': '0.4'}, {'398': '0.4'}, {'1108': '0.4'}, {'175': '0.4'}, {'652': '0.4'}, {'511': '0.4'}, {'596': '0.4'}, {'767': '0.4'}]	[{'1180': '1'}, {'367': '1'}, {'752': '1'}, {'502': '1'}, {'1024': '1'}, {'757': '1'}, {'496': '1'}, {'494': '1'}, {'764': '1'}, {'767': '1'}]	[{'1056': '1.0'}, {'838': '1.0'}, {'114': '1.0'}, {'74': '1.0'}, {'112': '1.0'}, {'38': '1.0'}, {'989': '1.0'}, {'980': '1.0'}, {'825': '1.0'}, {'101': '1.0'}]	[{'124': '1.0'}, {'596': '1.0'}, {'1108': '1.0'}, {'101': '1.0'}, {'90': '1.0'}, {'757': '1.0'}, {'63': '0.9829'}, {'398': '0.9829'}, {'617': '0.9829'}, {'989': '0.9558'}]	[{'101': '1.0'}, {'757': '1.0'}, {'1108': '1.0'}, {'596': '1.0'}, {'124': '1.0'}, {'90': '1.0'}, {'617': '0.95'}, {'398': '0.95'}, {'63': '0.95'}, {'511': '0.8875'}]	[{'1': '0.0'}, {'747': '0.0'}, {'748': '0.0'}, {'749': '0.0'}, {'750': '0.0'}, {'751': '0.0'}, {'753': '0.0'}, {'754': '0.0'}, {'755': '0.0'}, {'756': '0.0'}]	[{'1': '0'}, {'747': '0'}, {'748': '0'}, {'749': '0'}, {'750': '0'}, {'751': '0'}, {'753': '0'}, {'754': '0'}, {'755': '0'}, {'756': '0'}]	[{'1': '0.0'}, {'747': '0.0'}, {'748': '0.0'}, {'749': '0.0'}, {'750': '0.0'}, {'751': '0.0'}, {'753': '0.0'}, {'754': '0.0'}, {'755': '0.0'}, {'756': '0.0'}]	[{'1': '0.0'}, {'747': '0.0'}, {'748': '0.0'}, {'749': '0.0'}, {'750': '0.0'}, {'751': '0.0'}, {'753': '0.0'}, {'754': '0.0'}, {'755': '0.0'}, {'756': '0.0'}]	[{'1': '0.0'}, {'747': '0.0'}, {'748': '0.0'}, {'749': '0.0'}, {'750': '0.0'}, {'751': '0.0'}, {'753': '0.0'}, {'754': '0.0'}, {'755': '0.0'}, {'756': '0.0'}]
AsymUserKNN	real-life-atomic-100000-7	0.0257	0.1405	0.0667	0.0521	0.0348	0.0853	80.2449	0.0165	[{'312': '0.4'}, {'575': '0.4'}, {'26': '0.4'}, {'30': '0.4'}, {'400': '0.4'}, {'713': '0.4'}, {'706': '0.4'}, {'846': '0.4'}, {'606': '0.4'}, {'874': '0.4'}]	[{'330': '1'}, {'108': '1'}, {'110': '1'}, {'572': '1'}, {'825': '1'}, {'824': '1'}, {'823': '1'}, {'570': '1'}, {'575': '1'}, {'120': '1'}]	[{'183': '1.0'}, {'400': '1.0'}, {'301': '1.0'}, {'30': '1.0'}, {'713': '1.0'}, {'575': '1.0'}, {'572': '1.0'}, {'829': '1.0'}, {'525': '1.0'}, {'101': '1.0'}]	[{'153': '1.0'}, {'575': '1.0'}, {'706': '1.0'}, {'606': '1.0'}, {'400': '1.0'}, {'101': '0.9829'}, {'30': '0.9829'}, {'363': '0.9709'}, {'190': '0.9709'}, {'713': '0.9268'}]	[{'153': '1.0'}, {'606': '1.0'}, {'575': '1.0'}, {'706': '1.0'}, {'400': '1.0'}, {'101': '0.95'}, {'30': '0.95'}, {'363': '0.9167'}, {'190': '0.9167'}, {'713': '0.8167'}]	[{'1': '0.0'}, {'587': '0.0'}, {'588': '0.0'}, {'590': '0.0'}, {'591': '0.0'}, {'592': '0.0'}, {'593': '0.0'}, {'594': '0.0'}, {'595': '0.0'}, {'596': '0.0'}]	[{'1': '0'}, {'587': '0'}, {'588': '0'}, {'590': '0'}, {'591': '0'}, {'592': '0'}, {'593': '0'}, {'594': '0'}, {'595': '0'}, {'596': '0'}]	[{'1': '0.0'}, {'587': '0.0'}, {'588': '0.0'}, {'590': '0.0'}, {'591': '0.0'}, {'592': '0.0'}, {'593': '0.0'}, {'594': '0.0'}, {'595': '0.0'}, {'596': '0.0'}]	[{'1': '0.0'}, {'587': '0.0'}, {'588': '0.0'}, {'590': '0.0'}, {'591': '0.0'}, {'592': '0.0'}, {'593': '0.0'}, {'594': '0.0'}, {'595': '0.0'}, {'596': '0.0'}]	[{'1': '0.0'}, {'587': '0.0'}, {'588': '0.0'}, {'590': '0.0'}, {'591': '0.0'}, {'592': '0.0'}, {'593': '0.0'}, {'594': '0.0'}, {'595': '0.0'}, {'596': '0.0'}]
AsymUserKNN	real-life-atomic-100000-8	0.0334	0.1605	0.0785	0.0675	0.049	0.0976	82.7166	0.0104	[{'566': '0.4'}, {'196': '0.4'}, {'272': '0.4'}, {'209': '0.4'}, {'122': '0.4'}, {'103': '0.4'}, {'927': '0.4'}, {'230': '0.4'}, {'261': '0.4'}, {'225': '0.4'}]	[{'157': '1'}, {'625': '1'}, {'840': '1'}, {'418': '1'}, {'168': '1'}, {'415': '1'}, {'835': '1'}, {'172': '1'}, {'629': '1'}, {'412': '1'}]	[{'157': '1.0'}, {'831': '1.0'}, {'477': '1.0'}, {'177': '1.0'}, {'483': '1.0'}, {'190': '1.0'}, {'196': '1.0'}, {'75': '1.0'}, {'566': '1.0'}, {'209': '1.0'}]	[{'127': '1.0'}, {'261': '1.0'}, {'594': '1.0'}, {'772': '1.0'}, {'209': '1.0'}, {'98': '1.0'}, {'691': '1.0'}, {'625': '1.0'}, {'134': '1.0'}, {'415': '1.0'}]	[{'772': '1.0'}, {'927': '1.0'}, {'230': '1.0'}, {'190': '1.0'}, {'629': '1.0'}, {'415': '1.0'}, {'625': '1.0'}, {'209': '1.0'}, {'98': '1.0'}, {'261': '1.0'}]	[{'1': '0.0'}, {'611': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'614': '0.0'}, {'615': '0.0'}, {'617': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'620': '0.0'}]	[{'1': '0'}, {'611': '0'}, {'612': '0'}, {'613': '0'}, {'614': '0'}, {'615': '0'}, {'617': '0'}, {'618': '0'}, {'619': '0'}, {'620': '0'}]	[{'1': '0.0'}, {'611': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'614': '0.0'}, {'615': '0.0'}, {'617': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'620': '0.0'}]	[{'1': '0.0'}, {'611': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'614': '0.0'}, {'615': '0.0'}, {'617': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'620': '0.0'}]	[{'1': '0.0'}, {'611': '0.0'}, {'612': '0.0'}, {'613': '0.0'}, {'614': '0.0'}, {'615': '0.0'}, {'617': '0.0'}, {'618': '0.0'}, {'619': '0.0'}, {'620': '0.0'}]
AsymUserKNN	real-life-atomic-100000-9	0.0348	0.1695	0.0862	0.0707	0.0497	0.1007	99.3696	0.0072	[{'255': '0.4'}, {'668': '0.4'}, {'307': '0.4'}, {'1073': '0.4'}, {'510': '0.4'}, {'39': '0.4'}, {'198': '0.4'}, {'862': '0.4'}, {'403': '0.4'}, {'578': '0.4'}]	[{'552': '1'}, {'182': '1'}, {'706': '1'}, {'956': '1'}, {'483': '1'}, {'954': '1'}, {'953': '1'}, {'189': '1'}, {'190': '1'}, {'948': '1'}]	[{'190': '1.0'}, {'580': '1.0'}, {'39': '1.0'}, {'1035': '1.0'}, {'41': '1.0'}, {'849': '1.0'}, {'432': '1.0'}, {'578': '1.0'}, {'956': '1.0'}, {'394': '1.0'}]	[{'542': '1.0'}, {'510': '1.0'}, {'703': '1.0'}, {'578': '1.0'}, {'307': '1.0'}, {'574': '1.0'}, {'241': '1.0'}, {'677': '1.0'}, {'182': '1.0'}, {'713': '1.0'}]	[{'432': '1.0'}, {'241': '1.0'}, {'182': '1.0'}, {'542': '1.0'}, {'668': '1.0'}, {'706': '1.0'}, {'510': '1.0'}, {'578': '1.0'}, {'574': '1.0'}, {'55': '1.0'}]	[{'1': '0.0'}, {'700': '0.0'}, {'701': '0.0'}, {'702': '0.0'}, {'704': '0.0'}, {'707': '0.0'}, {'708': '0.0'}, {'709': '0.0'}, {'710': '0.0'}, {'711': '0.0'}]	[{'1': '0'}, {'700': '0'}, {'701': '0'}, {'702': '0'}, {'704': '0'}, {'707': '0'}, {'708': '0'}, {'709': '0'}, {'710': '0'}, {'711': '0'}]	[{'1': '0.0'}, {'700': '0.0'}, {'701': '0.0'}, {'702': '0.0'}, {'704': '0.0'}, {'707': '0.0'}, {'708': '0.0'}, {'709': '0.0'}, {'710': '0.0'}, {'711': '0.0'}]	[{'1': '0.0'}, {'700': '0.0'}, {'701': '0.0'}, {'702': '0.0'}, {'704': '0.0'}, {'707': '0.0'}, {'708': '0.0'}, {'709': '0.0'}, {'710': '0.0'}, {'711': '0.0'}]	[{'1': '0.0'}, {'700': '0.0'}, {'701': '0.0'}, {'702': '0.0'}, {'704': '0.0'}, {'707': '0.0'}, {'708': '0.0'}, {'709': '0.0'}, {'710': '0.0'}, {'711': '0.0'}]
AsymUserKNN	real-life-atomic-100000-10	0.0328	0.1738	0.0813	0.0649	0.0426	0.101	135.074	0.0077	[{'582': '0.4'}, {'921': '0.4'}, {'646': '0.4'}, {'708': '0.4'}, {'523': '0.4'}, {'54': '0.4'}, {'56': '0.4'}, {'853': '0.4'}, {'1052': '0.4'}, {'932': '0.4'}]	[{'340': '1'}, {'567': '1'}, {'161': '1'}, {'163': '1'}, {'164': '1'}, {'1096': '1'}, {'327': '1'}, {'167': '1'}, {'564': '1'}, {'775': '1'}]	[{'340': '1.0'}, {'239': '1.0'}, {'780': '1.0'}, {'979': '1.0'}, {'38': '1.0'}, {'783': '1.0'}, {'921': '1.0'}, {'553': '1.0'}, {'551': '1.0'}, {'91': '1.0'}]	[{'677': '1.0'}, {'646': '1.0'}, {'567': '1.0'}, {'840': '1.0'}, {'979': '1.0'}, {'799': '1.0'}, {'662': '0.9709'}, {'491': '0.962'}, {'921': '0.962'}, {'26': '0.9439'}]	[{'567': '1.0'}, {'646': '1.0'}, {'677': '1.0'}, {'979': '1.0'}, {'840': '1.0'}, {'799': '1.0'}, {'662': '0.9167'}, {'921': '0.8929'}, {'491': '0.8929'}, {'708': '0.8542'}]	[{'1': '0.0'}, {'789': '0.0'}, {'790': '0.0'}, {'791': '0.0'}, {'793': '0.0'}, {'794': '0.0'}, {'796': '0.0'}, {'797': '0.0'}, {'798': '0.0'}, {'800': '0.0'}]	[{'1': '0'}, {'789': '0'}, {'790': '0'}, {'791': '0'}, {'793': '0'}, {'794': '0'}, {'796': '0'}, {'797': '0'}, {'798': '0'}, {'800': '0'}]	[{'1': '0.0'}, {'789': '0.0'}, {'790': '0.0'}, {'791': '0.0'}, {'793': '0.0'}, {'794': '0.0'}, {'796': '0.0'}, {'797': '0.0'}, {'798': '0.0'}, {'800': '0.0'}]	[{'1': '0.0'}, {'789': '0.0'}, {'790': '0.0'}, {'791': '0.0'}, {'793': '0.0'}, {'794': '0.0'}, {'796': '0.0'}, {'797': '0.0'}, {'798': '0.0'}, {'800': '0.0'}]	[{'1': '0.0'}, {'789': '0.0'}, {'790': '0.0'}, {'791': '0.0'}, {'793': '0.0'}, {'794': '0.0'}, {'796': '0.0'}, {'797': '0.0'}, {'798': '0.0'}, {'800': '0.0'}]
